N	2gram	Vinokur_Ku_2	Retstnzi
1	не может	9	4
2	и в	23	3
3	один из	5	2
4	достоевского и	2	2
5	нет и	1	1
6	деятельности в	1	1
7	социальной борьбы	1	1
8	в особенности	4	1
9	которые определяют	2	1
10	себе все	1	1
11	смысл и	3	1
12	почти с	1	1
13	и не	16	1
14	тому что	1	1
15	вещей и	1	1
16	не только	20	1
17	и тому	1	1
18	связи с	3	1
19	этой проблемы	1	1
20	литературного языка	1	1
21	бы на	2	1
22	точки зрения	14	1
23	конечно и	2	1
24	на примере	2	1
25	языка как	2	1
26	но и	7	1
27	не менее	7	1
28	тех же	2	1
29	ничего кроме	1	1
30	именно с	3	1
31	в школе	1	1
32	в ней	3	1
33	может и	1	1
34	на месте	1	1
35	в то	4	1
36	с точки	8	1
37	и на	6	1
38	первая часть	1	1
39	для него	1	1
40	в языке	10	1
41	второй части	1	1
42	к тому	4	1
43	а не	10	1
44	его от	1	1
45	может быть	15	1
46	несмотря на	5	1
47	в его	5	1
48	же время	3	1
49	то же	6	1
50	и все	2	1
51	из этих	1	1
52	если бы	12	1
53	в каждом	1	1
54	бы в	1	1
