N	2gram	Vinokur_Ku_1	UchenyiS
1	и в	24	14
2	а не	8	10
3	не только	10	10
4	прежде всего	9	8
5	и не	12	8
6	не может	7	7
7	в этом	14	7
8	то что	9	7
9	может быть	13	6
10	в искусстве	1	6
11	то же	8	5
12	и только	1	5
13	все это	6	5
14	хотя бы	10	5
15	с другой	7	4
16	но и	6	4
17	что такое	6	4
18	в их	3	4
19	в конечном	1	4
20	в россии	1	4
21	в этой	3	4
22	конечно не	2	4
23	то ни	1	3
24	вряд ли	1	3
25	и то	3	3
26	это не	7	3
27	было бы	15	3
28	как и	2	3
29	для этого	3	3
30	в частности	4	3
31	в своей	2	3
32	очевидно что	3	3
33	к сожалению	1	3
34	в то	2	3
35	все же	12	3
36	но в	2	3
37	формы в	2	3
38	пришлось бы	2	3
39	не следует	1	3
40	же время	2	3
41	в области	7	3
42	только к	2	3
43	у нас	10	3
44	другой стороны	6	3
45	для него	1	3
46	как такового	1	3
47	что все	2	2
48	крайней мере	5	2
49	же не	1	2
50	именно как	1	2
51	одним из	2	2
52	и с	5	2
53	а его	1	2
54	до сих	4	2
55	это было	2	2
56	самом деле	9	2
57	пишет он	2	2
58	противном случае	1	2
59	должна быть	3	2
60	в некоторых	1	2
61	превращается в	2	2
62	не приходится	1	2
63	о чем	2	2
64	на эту	2	2
65	если бы	9	2
66	что мы	1	2
67	ничего не	2	2
68	как таковой	2	2
69	не столько	2	2
70	если не	3	2
71	том что	21	2
72	на первый	1	2
73	сводится к	3	2
74	но даже	1	2
75	мы и	1	2
76	этого термина	2	2
77	нас в	1	2
78	с его	4	2
79	но не	5	2
80	в сторону	2	2
81	в противовес	3	2
82	не все	2	2
83	в его	12	2
84	по крайней	5	2
85	по существу	4	2
86	что и	4	2
87	по себе	2	2
88	приемов и	1	2
89	сих пор	4	2
90	но это	1	2
91	этом смысле	3	2
92	в противном	1	2
93	могли бы	2	2
94	в том	30	2
95	тех или	1	2
96	это уже	1	2
97	с проблемой	1	2
98	и для	2	2
99	что он	6	2
100	в себе	3	2
101	в самом	10	2
102	между тем	5	2
103	и у	1	2
104	только в	11	2
105	мы получаем	1	2
106	не в	11	2
107	и является	4	2
108	вопроса о	1	2
109	в системе	3	2
110	не есть	4	2
111	этом отношении	5	2
112	или иных	1	2
113	фактов и	1	2
114	композиции и	1	2
115	его и	1	2
116	бы и	2	2
117	всех этих	1	2
118	сколько угодно	1	2
119	не могут	2	2
120	могут быть	1	2
121	в конце	1	2
122	смысле этого	3	2
123	не случайно	6	2
124	как раз	8	2
125	тем что	8	2
126	что она	3	2
127	таким образом	12	2
128	даже и	3	2
129	для себя	1	1
130	гораздо больше	1	1
131	об этом	1	1
132	поэзии и	1	1
133	же как	1	1
134	связанных с	1	1
135	даже не	1	1
136	в виду	5	1
137	первую очередь	2	1
138	или иначе	2	1
139	сюда же	1	1
140	к следующему	1	1
141	есть язык	3	1
142	звуковой формы	1	1
143	и исторические	1	1
144	наука о	2	1
145	этого изучения	1	1
146	было и	1	1
147	из самых	1	1
148	только более	1	1
149	элементарным и	1	1
150	в пределах	4	1
151	и спорить	1	1
152	она все	1	1
153	и исторически	1	1
154	что для	1	1
155	никогда не	2	1
156	но прежде	1	1
157	так и	7	1
158	и индивидуального	1	1
159	это много	1	1
160	одной стороны	1	1
161	той же	3	1
162	историю литературы	1	1
163	в сфере	1	1
164	относится к	2	1
165	этого не	2	1
166	столько же	1	1
167	до конца	2	1
168	часто бывает	1	1
169	с тем	5	1
170	мы имеем	6	1
171	своем месте	1	1
172	такое понимание	1	1
173	именно этот	1	1
174	термина не	1	1
175	до крайности	1	1
176	методом и	1	1
177	является наиболее	1	1
178	именно к	1	1
179	в словах	1	1
180	и даже	3	1
181	должно быть	3	1
182	иначе говоря	2	1
183	и форм	1	1
184	можно сказать	3	1
185	смысле и	2	1
186	или менее	3	1
187	в г	3	1
188	о нем	2	1
189	к лицу	1	1
190	один пример	2	1
191	тех кто	1	1
192	как на	3	1
193	о том	9	1
194	в ней	6	1
195	и потому	4	1
196	в котором	3	1
197	осталось бы	1	1
198	только для	1	1
199	нужно будет	1	1
200	и что	5	1
201	в различных	1	1
202	быть в	2	1
203	как науки	1	1
204	пушкин и	2	1
205	в той	5	1
206	не самый	1	1
207	ему приходится	2	1
208	чем к	1	1
209	является с	1	1
210	в данном	4	1
211	что же	6	1
212	не то	1	1
213	бы в	7	1
214	переходит в	1	1
215	того что	9	1
216	друг другу	1	1
217	в которых	6	1
218	доказывает что	2	1
219	образом на	1	1
220	речи в	4	1
221	на его	3	1
222	говорит он	1	1
223	тому чтобы	1	1
224	это значит	1	1
225	что этот	1	1
226	язык в	5	1
227	и стилистических	1	1
228	на то	4	1
229	него не	1	1
230	ал блока	1	1
231	теории словесности	1	1
232	еще один	2	1
233	его как	1	1
234	отнюдь не	1	1
235	которые могли	1	1
236	еще раз	1	1
237	этом случае	2	1
238	то содержание	1	1
239	тем сам	1	1
240	но тут	1	1
241	литературы как	1	1
242	в своем	3	1
243	что с	2	1
244	раз обратное	1	1
245	поэтики и	1	1
246	но для	1	1
247	научного мышления	1	1
248	которой и	1	1
249	что ему	1	1
250	и все	2	1
251	обе эти	3	1
252	того как	4	1
253	что только	1	1
254	пушкина но	1	1
255	тот же	2	1
256	уже значительно	1	1
257	на своем	1	1
258	более или	3	1
259	объекта и	1	1
260	когда нужно	1	1
261	и творчество	1	1
262	сторону от	2	1
263	применение в	1	1
264	всего лишь	1	1
265	конкретную жизнь	1	1
266	в которой	6	1
267	о котором	2	1
268	не было	3	1
269	так или	2	1
270	находятся в	1	1
271	таком понимании	1	1
272	это же	1	1
273	тогда когда	6	1
274	с одной	1	1
275	с которыми	1	1
276	в качестве	7	1
277	но именно	1	1
278	тем более	2	1
279	в известном	1	1
280	же остается	1	1
281	литературы в	1	1
282	точно и	1	1
283	уже не	8	1
284	далеко не	1	1
285	имеем в	1	1
286	тут мы	1	1
287	но также	2	1
288	то и	2	1
289	же в	4	1
290	в процессе	1	1
291	широком смысле	1	1
292	возражать против	1	1
293	случае все	1	1
294	не столь	1	1
295	тезис о	1	1
296	теории и	1	1
297	приобретая все	1	1
298	иначе связанные	1	1
299	только одним	1	1
300	что было	2	1
301	в нем	4	1
302	связанные с	1	1
303	или даже	1	1
304	но если	2	1
