N	3gram	Losev_Vlad_1	Narrotol
1	в том что	7	8
2	не только в	2	6
3	с одной стороны	1	5
4	о том что	7	4
5	к тому же	2	4
6	тем не менее	2	4
7	в этом отношении	1	3
8	то же время	4	3
9	можно сказать что	2	3
10	в то же	4	3
11	к тому что	1	3
12	мы имеем дело	1	2
13	в ответ на	2	2
14	и не может	1	2
15	у нас нет	2	2
16	имеем дело с	1	2
17	а в том	1	2
18	и тем самым	1	2
19	не только не	1	2
20	ему казалось что	1	2
21	мысль о том	1	2
22	не может быть	3	2
23	в том виде	1	1
24	что иное как	1	1
25	в чем не	1	1
26	своей встречи с	1	1
27	сказать что он	1	1
28	только в формах	1	1
29	в которой он	1	1
30	течение всей жизни	2	1
31	более или менее	3	1
32	к жизни в	1	1
33	в самом деле	1	1
34	в этом смысле	4	1
35	свидетельствует о том	1	1
36	как это делает	1	1
37	что у нее	1	1
38	как раз и	2	1
39	только у людей	1	1
40	и в то	2	1
41	в то что	1	1
42	виде в каком	1	1
43	а с другой	1	1
44	так или иначе	1	1
45	что можно сказать	1	1
46	как раз в	1	1
47	то время как	1	1
48	здесь мы имеем	1	1
49	и называл себя	1	1
50	а также и	1	1
51	в связи с	1	1
52	то что он	5	1
53	и что в	1	1
54	во всяком случае	2	1
55	что у него	2	1
56	об этом и	2	1
57	и когда он	1	1
58	том виде в	1	1
59	есть не что	1	1
60	ни в чем	1	1
61	в то время	2	1
62	так и в	1	1
63	у него есть	1	1
64	она в самом	1	1
65	тем более что	2	1
66	не что иное	1	1
67	одно без другого	1	1
68	в конце жизни	1	1
69	для того чтобы	2	1
70	тех кто не	1	1
71	на другой день	1	1
