N	2gram	Kanaev_Sov_1	IolandNe
1	и не	6	2
2	должен быть	1	2
3	в этом	7	2
4	он не	1	2
5	ничего не	6	2
6	что в	2	2
7	все эти	5	1
8	то и	2	1
9	с другой	1	1
10	о жизни	2	1
11	бы все	1	1
12	отношению к	1	1
13	говорить о	2	1
14	же это	4	1
15	не дает	2	1
16	что при	2	1
17	в целом	4	1
18	и та	1	1
19	во многом	1	1
20	следующим образом	3	1
21	утверждает что	1	1
22	и ничего	1	1
23	жизни и	4	1
24	по отношению	1	1
25	у всех	3	1
26	если бы	1	1
27	того же	1	1
28	с жизнью	1	1
29	и еще	1	1
30	и тот	1	1
31	а в	4	1
32	то она	1	1
33	по существу	1	1
34	и в	7	1
35	другое дело	1	1
36	не случайно	1	1
37	в эту	1	1
38	цель и	1	1
39	все это	3	1
40	на котором	2	1
41	со всеми	2	1
42	он с	1	1
43	никогда не	1	1
