N	3gram	Potebnia_M_2	OGranits
1	не может быть	2	4
2	до тех пор	1	4
3	есть прежде всего	2	3
4	одно и то	2	3
5	представим себе что	1	2
6	но так как	1	2
7	с одной стороны	3	2
8	и то же	2	2
9	с другой стороны	2	2
10	ничего общего с	1	2
11	с самого начала	2	2
12	в том что	7	2
13	мы чувствуем что	1	1
14	один и тот	1	1
15	связаны между собою	1	1
16	не совсем верно	2	1
17	образом мы можем	1	1
18	только потому что	2	1
19	две группы во-первых	1	1
20	более или менее	8	1
21	с одним из	1	1
22	на самом деле	2	1
23	подобно тому как	4	1
24	выйти за пределы	1	1
25	нам кажется что	2	1
26	и не может	1	1
27	на две группы	1	1
28	все это заставляет	1	1
29	в сознании и	1	1
30	в отличие от	1	1
31	между тем как	2	1
32	не было бы	4	1
33	то что в	2	1
34	в собственном смысле	1	1
35	с этой точки	1	1
36	когда мы чувствуем	1	1
37	для того чтобы	2	1
38	может быть не	3	1
39	и тот же	1	1
40	состоит в том	1	1
41	между собою и	1	1
42	тем не менее	5	1
43	и как бы	1	1
44	все же есть	1	1
45	в одном случае	1	1
46	равно и в	1	1
47	в связи с	1	1
48	само по себе	2	1
49	до такой степени	1	1
50	но столь же	1	1
51	то же время	2	1
52	но тем не	3	1
53	мы не можем	3	1
54	быть может в	1	1
55	в сознании не	1	1
56	она ни была	1	1
57	в природе не	1	1
58	собственно говоря и	1	1
59	не только на	1	1
60	распадаются на две	1	1
61	на то что	3	1
62	в то же	2	1
63	как и в	1	1
