N	2gram	Propp_Isto_6	Poddanst
1	не только	10	17
2	и в	26	14
3	и не	10	12
4	в области	1	11
5	в этом	12	10
6	в качестве	3	9
7	но в	7	9
8	то же	5	9
9	в том	12	9
10	только в	5	7
11	в то	5	7
12	в ней	5	6
13	было бы	2	6
14	но и	9	6
15	в которых	2	5
16	с другой	10	5
17	может быть	11	5
18	и пр	1	5
19	экономики и	1	5
20	не в	3	5
21	и о	1	5
22	если бы	3	4
23	тех кто	1	4
24	а также	4	4
25	в своем	2	4
26	и к	1	4
27	как бы	4	4
28	и если	1	4
29	том что	10	4
30	не может	6	4
31	в котором	1	4
32	в русской	6	4
33	что в	12	4
34	мы должны	2	4
35	же в	1	4
36	а в	3	4
37	то что	6	4
38	и т	10	3
39	мы не	6	3
40	сводится к	2	3
41	между тем	1	3
42	это не	4	3
43	хотя и	1	3
44	и как	2	3
45	с ними	2	3
46	с одной	7	3
47	северной америке	2	3
48	в себе	3	3
49	в нем	8	3
50	для того	1	3
51	прежде всего	4	3
52	одной стороны	7	3
53	с тем	4	3
54	что мы	2	3
55	но не	2	3
56	наряду с	3	3
57	могут быть	3	3
58	т е	22	3
59	тем самым	2	3
60	потому что	13	3
61	точки зрения	1	3
62	в сравнении	1	3
63	сравнении с	1	3
64	и это	8	2
65	отношения к	1	2
66	например в	7	2
67	в ее	1	2
68	и есть	1	2
69	в мире	1	2
70	есть не	1	2
71	которую мы	1	2
72	народа его	1	2
73	никак не	1	2
74	во всех	1	2
75	со стороны	3	2
76	с этим	2	2
77	пути в	1	2
78	того что	2	2
79	стороны и	2	2
80	помнить что	1	2
81	бы ни	1	2
82	есть в	1	2
83	главным образом	3	2
84	и других	3	2
85	в его	5	2
86	где бы	1	2
87	в виде	6	2
88	в силу	1	2
89	и вот	3	2
90	по-видимому не	1	2
91	где в	1	2
92	именно как	1	2
93	и с	6	2
94	именно в	1	2
95	и тем	4	2
96	в жизни	1	2
97	в них	3	2
98	не было	3	2
99	а не	2	2
100	в эту	2	2
101	более чем	1	2
102	не столько	1	2
103	не будем	2	2
104	для тех	1	2
105	что из	2	2
106	не менее	1	2
107	все это	1	2
108	между прочим	1	2
109	одна из	2	2
110	в полной	1	2
111	тем более	1	2
112	для нас	2	2
113	может и	1	2
114	подошел к	1	2
115	в частности	3	2
116	особый и	1	2
117	как на	3	2
118	в северной	2	2
119	том числе	1	2
120	с формами	1	1
121	также что	1	1
122	также и	1	1
123	в русских	1	1
124	же как	3	1
125	с другом	1	1
126	и через	3	1
127	связана с	3	1
128	применительно к	1	1
129	происходит и	2	1
130	и то	3	1
131	как по	1	1
132	и этим	5	1
133	должна быть	3	1
134	был и	1	1
135	те же	1	1
136	не с	1	1
137	в борьбе	1	1
138	еще в	3	1
139	бы что	1	1
140	не осуществляется	1	1
141	воздух и	1	1
142	для этого	1	1
143	находится в	1	1
144	не вполне	2	1
145	оно есть	1	1
146	с ее	1	1
147	и ее	3	1
148	и здесь	1	1
149	не означает	2	1
150	пр есть	1	1
151	и что	5	1
152	государство и	1	1
153	могут дать	1	1
154	еще не	9	1
155	были бы	1	1
156	и на	12	1
157	он был	2	1
158	с того	1	1
159	с его	4	1
160	бы она	1	1
161	восходит к	1	1
162	того света	1	1
163	укрепляется и	1	1
164	не все	1	1
165	и растет	1	1
166	борьбе с	2	1
167	что и	4	1
168	отличие от	1	1
169	не просто	1	1
170	выступает как	1	1
171	них в	1	1
172	также в	1	1
173	в истории	1	1
174	а она	1	1
175	в современной	1	1
176	такова же	2	1
177	мысль и	1	1
178	все же	8	1
179	и где	1	1
180	мы видим	5	1
181	более или	1	1
182	в народе	2	1
183	должен быть	1	1
184	может оказаться	1	1
185	духа в	1	1
186	только то	2	1
187	но как	4	1
188	что это	2	1
189	их не	1	1
190	формы в	1	1
191	представляет собой	2	1
192	из этих	4	1
193	тот или	1	1
194	если мы	1	1
195	именно на	2	1
196	человека с	1	1
197	переходит в	1	1
198	что его	1	1
199	и современная	1	1
200	уже в	1	1
201	в жертву	5	1
202	на то	2	1
203	если он	3	1
204	но на	1	1
205	положение что	1	1
206	в мир	1	1
207	т д	8	1
208	выражена в	1	1
209	мы знаем	2	1
210	мир в	1	1
211	одно из	1	1
212	есть та	1	1
213	европы и	1	1
214	не как	1	1
215	и должна	1	1
216	к ним	1	1
217	друг друга	1	1
218	чтобы в	1	1
219	мы можем	7	1
220	и только	3	1
221	и по	4	1
222	с собой	2	1
223	одно и	1	1
224	мы возьмем	1	1
225	от нее	2	1
226	а затем	1	1
227	связанные с	1	1
228	в государство	1	1
229	на этой	2	1
230	ясно что	1	1
231	его в	5	1
232	связаны с	5	1
233	живет в	2	1
234	совершенно ясно	4	1
235	к народу	1	1
236	жизни народа	1	1
237	из числа	1	1
238	а с	2	1
239	ранних и	1	1
240	что не	2	1
241	в это	4	1
242	в ином	6	1
243	но есть	3	1
244	по всему	2	1
245	с богом	1	1
246	древнего востока	1	1
247	и мертвых	2	1
248	где он	2	1
249	коротко ли	5	1
250	далеко не	3	1
251	не исключает	1	1
252	в этой	2	1
253	как и	5	1
254	как ни	1	1
255	в свете	1	1
256	когда в	2	1
257	в одно	2	1
258	нигде в	1	1
259	или менее	1	1
260	и м	1	1
261	что если	1	1
262	и при	1	1
263	так же	2	1
264	всяком случае	2	1
265	недостаточно для	1	1
266	прийти к	1	1
267	что именно	1	1
268	одна сторона	2	1
269	и крылья	1	1
270	знаем что	2	1
271	в данном	3	1
272	вопрос о	3	1
273	он будет	1	1
274	чем к	1	1
275	живых и	2	1
276	явление и	1	1
277	в отдельности	1	1
278	и эти	5	1
279	эти черты	1	1
280	вовлечение в	1	1
281	и более	1	1
282	там где	5	1
283	друг с	1	1
284	и наоборот	1	1
285	того кто	1	1
286	в древней	2	1
287	и вся	1	1
288	и очень	1	1
289	что есть	1	1
290	быть именно	1	1
291	стремление к	1	1
292	она не	3	1
293	что с	1	1
294	не будут	2	1
295	но для	2	1
296	которые были	1	1
297	только мы	1	1
298	случаях когда	3	1
299	того чтобы	1	1
300	бога не	1	1
301	не имеет	2	1
302	никогда не	13	1
303	и злая	1	1
304	казалось бы	1	1
305	о котором	2	1
306	этом мире	1	1
307	идут от	2	1
308	этих двух	1	1
309	где уже	1	1
310	как она	1	1
311	в наши	1	1
312	другой стороны	8	1
313	только что	2	1
314	в этих	2	1
315	давно уже	1	1
316	над ним	1	1
317	индия и	1	1
318	в иной	1	1
319	является и	3	1
320	что все	1	1
321	сделана попытка	1	1
322	этом не	1	1
323	живого и	1	1
324	есть и	4	1
325	в других	4	1
326	единства в	1	1
327	числе и	1	1
328	частности в	1	1
329	что оно	4	1
330	пути к	1	1
331	к этой	1	1
332	видим в	1	1
333	и другие	3	1
334	не есть	2	1
