N	3gram	Tiupa_Disk_2	Russkaja
1	то же время	5	10
2	в то же	4	10
3	с точки зрения	2	9
4	в том что	6	7
5	во всяком случае	1	6
6	бы то ни	1	4
7	не может быть	3	4
8	в этом случае	2	3
9	и не может	2	3
10	и то что	2	3
11	в данном случае	6	3
12	той или иной	3	3
13	того или иного	1	2
14	о том что	3	2
15	друг от друга	1	2
16	в большинстве случаев	1	2
17	ставит себя в	1	1
18	в другом месте	1	1
19	и того же	2	1
20	как сказано выше	1	1
21	но и от	1	1
22	состоит в том	2	1
23	прежде всего на	1	1
24	прежде всего в	1	1
25	дело в том	2	1
26	по отношению к	4	1
27	в самом деле	1	1
28	в том числе	1	1
29	до известной степени	1	1
30	и не к	1	1
31	только то что	1	1
32	в этом отношении	4	1
33	но для этого	1	1
34	том числе и	1	1
35	заключает в себе	2	1
36	по крайней мере	1	1
37	отнюдь не является	1	1
38	и в частности	1	1
39	в значительной степени	1	1
40	в применении к	1	1
41	тем что он	1	1
42	то ни было	1	1
43	жизни но и	1	1
44	но при этом	2	1
45	и должно было	1	1
46	как другие как	1	1
47	и как бы	2	1
48	к одному из	1	1
49	в себе те	1	1
50	большинстве случаев это	1	1
51	самоопределения в этом	1	1
52	в полной мере	1	1
53	и все же	3	1
54	к богу и	1	1
55	того и другого	1	1
56	жизни в том	1	1
57	это разумеется не	1	1
58	с самого начала	1	1
59	речь идет о	1	1
60	одного и того	2	1
61	тем не менее	1	1
62	и прежде всего	2	1
63	на первый взгляд	2	1
64	не только от	1	1
