N	2gram	Tiupa_Lite_1	VeschiIm
1	не есть	2	49
2	не может	5	33
3	не только	24	31
4	может быть	13	29
5	и не	12	28
6	и в	8	26
7	то что	10	24
8	и есть	3	23
9	а не	16	20
10	не просто	1	18
11	что я	2	16
12	только в	8	14
13	и что	1	13
14	того что	6	13
15	и то	2	12
16	есть не	1	12
17	все же	4	12
18	в себя	2	12
19	было бы	2	12
20	но и	17	12
21	сказать что	1	12
22	таким образом	3	11
23	что же	1	11
24	то же	5	10
25	есть нечто	1	10
26	как бы	7	10
27	что такое	2	10
28	потому что	3	10
29	уже не	7	10
30	бы то	1	9
31	в самом	3	9
32	то ни	1	9
33	и с	1	9
34	в том	16	9
35	что не	2	9
36	еще и	3	9
37	прежде всего	11	9
38	ни было	1	9
39	с ее	1	8
40	в себе	7	8
41	на то	1	8
42	себя и	1	8
43	также и	3	7
44	говорить о	1	7
45	в этом	12	7
46	его в	3	7
47	том что	14	7
48	в то	5	7
49	со своим	1	7
50	как с	1	7
51	себя в	6	7
52	так как	1	7
53	как раз	4	7
54	если оно	2	7
55	от всего	1	7
56	совершенно не	1	7
57	со стороны	4	6
58	что они	1	6
59	и как	1	6
60	но в	3	6
61	есть ли	1	6
62	бытие и	1	6
63	точки зрения	6	6
64	по крайней	1	6
65	она не	1	6
66	отличается от	1	6
67	можно было	2	6
68	должно быть	1	6
69	и только	2	6
70	крайней мере	1	6
71	если мы	1	6
72	для него	2	6
73	относится к	2	6
74	жизни и	3	6
75	что в	3	6
76	того же	2	5
77	в сущности	2	5
78	на себя	2	5
79	в чем	1	5
80	но не	4	5
81	с самой	1	5
82	отнюдь не	2	5
83	как к	1	5
84	должна быть	2	5
85	же это	2	5
86	это не	4	5
87	с тем	1	5
88	не в	8	5
89	тем не	2	5
90	есть всегда	1	5
91	в отношении	1	5
92	не менее	7	5
93	одна из	3	5
94	для себя	5	5
95	свою очередь	1	5
96	в ее	1	5
97	если бы	1	5
98	для этого	4	5
99	себя с	1	5
