N	3gram	Vygotskiy__4	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	имел в виду	1	3
4	с точки зрения	4	2
5	и что в	3	2
6	как раз в	4	2
7	не может быть	1	2
8	в том что	12	2
9	это то что	1	1
10	равно как и	1	1
11	уже в конце	1	1
12	в этом смысле	1	1
13	до сих пор	3	1
14	и не может	1	1
15	в той же	1	1
16	в третий раз	1	1
17	не было бы	1	1
18	что в нем	5	1
19	точно так же	3	1
20	и в то	1	1
21	в это время	2	1
22	о том как	2	1
23	в этой сцене	1	1
24	так же как	3	1
25	и что он	2	1
26	на первый взгляд	1	1
27	в конце концов	3	1
28	и в этом	3	1
29	а с другой	1	1
30	во всяком случае	3	1
31	мы знаем о	1	1
32	с другой стороны	2	1
33	как бы в	1	1
34	шаг за шагом	3	1
35	у него в	1	1
36	но об этом	1	1
37	что в этой	2	1
38	заключается в том	3	1
39	в то время	2	1
40	в свою очередь	1	1
41	это и есть	3	1
42	что в ней	2	1
43	о том что	10	1
44	не забудем что	1	1
45	и никогда не	1	1
46	и в самом	2	1
47	не только не	2	1
48	которых не было	1	1
49	но в этом	1	1
50	записи в дневнике	2	1
51	они как бы	1	1
52	на то что	6	1
53	в каком направлении	1	1
54	это не просто	3	1
55	во второй раз	1	1
56	в глубине души	1	1
57	речь идет о	2	1
