N	3gram	Losev_Prob_3	Mirosoze
1	не может быть	5	8
2	и там и	2	6
3	там и здесь	3	6
4	есть прежде всего	1	5
5	друг к другу	1	5
6	для того чтобы	1	4
7	что и в	3	4
8	что иное как	4	3
9	же как и	2	3
10	до сих пор	2	3
11	к тому что	1	3
12	так же как	1	3
13	от того что	1	3
14	и в этом	6	3
15	это и есть	1	3
16	есть не что	4	3
17	не что иное	4	3
18	для этого необходимо	1	3
19	в чем не	2	2
20	к другу и	1	2
21	а не в	1	2
22	это означает что	1	2
23	потому что он	4	2
24	но это не	1	2
25	с самим собою	1	2
26	и никогда не	1	2
27	может быть и	3	2
28	у нас не	2	2
29	да и нет	1	2
30	нас не было	1	2
31	о том что	3	2
32	ни в чем	2	2
33	как и в	1	2
34	она не имеет	1	2
35	в том что	9	2
36	как и во	1	2
37	сказать что всякий	1	1
38	том что он	1	1
39	только тогда когда	1	1
40	с точки зрения	2	1
41	сам по себе	6	1
42	что он не	1	1
43	то в чем	1	1
44	значение но и	1	1
45	но и в	2	1
46	а может быть	1	1
47	выход за пределы	1	1
48	несет с собой	1	1
49	на то что	1	1
50	самого себя в	1	1
51	и не было	1	1
52	превратить его в	1	1
53	значит также и	1	1
54	который может быть	1	1
55	но это и	1	1
56	ни к какому	2	1
57	смысле этого слова	1	1
58	не есть ни	3	1
59	по сравнению с	2	1
60	во втором случае	1	1
61	и в этой	1	1
62	что это за	3	1
63	значение и не	1	1
64	ни в какие	1	1
65	и во всем	1	1
66	не сама по	2	1
67	это не есть	1	1
68	хотя и в	1	1
69	может быть никакого	1	1
70	не то чтобы	1	1
71	что же такое	3	1
72	но также и	2	1
73	нет ничего кроме	1	1
74	та или иная	3	1
75	но он не	1	1
76	и отличается от	1	1
77	только и можно	2	1
78	той или иной	8	1
79	сама по себе	8	1
80	русской революции и	1	1
81	на самом деле	2	1
82	то же что	1	1
83	приводит нас к	1	1
84	в конце концов	3	1
85	именно потому что	3	1
