N	2gram	Potebnia_M_3	Problemy
1	и в	30	43
2	и не	15	29
3	может быть	28	23
4	как бы	3	22
5	не может	6	18
6	как и	10	14
7	но и	19	14
8	и т	5	13
9	в этом	10	13
10	точки зрения	2	13
11	что он	6	13
12	в нем	9	12
13	в одном	2	12
14	слова в	7	12
15	слова и	5	12
16	не только	21	11
17	в каждом	3	11
18	не в	15	11
19	по себе	16	11
20	и на	3	10
21	но в	1	10
22	как мы	7	10
23	в его	4	10
24	прежде всего	3	10
25	в сущности	1	9
26	еще не	5	9
27	он не	4	9
28	слово и	3	9
29	т п	2	9
30	то же	23	8
31	слово не	5	8
32	лишь в	1	8
33	для него	9	8
34	с точки	1	8
35	и его	4	8
36	с самим	1	8
37	или в	3	8
38	слово в	4	8
39	перед нами	2	7
40	в самом	8	7
41	в то	10	7
42	слова с	3	7
43	до сих	3	7
44	а не	15	7
45	что же	2	7
46	сих пор	3	7
47	то что	18	7
48	и наконец	2	6
49	так сказать	2	6
50	при этом	3	6
51	к одному	5	6
52	не как	2	6
53	в этих	1	6
54	что я	5	6
55	здесь не	1	6
56	в том	32	6
57	в котором	4	6
58	у него	2	6
59	и все	3	6
60	сам по	5	5
61	самом деле	2	5
62	нам кажется	2	5
63	и он	1	5
64	но не	7	5
65	по отношению	5	5
66	хотя и	1	5
67	в себе	16	5
68	все эти	1	5
69	на то	2	5
70	да и	1	5
71	таким образом	14	5
72	и с	2	5
73	было бы	9	5
74	в слове	32	5
75	это слово	4	5
76	у меня	2	5
77	но здесь	1	5
78	в речи	2	5
79	о том	2	5
80	никак не	3	5
81	и что	10	5
82	же время	5	5
83	к нему	3	5
84	слово с	2	5
85	так что	7	5
86	вовсе не	7	5
87	все это	4	5
88	бы в	2	5
89	а в	12	5
90	отношению к	5	5
91	и до	2	4
92	а как	2	4
93	мы не	9	4
94	с его	1	4
95	во всех	1	4
96	себе и	1	4
97	отличие от	1	4
98	сама по	2	4
99	там где	3	4
100	в своем	5	4
101	в произведении	3	4
102	т д	3	4
103	может стать	2	4
104	видеть и	1	4
105	в них	5	4
106	далеко не	4	4
107	между собою	6	4
108	должно быть	5	4
109	во время	2	4
110	в своей	2	4
111	но он	1	4
112	их в	2	4
113	том же	2	4
114	слово как	5	4
115	как его	1	4
116	с другом	1	4
117	к тому	7	4
118	на предмет	2	4
119	и это	4	4
120	в словах	3	4
121	из одного	1	4
122	по мере	4	4
123	слово может	5	4
124	только в	21	4
125	же и	3	4
126	так как	13	4
127	одном слове	1	4
128	точек зрения	1	4
129	с другой	7	4
130	на этот	1	4
131	не на	1	4
132	то есть	34	4
133	не могут	5	4
134	друг с	1	4
135	но это	6	4
136	в результате	1	4
137	между ними	1	4
138	что в	17	4
139	но эти	1	4
140	в приведенном	2	3
141	должна быть	1	3
142	мы уже	2	3
143	той же	2	3
144	что если	1	3
145	в единстве	1	3
146	и со	1	3
147	в виду	1	3
148	он был	1	3
149	он сам	1	3
150	такого что	1	3
151	его художественного	1	3
152	за пределы	2	3
153	в одной	1	3
154	стороны и	1	3
155	в художественном	1	3
156	когда он	1	3
157	более или	3	3
158	еще один	1	3
159	только на	3	3
160	тому же	1	3
161	это не	1	3
162	эту минуту	1	3
163	в жизни	1	3
164	кажется что	1	3
165	или менее	3	3
166	в их	2	3
167	образом и	3	3
168	зрения и	2	3
169	даже в	2	3
170	в одно	3	3
171	она не	2	3
172	на него	3	3
173	себе самом	1	3
174	того и	1	3
175	ничего не	1	3
176	во всем	1	3
177	могут быть	3	3
178	не менее	5	3
179	он с	1	3
180	так и	11	3
181	не за	1	3
182	даны в	1	3
183	если бы	12	3
184	и даже	2	3
185	с ним	6	3
186	и здесь	1	3
187	между тем	9	3
188	что и	13	3
189	другого в	1	3
190	и следовательно	3	3
191	его в	3	3
192	тот же	1	3
193	и ее	1	3
194	себя в	1	3
195	есть в	3	3
196	уже не	6	3
197	в виде	2	3
198	тем что	7	3
199	к самому	1	3
200	по своим	1	3
201	себя и	4	3
202	него в	1	3
203	в человеке	3	3
204	все же	2	3
205	сознания и	1	3
206	слов с	1	3
207	в эту	1	3
208	не знает	3	3
209	другой стороны	4	3
210	того же	1	3
211	в последнем	3	3
212	есть и	1	3
213	самосознания и	1	3
214	же нам	2	2
215	я и	3	2
216	а между	2	2
217	отношения к	1	2
218	чтобы не	1	2
219	человека и	5	2
220	словом как	1	2
221	самый предмет	2	2
222	тем же	4	2
223	делая его	1	2
224	из его	1	2
225	в нашу	1	2
226	и о	2	2
227	вопрос о	1	2
228	время как	1	2
229	бы ни	3	2
230	от друга	1	2
231	то это	6	2
232	себе что	2	2
233	мы здесь	1	2
234	в каждой	4	2
235	с большим	1	2
236	собою и	1	2
237	и говорить	1	2
238	быть в	1	2
239	он говорит	2	2
240	в голове	1	2
241	отношение к	2	2
242	друг от	1	2
243	как в	10	2
244	с этим	6	2
245	и слова	2	2
246	целый ряд	2	2
247	и как	5	2
248	его к	2	2
249	в первом	3	2
250	сливается с	2	2
251	та же	2	2
252	что это	4	2
