N	4gram	Savitsky_E_1	Marksizm
1	в то же время	14	8
2	но в то же	2	5
3	одного и того же	1	4
4	бы то ни было	4	4
5	в той или иной	3	3
6	с одной стороны и	6	2
7	и до настоящего времени	1	2
8	той или иной степени	1	2
9	к тому или иному	1	1
10	дело в том что	1	1
11	нам кажется что в	1	1
12	в том числе и	1	1
13	в их отношении к	3	1
14	в этом отношении в	1	1
15	последние в свою очередь	1	1
16	может быть сведена к	1	1
17	на то или иное	1	1
18	во всех этих случаях	1	1
19	в последнее время в	1	1
20	каких бы то ни	2	1
21	мы можем сказать что	1	1
22	xviii и xix век	1	1
23	несмотря на то что	1	1
24	не говоря уже о	1	1
25	эти последние в свою	1	1
26	в гораздо большей степени	1	1
