N	2gram	Savitsky_P_1	Russkaja
1	не может	4	22
2	и не	12	19
3	в том	9	17
4	в этом	10	17
5	и в	14	14
6	с другом	1	14
7	друг с	1	14
8	то что	4	13
9	соединении церквей	1	12
10	то же	9	11
11	о соединении	1	11
12	точки зрения	3	11
13	в то	7	10
14	же время	7	10
15	но и	6	10
16	в себе	3	9
17	не только	17	9
18	том что	4	9
19	с точки	3	9
20	может быть	5	9
21	церкви и	2	9
22	во всяком	1	9
23	того чтобы	1	8
24	прежде всего	3	8
25	русской интеллигенции	1	8
26	как на	2	8
27	отнюдь не	2	7
28	и если	4	7
29	и с	2	7
30	в данном	1	7
31	россии в	5	7
32	стремление к	1	7
33	мы должны	4	7
34	ни к	1	7
35	если в	2	6
36	в своем	4	6
37	и к	4	6
38	в россии	3	6
39	с тем	3	6
40	и при	1	6
41	если бы	4	6
42	все это	2	6
43	для того	3	6
44	всяком случае	1	6
45	вопрос о	1	5
46	и на	1	5
47	во всех	2	5
48	на то	1	5
49	в нем	3	5
50	было бы	6	5
51	никогда не	1	5
52	потому что	3	5
53	между тем	3	5
54	и только	1	5
55	соединению церквей	1	5
56	только в	7	5
57	хотя бы	8	5
58	в последние	2	5
59	или иной	1	5
60	а в	4	5
61	и то	1	4
62	но не	3	4
63	себя в	1	4
64	все же	1	4
65	более или	1	4
66	не в	5	4
67	в этой	1	4
68	его в	1	4
69	как и	1	4
70	или менее	1	4
71	тогда когда	1	4
72	к соединению	1	4
73	идет речь	1	4
74	в мире	2	4
75	в его	2	4
76	со стороны	2	4
77	вместе с	1	4
78	он будет	1	4
79	как бы	4	4
80	что в	4	4
81	к этой	1	4
82	и т	3	3
83	к народу	1	3
84	признание что	2	3
85	говорить о	2	3
86	от церкви	1	3
87	еще не	1	3
88	из этих	1	3
89	россии и	4	3
90	в самом	1	3
91	что это	1	3
92	главным образом	2	3
93	был и	1	3
94	и по	1	3
95	перед россией	1	3
96	для них	2	3
97	должно быть	2	3
98	знаем что	1	3
99	одна из	2	3
100	что оно	1	3
101	что все	1	3
102	для этого	1	3
103	сводится к	3	3
104	может не	1	3
105	в значительной	2	3
106	вопросу о	1	3
107	борьбе с	1	3
108	что и	1	3
109	того что	2	3
110	в качестве	9	3
111	в большинстве	1	3
112	тем чтобы	1	3
113	в виде	2	3
114	из них	2	3
115	друг друга	1	3
116	именно в	2	3
117	только к	1	3
118	не было	2	3
119	вселенской церкви	1	3
120	и потому	4	3
121	да и	2	3
122	культуры в	2	3
123	она может	1	3
124	о котором	1	3
125	и как	3	3
126	не есть	1	3
127	от этой	1	2
128	и есть	2	2
129	должна быть	1	2
130	к чему	2	2
131	из всех	1	2
132	на себя	1	2
133	в ней	6	2
134	время в	2	2
135	вполне и	1	2
136	именно на	1	2
137	не просто	1	2
138	с этим	2	2
139	помнить что	2	2
140	вероисповедания в	1	2
141	но в	9	2
142	от европы	2	2
143	во многих	1	2
144	стремиться к	1	2
145	не к	2	2
146	и вот	2	2
147	европейской культуры	4	2
148	чтобы в	1	2
149	значительной части	1	2
150	на этой	1	2
151	по себе	4	2
152	и тем	2	2
153	стремления к	1	2
154	русской культуры	1	2
155	на основании	1	2
156	нисколько не	1	2
157	в этих	1	2
158	в котором	4	2
159	место в	1	2
160	в силу	2	2
161	друг другу	2	2
162	и более	1	2
163	бы нас	1	2
164	она не	1	2
165	что с	1	2
166	для нас	2	2
167	на россию	1	2
168	в области	11	2
169	россию и	1	2
170	и о	5	2
171	значительной мере	2	2
172	культуры и	1	2
173	за то	1	2
174	ясно что	1	2
175	в борьбе	1	2
176	в порядке	3	2
177	настоящее время	1	2
178	и что	1	2
179	были бы	1	2
180	это в	1	2
181	бы ни	2	2
182	их не	1	2
183	только на	1	2
184	в начале	2	2
185	представить себе	1	2
186	не о	2	2
187	мы можем	1	2
188	при отсутствии	1	2
189	в других	1	2
190	а с	1	2
191	а не	2	2
192	большинстве случаев	1	2
193	в частности	2	2
194	так же	1	2
195	отношения к	2	2
196	есть и	1	2
197	но для	1	2
198	в результате	1	2
199	в настоящее	1	2
200	чтобы понять	1	2
201	отношении к	5	2
202	пути к	1	2
203	значило бы	1	2
204	тем самым	3	2
205	в сфере	2	1
206	области техники	1	1
207	должен быть	1	1
208	также и	1	1
209	есть не	2	1
210	христианства в	1	1
211	самой россии	1	1
212	мы не	3	1
213	же как	1	1
214	русской культуре	1	1
215	таковы реальные	1	1
216	оно есть	1	1
217	в полной	2	1
218	которое в	2	1
219	формы в	1	1
220	он был	1	1
221	столь же	3	1
222	или все	1	1
223	что его	1	1
224	в православии	1	1
225	но как	1	1
226	в общем	2	1
227	отказом от	1	1
228	в истории	1	1
229	что во	1	1
230	кто не	1	1
231	что по	1	1
232	церквей есть	1	1
233	и национальные	1	1
234	в которой	1	1
235	и усилению	1	1
236	у одних	1	1
237	и духовный	1	1
238	только один	1	1
239	себе те	1	1
240	в жертву	1	1
241	если он	1	1
242	но на	1	1
243	как оно	1	1
244	не могла	1	1
245	значительная часть	1	1
246	выражается в	1	1
247	и осуществить	1	1
248	есть та	1	1
249	и иерархии	1	1
250	и построений	1	1
251	заключает в	2	1
252	поскольку она	1	1
253	догматов и	1	1
254	и знать	1	1
255	тем же	1	1
256	россию как	1	1
257	тем в	1	1
258	полной мере	2	1
259	заключается в	3	1
260	это не	3	1
261	интересов и	1	1
262	и мы	2	1
263	в жизни	2	1
264	с богом	1	1
265	из нее	1	1
266	некоторых частей	1	1
267	церковь и	1	1
268	не доходят	1	1
269	ибо только	1	1
270	и без	3	1
271	прийти к	1	1
272	не столько	2	1
273	от рабства	1	1
274	этого творчества	1	1
275	в которых	5	1
276	эта не	1	1
277	теми же	1	1
278	и эти	1	1
279	ее части	1	1
280	и вся	1	1
281	своих интересов	1	1
282	национального целого	1	1
283	исторических эпох	1	1
284	не менее	2	1
285	или что	1	1
286	что эта	1	1
287	и всегда	1	1
288	для каждого	1	1
289	исторической и	1	1
290	проблема и	1	1
291	та или	1	1
292	казалось бы	1	1
293	более что	1	1
294	и часть	1	1
295	с чертами	1	1
296	если будет	1	1
297	и теперь	1	1
298	исходить из	1	1
299	стороны и	2	1
300	тем при	1	1
301	могут быть	3	1
302	этот выход	1	1
303	выступит в	1	1
304	слова но	2	1
305	что при	1	1
306	в применении	1	1
307	и это	2	1
308	этих последствий	1	1
309	с ее	1	1
310	и многие	1	1
311	в ее	2	1
312	совершенно ясно	1	1
313	в собственном	1	1
314	эта задача	1	1
315	мысль о	2	1
316	только то	1	1
317	в себя	1	1
318	те же	1	1
319	том виде	1	1
320	наука и	1	1
321	по сравнению	2	1
322	быть может	6	1
323	в эпоху	1	1
324	народа его	2	1
325	вопроса необходимо	1	1
326	тем чем	1	1
327	церкви в	1	1
328	никак не	2	1
329	в различных	1	1
330	с другой	5	1
331	законченной в	1	1
332	и россия	1	1
333	переходит в	1	1
334	к стремлению	1	1
335	что народ	1	1
336	интеллигенции и	1	1
337	в русском	2	1
338	мы хотим	1	1
339	по количеству	1	1
340	путь ведущий	1	1
341	эти последние	1	1
342	на будущее	1	1
343	оставаясь в	1	1
344	взор исключительно	1	1
345	обе эти	1	1
346	с ними	3	1
347	может оказаться	1	1
348	этот долг	1	1
349	тот или	1	1
350	человека с	1	1
351	если мы	1	1
352	есть проблема	1	1
353	веры и	1	1
354	и других	2	1
355	мы знаем	1	1
356	считают себя	1	1
357	в прошлом	1	1
358	от тех	1	1
359	к ним	1	1
360	и экономической	1	1
361	бы это	1	1
362	вселенской и	1	1
363	из двух	1	1
364	без того	1	1
365	или политической	1	1
366	государство и	1	1
367	может ли	2	1
368	связаны с	1	1
369	что не	1	1
370	православная церковь	2	1
371	европы и	1	1
372	не исключает	1	1
373	черты в	1	1
374	с которым	1	1
375	к победе	1	1
376	в свете	1	1
377	не об	1	1
378	в одно	1	1
379	в преодолении	1	1
380	знаем и	1	1
381	татары не	1	1
382	эта идея	2	1
383	усомниться в	1	1
384	они стремятся	1	1
385	хозяйственной жизни	1	1
386	в европе	2	1
387	многих случаях	1	1
388	чем то	1	1
389	верить что	1	1
390	этих учений	1	1
391	и заблуждения	1	1
392	применении к	1	1
393	в тот	2	1
394	или хотя	1	1
395	называли себя	1	1
396	подходя к	1	1
397	россия есть	1	1
398	между прочим	2	1
399	числе и	1	1
400	к другим	1	1
401	русских людей	1	1
402	тем более	2	1
403	в обстановке	7	1
404	политического и	1	1
405	может и	2	1
406	из тех	1	1
407	и внутренне	1	1
408	национальность в	1	1
409	россия в	3	1
410	рабочих и	1	1
411	ни на	1	1
412	многие из	1	1
413	том числе	2	1
414	они не	1	1
