N	2gram	Tiupa_Anal_2	KulturaY
1	т е	2	38
2	и т	1	33
3	в том	12	30
4	и в	16	24
5	потому что	1	23
6	том что	12	21
7	что в	2	17
8	было бы	3	15
9	в этом	18	14
10	точки зрения	4	14
11	может быть	6	13
12	таким образом	2	12
13	языка в	1	12
14	и не	12	12
15	в его	2	12
16	не в	4	11
17	только в	4	11
18	хотя бы	1	10
19	в самом	6	10
20	не только	16	10
21	в силу	1	10
22	у нас	1	10
23	вовсе не	2	10
24	самом деле	1	9
25	с точки	2	9
26	так как	1	9
27	если бы	3	9
28	о том	7	9
29	того что	2	9
30	отношению к	4	9
31	прежде всего	3	9
32	то что	7	9
33	по отношению	4	8
34	уже не	4	8
35	то же	4	8
36	языка и	2	8
37	тем что	3	8
38	как раз	4	8
39	а не	10	8
40	не может	4	7
41	это не	1	7
42	в них	1	7
43	не менее	4	7
44	связи с	1	7
45	так и	15	7
46	бы в	3	7
47	в качестве	11	7
48	с другой	6	7
49	как бы	10	7
50	вместе с	2	7
51	мере в	1	6
52	мы имеем	3	6
53	на себе	3	6
54	однако не	1	6
55	в которой	1	6
56	все эти	1	6
57	при этом	10	6
58	тогда когда	1	6
59	не случайно	8	6
60	можно было	3	6
61	в какой	1	6
62	но и	12	6
63	именно в	3	6
64	что же	1	6
65	все это	4	6
66	этого рода	2	6
67	другой стороны	2	6
68	еще не	2	5
69	но не	4	5
70	так сказать	1	5
71	по крайней	3	5
72	русской речи	1	5
73	и его	4	5
74	к тому	7	5
75	в виду	1	5
76	с ним	2	5
77	и что	1	5
78	между тем	2	5
79	крайней мере	3	5
80	еще и	1	5
81	в результате	3	5
82	этом отношении	3	5
83	а в	3	5
84	речи и	2	5
85	того же	4	4
86	переход от	1	4
87	и на	6	4
88	с его	1	4
89	в рамках	3	4
90	как в	4	4
91	в целом	8	4
92	из этих	1	4
93	роль в	2	4
94	на то	2	4
95	в нем	1	4
96	в первую	1	4
97	того или	3	4
98	в данном	8	4
99	и тогда	1	4
100	тем не	3	4
101	речи в	2	4
102	тем самым	4	4
103	в таких	2	4
104	и является	4	4
105	в пределах	9	4
106	внимание на	2	4
107	что и	3	4
108	с ними	3	4
109	так что	3	4
110	есть в	3	4
111	не есть	2	4
112	из них	3	4
113	со стороны	3	4
114	в частности	16	4
115	и потому	1	4
116	в тех	1	4
117	по существу	2	4
118	слова и	1	4
119	один из	2	4
120	же в	1	4
121	в этих	2	4
122	так же	2	4
123	и то	3	3
124	в первом	1	3
125	в котором	2	3
126	той же	2	3
127	в сущности	4	3
128	на себя	5	3
129	и он	2	3
130	в противовес	1	3
131	в общем	2	3
132	очевидно что	1	3
133	в связи	1	3
134	в своем	4	3
135	хотя и	4	3
136	когда он	1	3
137	его к	1	3
138	более или	1	3
139	в этой	9	3
140	с их	2	3
141	в себе	7	3
142	и если	3	3
143	на его	3	3
144	состоит в	8	3
145	что она	2	3
146	соответствии с	2	3
147	несмотря на	3	3
148	нисколько не	1	3
149	или менее	1	3
150	в их	3	3
151	и эти	1	3
152	даже в	2	3
153	тому что	1	3
154	казалось бы	3	3
155	только и	1	3
156	это слово	1	3
157	из одного	1	3
158	ли не	2	3
159	свою очередь	1	3
160	сводится к	3	3
161	не с	4	3
162	это только	2	3
