N	3gram	Bakhtin_Pr_4	VelikijI
1	то что мы	1	3
2	к тому что	1	3
3	а между тем	1	2
4	но и в	2	2
5	том что он	1	2
6	вместо того чтобы	1	2
7	в том что	2	2
8	но прежде всего	1	1
9	но все же	1	1
10	очень важное место	1	1
11	есть прежде всего	1	1
12	сознании и в	2	1
13	хотя бы и	1	1
14	в сознании и	1	1
15	не могли бы	1	1
16	и в жизни	1	1
17	других людей в	1	1
18	в конце концов	1	1
19	в xx веке	1	1
20	его личности и	1	1
21	с другой стороны	3	1
22	как бы в	3	1
23	по сравнению с	1	1
24	так и в	1	1
25	и вместе с	1	1
26	проявляется и в	1	1
27	жизни в этом	1	1
28	после того как	1	1
29	как и в	3	1
30	в жизни и	1	1
