N	3gram	Potebnia_M_3	Komedia
1	в том что	16	9
2	и т п	2	5
3	в то время	4	5
4	с другой стороны	4	5
5	к тому же	1	5
6	том что он	2	4
7	то время как	1	4
8	то же время	5	4
9	в то же	5	4
10	и т д	3	4
11	по отношению к	5	3
12	в этом отношении	2	3
13	после того как	1	3
14	с одной стороны	3	3
15	о том что	1	3
16	не говоря уже	1	2
17	то же самое	1	2
18	говоря уже о	1	2
19	но и в	4	2
20	и тем что	1	2
21	до сих пор	3	2
22	как и в	2	2
23	и таким образом	1	2
24	именно потому что	1	2
25	на то что	1	2
26	таким образом в	1	2
27	между людьми и	1	1
28	отсюда видно что	1	1
29	со своей стороны	1	1
30	более или менее	3	1
31	подобно тому как	2	1
32	а между тем	2	1
33	в том же	2	1
34	не прибавляет к	1	1
35	вместе с тем	4	1
36	в чем не	1	1
37	как одного из	1	1
38	а может быть	1	1
39	сам по себе	5	1
40	состоит не в	1	1
41	со всех сторон	1	1
42	в данном случае	1	1
43	не только в	4	1
44	смысле этого слова	7	1
45	в чем же	1	1
46	в разной мере	1	1
47	так или иначе	1	1
48	еще и теперь	1	1
49	из них не	1	1
50	и в том	2	1
51	потому что они	1	1
52	бросается в глаза	1	1
53	что он не	3	1
54	каждого из этих	1	1
55	потому что и	2	1
56	но и без	1	1
57	ничего не прибавляет	1	1
58	может и не	1	1
59	друг от друга	1	1
60	как мы уже	1	1
61	бы только один	1	1
62	него самого и	1	1
63	к тому что	2	1
64	то время когда	1	1
65	тем не менее	3	1
66	как мы видели	1	1
67	или вовсе не	1	1
68	для того чтобы	3	1
69	в разговоре с	1	1
70	и тот же	1	1
