N	3gram	Vygotskiy__3	VeschiIm
1	и т д	4	20
2	не может быть	1	18
3	в том что	11	6
4	на то что	12	6
5	одно и то	2	5
6	и то же	2	5
7	в свою очередь	2	5
8	то что является	1	4
9	с точки зрения	9	4
10	и то что	3	4
11	более или менее	1	3
12	в самом деле	18	3
13	подобно тому как	1	3
14	можно было бы	1	3
15	то и другое	3	3
16	вместе с тем	2	3
17	указывает на то	3	3
18	только то что	2	3
19	ли это что	1	3
20	можно сказать что	1	2
21	этой точки зрения	1	2
22	о том как	2	2
23	в основе своей	1	2
24	с этой точки	1	2
25	в данном случае	2	2
26	что в ней	1	2
27	не есть еще	1	2
28	заключается в том	6	2
29	если бы я	1	2
30	что это есть	1	2
31	к тому что	2	2
32	она могла бы	1	2
33	так что в	1	2
34	никакого отношения к	1	2
35	это не есть	1	2
36	она не может	1	2
37	таким образом что	1	1
38	которой ничего не	1	1
39	и может быть	1	1
40	тот же самый	1	1
41	что несмотря на	1	1
42	от всех прочих	1	1
43	того что в	1	1
44	заключается не в	2	1
45	что то же	1	1
46	ясно что смысл	1	1
47	это было бы	1	1
48	с и в	3	1
49	не имеют никакого	1	1
50	в ней есть	1	1
51	и в той	1	1
52	до сих пор	5	1
53	и во всех	2	1
54	как раз к	1	1
55	в зависимости от	1	1
56	в той же	1	1
57	что он не	1	1
58	не то что	2	1
59	не имеет никакого	3	1
60	что не только	1	1
61	кроме того что	1	1
62	та и другая	1	1
63	к которым они	1	1
64	она может быть	1	1
65	и что это	1	1
66	ни в какой	1	1
67	она должна быть	3	1
68	может быть и	1	1
69	то что можно	1	1
70	как раз в	1	1
71	потому что он	1	1
72	в применении к	1	1
73	то время как	2	1
74	и заставляет нас	2	1
75	не потому что	1	1
76	в том чтобы	1	1
77	таким образом и	1	1
78	с одной стороны	5	1
79	когда он говорит	1	1
80	смысле этого слова	2	1
81	и в этом	3	1
82	точки зрения которую	1	1
83	и как бы	2	1
84	и ничего не	1	1
85	не в том	2	1
86	потому что она	1	1
87	с другой стороны	5	1
88	ни от кого	1	1
89	потому что они	2	1
90	речь идет о	3	1
91	не мог бы	1	1
92	а в том	1	1
93	и все же	1	1
94	в одном и	1	1
95	с но и	1	1
96	во всяком случае	2	1
97	мы не можем	2	1
98	том смысле что	1	1
99	в то время	2	1
100	и вместе с	2	1
101	о том что	3	1
102	если бы оно	1	1
103	хотя бы в	1	1
104	таким же точно	1	1
105	не только не	1	1
106	не к чему	1	1
107	видно уже из	1	1
108	но тот же	1	1
109	но все же	1	1
110	для того чтобы	8	1
111	смысл не только	1	1
112	в том смысле	2	1
113	мы видим что	7	1
114	не только то	1	1
115	и мы увидим	2	1
116	на то чтобы	1	1
