N	2gram	Berdyaev_O_1	Analitik
1	не только	11	22
2	и в	19	18
3	как и	6	14
4	так и	2	14
5	в этом	12	14
6	но и	13	13
7	и его	4	13
8	и не	13	12
9	в частности	1	12
10	том что	2	12
11	а в	5	10
12	как бы	3	10
13	в том	5	9
14	со стороны	1	9
15	что в	4	9
16	а не	11	9
17	может быть	11	9
18	и даже	1	8
19	не случайно	1	8
20	с его	4	8
21	но не	1	7
22	в его	7	7
23	в русской	3	7
24	еще не	3	6
25	не в	11	6
26	для него	5	6
27	в этой	5	6
28	он не	7	6
29	о том	3	6
30	прежде всего	9	5
31	в конце	1	5
32	в сущности	1	5
33	лишь в	7	5
34	представляет собой	1	5
35	никогда не	9	5
36	уже не	1	5
37	в самом	5	5
38	что и	2	5
39	в мире	1	5
40	все же	2	4
41	по себе	2	4
42	в одном	1	4
43	и сам	1	4
44	и к	2	4
45	о чем	1	4
46	и на	2	4
47	что он	3	4
48	и как	1	4
49	не есть	2	4
50	в своем	2	4
51	что они	2	3
52	не было	9	3
53	мы не	1	3
54	ключ к	1	3
55	как это	1	3
56	и без	1	3
57	его в	2	3
58	который в	1	3
59	его как	1	3
60	в ее	2	3
61	как в	1	3
62	что не	4	3
63	ничего не	2	3
64	лишь на	1	3
65	с их	1	3
66	во всем	1	3
67	этом отношении	1	3
68	его не	2	3
69	все это	6	3
70	к этому	2	3
71	было бы	3	3
72	он и	1	3
73	уже в	2	3
74	в каждом	1	3
75	указывает на	1	3
76	мысль о	2	3
77	все эти	4	2
78	этом он	2	2
79	в них	1	2
80	в себе	3	2
81	в борьбе	1	2
82	и здесь	1	2
83	в форме	1	2
84	и вот	3	2
85	во всяком	1	2
86	связь с	1	2
87	говорит о	1	2
88	не может	4	2
89	и для	2	2
90	о его	5	2
91	и все	10	2
92	в жизни	1	2
93	в нем	10	2
94	совершенно не	1	2
95	бы и	1	2
96	тем что	2	2
97	и он	8	2
98	с тем	2	2
99	то в	1	2
100	со всеми	1	2
101	по своей	1	2
102	нуждается в	1	2
103	есть не	1	2
104	личности и	2	2
105	например в	1	2
106	отношения к	1	2
107	о которой	2	2
108	всяком случае	1	2
109	это не	3	2
110	хотя и	2	2
111	не с	1	2
112	то что	5	2
113	в новом	1	2
114	и прежде	1	2
115	любви к	1	2
116	и от	3	2
117	в глубине	7	2
118	да и	1	2
119	но всегда	1	2
120	один из	1	2
121	и потому	2	2
122	видеть в	1	2
123	в свое	1	2
124	до которой	1	2
125	дело в	1	2
126	одна из	1	2
127	но сам	1	2
128	этого слова	1	2
129	могут быть	3	2
130	когда он	3	2
131	как к	2	2
132	но в	2	2
133	и ее	3	2
134	в глаза	1	2
135	самом деле	1	2
136	на два	1	2
137	в ней	1	2
138	сказать что	2	2
139	что она	1	2
140	в глазах	1	2
141	на примере	1	2
142	есть на	1	1
143	жизни ее	1	1
144	по природе	1	1
145	в пределе	1	1
146	в чистом	1	1
147	каждом из	1	1
148	был в	1	1
149	тем же	1	1
150	одним человеком	1	1
151	бы в	1	1
152	но о	1	1
153	своих героев	1	1
154	всего двух	1	1
155	вопрос о	10	1
156	это все	1	1
157	от всех	1	1
158	широк человек	1	1
159	в одно	1	1
160	человеческой личности	6	1
161	жизни и	1	1
162	от этого	1	1
163	границы и	1	1
164	было и	1	1
165	лишь для	1	1
166	ко всему	1	1
167	нигде и	1	1
168	лишь к	1	1
169	и открывает	1	1
170	быть осуществлено	1	1
171	все его	1	1
