1	и т д	8	15
2	по крайней мере	1	9
3	с точки зрения	16	8
4	сама по себе	2	7
5	в том что	8	6
6	не потому что	1	6
7	о том что	3	4
8	в том смысле	1	4
9	в связи с	4	4
10	то или иное	2	4
11	только тогда когда	4	4
12	с другой стороны	3	4
13	то же время	1	4
14	только то что	2	4
15	в таком случае	2	3
16	принять во внимание	2	3
17	вовсе не в	1	3
18	в то же	1	3
19	в самом деле	11	3
20	не может быть	3	3
21	том смысле что	1	3
22	т е в	1	3
23	может быть и	1	3
24	в то время	1	3
25	сам по себе	3	3
26	говоря уже о	2	2
27	до сих пор	8	2
28	от того что	2	2
29	в той или	2	2
30	в противоположность этому	1	2
31	это вовсе не	1	2
32	не могут быть	2	2
33	и т п	41	2
34	то же самое	1	2
35	тем не менее	9	2
36	в зависимости от	7	2
37	имеется в виду	1	2
38	потому что он	1	2
39	не только в	3	2
40	во всяком случае	1	2
41	не говоря уже	2	2
42	само по себе	1	2
43	скажу только что	1	2
44	более или менее	2	2
45	чтобы не было	1	2
46	не должно быть	1	2
47	ни в какой	2	2
48	д и т	1	2
49	и прежде всего	1	2
50	т д и	1	2
51	в данном случае	4	2
52	это не значит	1	2
53	то это вовсе	1	1
54	между поэзией и	2	1
55	мы говорим о	1	1
56	но и в	1	1
57	одному тому что	1	1
58	мы находим в	1	1
59	то что мы	1	1
60	и не может	1	1
61	к тому что	1	1
62	могут быть без	1	1
63	т е таких	1	1
64	в целом есть	1	1
65	мы должны сказать	1	1
66	может не иметь	1	1
67	в виду не	1	1
68	в этом смысле	1	1
69	того или иного	3	1
70	из всего вышесказанного	1	1
71	что бы то	1	1
72	ни на какие	1	1
73	в том отношении	1	1
74	то ни стало	1	1
75	представить себе как	1	1
76	том отношении что	1	1
77	с тем чтобы	2	1
78	уже само по	1	1
79	по одному тому	1	1
80	и после этого	1	1
81	можно только тогда	1	1
82	и в этом	4	1
83	же мы говорим	1	1
84	из ряда вон	1	1
85	и в то	1	1
86	но не потому	1	1
87	так как они	1	1
88	мог бы и	1	1
89	он не умеет	1	1
90	это еще не	1	1
91	в свое время	2	1
92	к тому же	2	1
93	и пр и	1	1
94	одних и тех	1	1
95	точки зрения чисто	1	1
96	от них получает	1	1
97	он мог бы	1	1
98	не то что	1	1
99	не в том	2	1
100	до тех пор	4	1
101	что на самом	1	1
102	тех пор пока	4	1
103	и то не	1	1
104	и тех же	1	1
105	но дело не	1	1
106	когда же мы	1	1
107	той или иной	5	1
108	с одной стороны	4	1
109	не зависит от	1	1
110	на самом деле	3	1
111	чтобы она была	1	1
112	т е как	3	1
113	есть прежде всего	1	1
114	что и в	2	1
115	во что бы	1	1
116	ту или иную	1	1
117	как быть с	1	1
118	именно в том	1	1
119	но все же	1	1
120	не есть вообще	1	1
121	если он не	1	1
122	бы то ни	1	1
123	дело не в	2	1
124	я хочу сказать	1	1
125	как и всякая	1	1
126	в каждом человеке	1	1
127	на очень высокой	1	1
128	вместе с тем	1	1
129	и вместе с	1	1
130	когда мы говорим	1	1
131	что она не	1	1
132	в каком смысле	1	1
133	это не только	1	1
134	а не просто	2	1
135	что она есть	1	1
136	и при этом	1	1
137	заключается в том	1	1
138	и независимо от	1	1
139	так же как	1	1
