N	3gram	Bakhtin_fo_1	Istorich
1	не может быть	3	7
2	до сих пор	3	5
3	с одной стороны	2	4
4	в том что	2	4
5	дело в том	2	3
6	по отношению к	3	3
7	то время как	2	3
8	в то время	3	3
9	в связи с	5	3
10	друг с другом	1	3
11	надо сказать что	1	3
12	о том что	1	3
13	но все же	2	3
14	что дорога в	1	2
15	в зависимости от	1	2
16	но и в	2	2
17	вместе с тем	2	2
18	он попадает в	1	2
19	так же как	2	2
20	в отличие от	2	2
21	как мы увидим	1	2
22	мы будем называть	1	2
23	большую роль играют	1	2
24	с самого начала	2	2
25	для нас не	1	2
26	для всех этих	1	1
27	но кроме того	1	1
28	до наших дней	1	1
29	в другом месте	1	1
30	прежде всего в	1	1
31	с ним но	1	1
32	равно как и	2	1
33	его в связи	1	1
34	с исторической действительностью	1	1
35	мы можем поставить	1	1
36	и в особенности	2	1
37	этим мы еще	1	1
38	в соответствии с	2	1
39	в средние века	1	1
40	в этом случае	1	1
41	одной стороны и	2	1
42	же как и	2	1
43	одно из проявлений	1	1
44	они не могут	1	1
45	не было и	2	1
46	но все это	1	1
47	что он должен	1	1
48	можем поставить вопрос	1	1
49	сами по себе	1	1
50	друг на друга	2	1
51	наряду с этим	2	1
52	но он не	1	1
53	и т п	8	1
54	с природой и	1	1
55	дальнейшем оказывается что	2	1
56	может быть только	3	1
57	и др или	1	1
58	в значительной степени	1	1
59	в это время	1	1
60	проник и в	1	1
61	в ту же	1	1
62	но в то	1	1
63	не только в	2	1
64	таким образом и	1	1
65	как мы это	1	1
66	с этим в	1	1
67	так и по	1	1
68	должны будем ответить	1	1
69	и всей его	1	1
70	ни к какой	1	1
71	не могут быть	1	1
72	на природу и	1	1
73	но они всегда	1	1
74	соответствии с этим	2	1
75	мы уже видели	1	1
76	в стороне от	1	1
77	в дальнейшем оказывается	2	1
78	все же и	1	1
79	на берегу моря	1	1
80	не только на	1	1
81	слагается из ряда	1	1
82	средние века и	1	1
83	смысле этого слова	1	1
84	не входят в	1	1
85	с этим мы	1	1
86	и в этом	1	1
87	во всем мире	1	1
88	для того чтобы	5	1
89	все это не	1	1
90	что во всех	1	1
91	носит иной характер	1	1
92	к тому же	2	1
93	в этом отношении	3	1
94	мы еще не	1	1
95	до известной степени	1	1
