N	3gram	Potebnia_M_2	Analitik
1	не может быть	2	16
2	в том что	7	9
3	в то же	2	8
4	в том чтобы	1	7
5	в отличие от	1	6
6	то же время	2	6
7	большей или меньшей	1	4
8	и не может	1	4
9	и не в	1	4
10	о том что	1	3
11	состоит в том	1	3
12	подобно тому как	4	3
13	в таком случае	2	3
14	бы то ни	1	3
15	из того что	1	3
16	и т п	3	3
17	для того чтобы	2	3
18	то ни было	1	3
19	с одной стороны	3	3
20	не в том	2	3
21	собственно говоря и	1	3
22	и того же	6	2
23	могли бы быть	1	2
24	сами по себе	7	2
25	в той мере	1	2
26	не могут быть	3	2
27	с другой стороны	2	2
28	мере в какой	1	2
29	одного и того	6	2
30	не о том	1	2
31	той мере в	1	2
32	том что он	1	2
33	если в самом	1	1
34	в том виде	1	1
35	не в состоянии	4	1
36	действительно имеет место	1	1
37	имеет дело с	1	1
38	бы ни был	1	1
39	и той же	1	1
40	более или менее	8	1
41	связь с другими	1	1
42	как и во	2	1
43	один и тот	1	1
44	в каком она	1	1
45	собою не только	1	1
46	о том как	1	1
47	по себе они	1	1
48	только в том	1	1
49	до сих пор	4	1
50	том случае если	1	1
51	сам по себе	4	1
52	и быть может	1	1
53	в том случае	1	1
54	при этом мы	1	1
55	а не с	2	1
56	между тем как	2	1
57	в собственном смысле	1	1
58	состоит не в	2	1
59	та и другая	1	1
60	виде в каком	1	1
61	потому что из	1	1
62	об одном из	3	1
63	в одном неделимом	1	1
64	с этой точки	1	1
65	по крайней мере	5	1
66	в уединении а	1	1
67	вместе с тем	1	1
68	только для того	1	1
69	одно и то	2	1
70	влияние на все	1	1
71	и тогда когда	2	1
72	и на все	1	1
73	значения в том	1	1
74	в себе в	1	1
75	смысле этого слова	3	1
76	и то же	2	1
77	в свою очередь	6	1
78	а скорее в	1	1
79	то что мы	2	1
80	но в таком	1	1
81	в сознании или	1	1
82	и как бы	1	1
83	в большей или	1	1
84	все же не	1	1
85	скорее в том	1	1
86	которое не может	1	1
87	во всяком случае	7	1
88	могла бы быть	1	1
89	что же касается	1	1
90	на вопрос о	1	1
91	далеко не все	1	1
92	при этом как	1	1
93	совмещает в себе	1	1
94	том виде в	1	1
95	до тех пор	1	1
96	от сознания а	1	1
97	он в то	1	1
98	между тем в	1	1
99	и тем самым	1	1
100	и в самом	1	1
101	мысль о том	1	1
102	в душевной жизни	1	1
103	только тогда когда	2	1
104	в этом смысле	2	1
105	во втором случае	1	1
106	в связи с	1	1
107	одной и той	1	1
108	или лучше сказать	1	1
109	и та и	1	1
110	как и в	1	1
111	здесь как и	1	1
112	форма в которой	1	1
113	и тот же	1	1
