N	2gram	Bakhtin_Fr_1	Marksizm
1	точки зрения	7	34
2	может быть	6	26
3	и не	22	26
4	не может	3	24
5	с точки	3	20
6	и его	10	19
7	и в	65	19
8	в этом	15	16
9	как бы	22	15
10	в процессе	2	14
11	прежде всего	11	13
12	как мы	6	13
13	как и	5	12
14	и пр	5	12
15	и для	2	11
16	связи с	4	11
17	так и	10	11
18	в нем	13	10
19	и т.п	17	10
20	в самом	4	10
21	самом деле	3	10
22	для него	5	9
23	лишь в	1	9
24	только в	7	9
25	в результате	1	9
26	все же	6	8
27	при этом	6	8
28	сих пор	4	8
29	на материале	1	8
30	до сих	4	8
31	но и	10	8
32	то что	3	8
33	в контексте	1	8
34	друг друга	3	8
35	не только	10	8
36	все эти	10	7
37	в связи	1	7
38	во всех	9	7
39	в ее	3	7
40	но в	14	7
41	то же	1	7
42	бытия в	1	7
43	а не	1	7
44	и здесь	3	6
45	кроме того	2	6
46	настоящее время	1	6
47	мы не	1	6
48	в настоящее	1	6
49	в том	16	6
50	в его	9	6
51	ничего не	3	6
52	другой стороны	1	6
53	так сказать	4	6
54	в науке	1	6
55	в основном	2	6
56	в пределах	1	6
57	языка для	1	5
58	во всяком	1	5
59	входит в	4	5
60	рядом с	5	5
61	вовсе не	18	5
62	и все	5	5
63	не в	4	5
64	хотя бы	1	5
65	в конце	1	5
66	те же	1	5
67	того чтобы	1	5
68	в начале	1	5
69	отличие от	5	5
70	до настоящего	1	5
71	до конца	2	5
72	и потому	10	5
73	по преимуществу	1	5
74	именно в	1	5
75	этот вопрос	2	5
76	в отличие	4	5
77	за пределы	8	5
78	с другой	3	5
79	к этому	1	5
80	может стать	1	5
81	настоящего времени	1	5
82	как ее	1	5
83	конечно не	1	5
84	совершается в	1	5
85	вне его	1	4
86	еще не	6	4
87	отражает и	1	4
88	не менее	1	4
89	в условиях	13	4
90	по себе	1	4
91	между ними	4	4
92	в отношении	6	4
93	жизни в	5	4
94	что в	3	4
95	здесь мы	1	4
96	что слово	1	4
97	с этим	1	4
98	нет и	2	4
99	в рамки	1	4
100	и на	11	4
101	как в	5	4
102	для того	1	4
103	так называемая	1	4
104	в языке	1	4
105	не столько	1	4
106	отношении к	1	4
107	внутренней жизни	1	4
108	мысли и	4	4
109	от того	2	4
110	далеко не	3	4
111	и эта	3	4
112	в ней	6	4
113	чем же	1	4
114	сказать что	6	4
115	было бы	1	4
116	форм и	9	4
117	не является	3	4
118	только на	2	4
119	в которой	1	3
120	момент в	1	3
121	все формы	2	3
122	же время	1	3
123	можно сказать	2	3
124	понимания и	3	3
125	место в	1	3
126	мы теряем	1	3
127	для всего	1	3
128	речевого общения	3	3
129	и ее	1	3
130	и действительно	1	3
131	большинстве случаев	2	3
132	не было	1	3
133	из основных	2	3
134	в большинстве	2	3
135	вполне понятно	2	3
136	в какой	1	3
137	вопрос мы	2	3
138	в своей	5	3
139	на язык	1	3
140	места в	1	3
141	его в	7	3
142	но все	3	3
