N	2gram	Propp_Morf_1	BTomashe
1	у нас	2	3
2	и не	12	2
3	больше чем	1	2
4	можно было	2	2
5	выпадает из	2	1
6	же не	1	1
7	по мотивам	3	1
8	говорить о	3	1
9	бы только	1	1
10	об этом	4	1
11	и в	13	1
12	не вполне	1	1
13	к ней	1	1
14	по отдельным	1	1
15	говорить не	1	1
16	с другой	8	1
17	в своей	1	1
18	на самом	4	1
19	на которой	1	1
20	как будто	2	1
21	точно и	1	1
22	и нет	1	1
23	было бы	3	1
24	все же	7	1
25	всяком случае	2	1
26	кроме того	1	1
27	между ними	1	1
28	еще не	3	1
29	и на	1	1
30	в пределах	3	1
31	одной из	1	1
32	должна быть	1	1
33	нет но	1	1
34	прежде всего	9	1
35	в данном	1	1
36	так и	6	1
37	то как	2	1
38	его не	1	1
39	совершенно не	1	1
40	далеко не	5	1
41	а не	11	1
42	что в	8	1
43	в области	1	1
44	другой стороны	4	1
45	также не	1	1
46	и ее	3	1
47	не все	6	1
48	таким образом	21	1
49	материала по	1	1
50	вопрос о	7	1
51	и более	1	1
52	не только	4	1
53	во всяком	2	1
