N	2gram	Potebnia_M_1	Poddanst
1	не только	21	17
2	и в	39	14
3	и не	18	12
4	в области	1	11
5	в этом	15	10
6	в отношении	1	10
7	но в	9	9
8	то же	6	9
9	в том	26	9
10	хотя бы	2	8
11	только в	25	7
12	в то	4	7
13	же время	4	7
14	в ней	7	6
15	было бы	12	6
16	но и	20	6
17	быть может	1	6
18	в смысле	4	6
19	в которых	1	5
20	с другой	7	5
21	может быть	27	5
22	не в	15	5
23	и о	2	5
24	если бы	14	4
25	в своем	3	4
26	как бы	6	4
27	и если	2	4
28	том что	16	4
29	не может	22	4
30	и потому	5	4
31	в котором	1	4
32	по себе	10	4
33	что в	22	4
34	мы должны	3	4
35	же в	2	4
36	а в	5	4
37	то что	10	4
38	и т	6	3
39	мы не	10	3
40	столь же	3	3
41	между тем	5	3
42	это не	7	3
43	вслед за	1	3
44	хотя и	3	3
45	и как	6	3
46	с ними	1	3
47	с одной	3	3
48	в себе	13	3
49	в нем	20	3
50	сами по	1	3
51	для того	3	3
52	заключается в	3	3
53	прежде всего	4	3
54	одной стороны	3	3
55	с тем	5	3
56	что мы	4	3
57	и без	3	3
58	с точки	3	3
59	но не	8	3
60	она есть	1	3
61	могут быть	9	3
62	тем самым	4	3
63	потому что	52	3
64	точки зрения	8	3
65	в сравнении	3	3
66	сравнении с	2	3
67	и это	3	2
68	отношения к	1	2
69	например в	1	2
70	в ее	1	2
71	переход от	1	2
72	и есть	2	2
73	в мире	3	2
74	было в	1	2
75	есть не	2	2
76	с с	1	2
77	по характеру	1	2
78	является в	1	2
79	есть нечто	4	2
80	которое в	1	2
81	никак не	2	2
82	во всех	5	2
83	весьма мало	1	2
84	если в	1	2
85	во всей	1	2
86	со стороны	8	2
87	с этим	7	2
88	того что	8	2
89	стороны и	2	2
90	помнить что	3	2
91	духа и	7	2
92	бы ни	4	2
93	думать что	3	2
94	есть в	2	2
95	в начале	2	2
96	и других	4	2
97	в его	5	2
98	из них	1	2
99	в виде	1	2
100	именно как	1	2
101	и с	3	2
102	именно в	1	2
103	и мы	1	2
104	iii в	1	2
105	и тем	3	2
106	в жизни	3	2
107	для них	2	2
108	в них	3	2
109	не было	4	2
110	а не	21	2
111	должно быть	7	2
112	нужно было	3	2
113	в эту	1	2
114	более чем	1	2
115	не столько	1	2
116	духовную жизнь	1	2
117	друг другу	3	2
118	ней не	1	2
119	что из	1	2
120	не менее	6	2
121	все это	1	2
122	между прочим	2	2
123	слова но	2	2
124	сколько бы	1	2
125	мысль о	2	2
126	да и	1	2
127	в полной	1	2
128	еще более	2	2
129	тем более	2	2
130	создается в	1	2
131	для нас	9	2
132	заключает в	2	2
133	как на	3	2
134	в применении	2	1
135	с формами	1	1
136	от этой	1	1
137	с утверждением	1	1
138	же как	1	1
139	которого в	1	1
140	и то	3	1
141	тем и	1	1
142	которая хотя	1	1
143	духа есть	1	1
144	тем же	2	1
145	применении к	2	1
146	должна быть	3	1
147	собственном смысле	1	1
148	чтобы дать	1	1
149	на нее	1	1
150	те же	1	1
151	не с	1	1
152	еще в	1	1
153	к первому	3	1
154	что дело	1	1
155	для этого	2	1
156	духовной и	1	1
157	в собственном	2	1
158	не вполне	1	1
159	на себя	1	1
160	с ее	2	1
161	и ее	1	1
162	том виде	1	1
163	в некотором	2	1
164	эти явления	3	1
165	духа с	1	1
166	и что	10	1
167	притом в	1	1
168	еще не	6	1
169	были бы	3	1
170	и на	1	1
171	в различных	1	1
172	с его	1	1
173	к истине	1	1
174	связь между	2	1
175	стремления и	1	1
176	два явления	1	1
177	жить и	1	1
178	не все	2	1
179	более как	3	1
180	что и	6	1
181	есть с	1	1
182	мы хотим	1	1
183	в истории	7	1
184	что во	2	1
185	тех пор	1	1
186	мысль и	1	1
187	все же	6	1
188	этой последней	1	1
189	и слова	2	1
190	вопросом о	2	1
191	мы видим	4	1
192	жизни она	1	1
193	более или	1	1
194	в какой	1	1
195	бы из	1	1
196	в народе	2	1
197	должен быть	1	1
198	можем представить	2	1
199	и такое	1	1
200	в самом	3	1
201	только то	2	1
202	настоящую минуту	1	1
203	но как	3	1
204	в которой	2	1
205	что это	3	1
206	их не	1	1
207	формы в	1	1
208	могли бы	2	1
209	вопрос об	3	1
210	есть для	2	1
211	из этих	4	1
212	если мы	3	1
213	собою как	1	1
214	история и	2	1
215	себя в	1	1
216	в известном	1	1
217	и действуют	1	1
218	переходит в	1	1
219	что его	1	1
220	и чувствуем	1	1
221	мира но	1	1
222	уже в	1	1
223	во многих	2	1
224	только на	3	1
225	на то	2	1
226	если он	1	1
227	но на	2	1
228	положение что	1	1
229	взятые в	1	1
230	д не	1	1
231	как оно	1	1
232	в мир	1	1
233	не могла	2	1
234	можно думать	2	1
235	т д	4	1
236	только к	1	1
237	соприкасается с	1	1
238	мир в	1	1
239	есть как	2	1
240	одно из	3	1
241	нужно говорить	1	1
242	не как	1	1
243	иначе как	2	1
244	и должна	1	1
245	что каждая	1	1
246	к ним	2	1
247	друг друга	5	1
248	мы можем	2	1
249	и только	2	1
250	само по	4	1
251	и по	6	1
252	следует понимать	1	1
253	прежде чем	3	1
254	каждого слова	1	1
255	одно и	1	1
256	от нее	6	1
257	и духовные	1	1
258	многих других	1	1
259	в каждом	4	1
260	тем в	1	1
261	связанные с	1	1
262	имеют в	1	1
263	мы каждый	1	1
264	о явлениях	1	1
265	без того	1	1
266	не были	2	1
267	к духу	4	1
268	развития в	1	1
269	его в	1	1
270	в душе	11	1
271	некотором смысле	2	1
272	совершенно ясно	1	1
273	жизни народа	2	1
274	весь мир	1	1
275	в природе	6	1
276	были в	1	1
277	что не	10	1
278	но есть	1	1
279	на свои	2	1
280	к более	1	1
281	из нее	1	1
282	где он	1	1
283	далеко не	1	1
284	в этой	3	1
285	идеи в	1	1
286	отношения в	1	1
287	на основании	2	1
288	как и	9	1
289	и уже	1	1
290	к стремлению	1	1
291	м ы	1	1
292	ведет к	1	1
293	и многие	1	1
294	в развитии	1	1
295	воля и	1	1
296	не доходят	1	1
297	раскрывается в	1	1
298	нисколько не	2	1
299	когда в	3	1
300	в одно	2	1
301	или менее	1	1
302	что если	3	1
303	в творчестве	1	1
304	что истина	1	1
305	и при	3	1
306	так же	5	1
307	за тем	2	1
308	представить себе	3	1
309	всяком случае	1	1
310	многих случаях	1	1
311	что именно	2	1
312	можно быть	1	1
313	мысли и	9	1
314	бы мы	1	1
315	в данном	1	1
316	вопрос о	4	1
317	любовь и	1	1
318	когда и	1	1
319	как одна	1	1
320	заключен в	2	1
321	времени с	1	1
322	эти последние	1	1
323	и эти	1	1
324	и более	2	1
325	в прошлом	1	1
326	там где	4	1
327	или что	1	1
328	и наоборот	6	1
329	ее части	1	1
330	чувство и	8	1
331	ни были	3	1
332	же всего	1	1
333	от тех	1	1
334	нет никакого	1	1
335	что есть	1	1
336	и другим	1	1
337	в формах	1	1
338	чем то	1	1
339	эта мысль	2	1
340	на сторону	1	1
341	стремление к	2	1
342	она не	3	1
343	что с	1	1
344	но для	1	1
345	к другим	2	1
346	тогда когда	9	1
347	этом смысле	4	1
348	исторической и	1	1
349	с и	3	1
350	мнения о	2	1
351	того чтобы	2	1
352	вообще можно	1	1
353	она может	3	1
354	об отношении	3	1
355	не имеет	5	1
356	никогда не	4	1
357	наука и	1	1
358	и всегда	2	1
359	в результате	1	1
360	в отношениях	2	1
361	о котором	3	1
362	находятся в	3	1
363	не более	4	1
364	дотоле не	1	1
365	и притом	4	1
366	и первое	1	1
367	как она	3	1
