N	2gram	Propp_Isto_2	Problemy
1	и в	15	43
2	и не	11	29
3	т е	29	26
4	может быть	17	23
5	как бы	6	22
6	не может	5	18
7	в пределах	1	16
8	как и	2	14
9	но и	14	14
10	и т	19	13
11	в этом	11	13
12	что он	24	13
13	в нем	7	12
14	в одном	5	12
15	слова в	2	12
16	не только	18	11
17	не в	7	11
18	по себе	1	11
19	и на	4	10
20	но в	6	10
21	как мы	1	10
22	в его	6	10
23	прежде всего	5	10
24	в сущности	2	9
25	еще не	9	9
26	он не	8	9
27	слово и	1	9
28	никогда не	15	9
29	то же	10	8
30	и его	3	8
31	или в	2	8
32	перед нами	2	7
33	в самом	1	7
34	к себе	2	7
35	в то	1	7
36	в другом	9	7
37	в него	2	7
38	до сих	6	7
39	а не	5	7
40	что же	1	7
41	сих пор	7	7
42	то что	12	7
43	и наконец	5	6
44	так сказать	2	6
45	при этом	4	6
46	к одному	1	6
47	в этих	11	6
48	здесь не	2	6
49	приводит к	2	6
50	о нем	4	6
51	в том	6	6
52	в котором	5	6
53	у него	4	6
54	сам по	1	5
55	самом деле	2	5
56	нам кажется	1	5
57	и он	1	5
58	но не	2	5
59	по отношению	3	5
60	в себе	4	5
61	все эти	4	5
62	на то	3	5
63	да и	2	5
64	таким образом	7	5
65	и с	4	5
66	было бы	5	5
67	у меня	1	5
68	о том	3	5
69	и что	6	5
70	к нему	5	5
71	мы увидим	8	5
72	так что	6	5
73	вовсе не	1	5
74	в той	1	5
75	все это	3	5
76	а в	12	5
77	отношению к	3	5
78	а как	1	4
79	мы не	3	4
80	так чтобы	1	4
81	я не	2	4
82	с его	1	4
83	во всех	2	4
84	отличие от	1	4
85	там где	1	4
86	вот как	1	4
87	т д	18	4
88	если же	1	4
89	человека в	2	4
90	в них	1	4
91	далеко не	1	4
92	во время	2	4
93	в своей	1	4
94	в отличие	1	4
95	но он	4	4
96	их в	2	4
97	с другом	1	4
98	среди них	1	4
99	к тому	5	4
100	и это	3	4
101	с собой	1	4
102	в чужом	1	4
103	по мере	3	4
104	почему же	1	4
105	этот вопрос	1	4
106	только в	6	4
107	же и	3	4
108	так как	14	4
109	с другой	2	4
110	до конца	1	4
111	не могут	1	4
112	друг с	1	4
113	другого человека	1	4
114	но это	4	4
115	в результате	1	4
116	что в	12	4
117	себя как	1	3
118	не хочет	1	3
119	мы уже	6	3
120	той же	2	3
121	и со	1	3
122	в виду	2	3
123	здесь нет	2	3
124	он был	3	3
125	он сам	1	3
126	в одной	4	3
127	кроме того	2	3
128	когда он	3	3
129	и к	1	3
130	еще один	1	3
131	только на	1	3
132	тому же	2	3
133	это не	2	3
134	в жизни	2	3
135	такой же	2	3
136	и их	2	3
137	в их	3	3
138	даже в	1	3
139	в одно	1	3
140	она не	5	3
141	на него	5	3
142	ничего не	7	3
143	во всем	1	3
144	могут быть	2	3
145	не менее	1	3
146	и этим	1	3
147	в себя	3	3
148	можно было	5	3
149	так и	5	3
150	с ним	1	3
151	говорят что	5	3
152	там в	1	3
153	и здесь	9	3
154	что и	6	3
155	а он	1	3
156	и только	2	3
157	здесь в	2	3
158	и следовательно	1	3
159	его в	10	3
160	тот же	1	3
161	он теперь	1	3
162	и ее	2	3
163	уже не	1	3
164	героя с	1	3
165	тем что	4	3
166	к самому	1	3
167	о своей	2	3
168	себя и	2	3
169	он и	3	3
170	по существу	2	3
171	все же	9	3
172	и для	2	3
173	в эту	2	3
174	не знает	2	3
175	другой стороны	2	3
176	есть и	2	3
177	героя в	1	3
178	из его	1	2
179	почти всегда	1	2
180	и о	1	2
181	вопрос о	4	2
182	героя но	1	2
183	на себя	1	2
184	от друга	1	2
185	то это	6	2
186	для наших	2	2
187	себе что	1	2
188	мы здесь	6	2
189	этих случаях	10	2
190	он говорит	1	2
191	в сторону	1	2
192	друг от	1	2
193	как в	5	2
194	с этим	5	2
195	как нам	1	2
196	и как	1	2
197	его к	1	2
198	что это	6	2
199	в целом	1	2
200	из этих	3	2
201	им в	1	2
202	мы обратимся	1	2
203	как он	3	2
204	но на	1	2
205	к миру	1	2
206	оно должно	1	2
