N	3gram	Medvedev_U_1	Formalny
1	в то же	3	8
2	то же время	3	8
3	до сих пор	2	6
4	более или менее	1	6
5	не может быть	4	5
6	с одной стороны	1	4
7	формального метода в	1	4
8	бы то ни	3	3
9	мы полагаем что	1	2
10	и в их	1	2
11	и истории литературы	1	2
12	художественное произведение как	1	2
13	и в частности	2	2
14	в своей работе	1	2
15	метода в россии	1	2
16	но в то	1	2
17	поэтика должна быть	1	2
18	при таком понимании	1	2
19	в художественном произведении	2	2
20	так или иначе	1	1
21	в отдельности и	1	1
22	в современном европейском	1	1
23	в этом отношении	2	1
24	и в то	1	1
25	в точном смысле	1	1
26	не связанных и	1	1
27	тех или иных	2	1
28	в процессе художественного	1	1
29	от произведения искусства	1	1
30	в противном случае	2	1
31	то ни было	3	1
32	искусства в его	1	1
33	хотя бы и	2	1
34	в той же	1	1
35	в этом смысле	2	1
36	же время не	1	1
37	не может пройти	1	1
38	как на элемент	1	1
39	в том что	2	1
40	формальным методом и	1	1
41	общих принципов и	1	1
42	содержания в искусстве	1	1
43	в широком смысле	1	1
44	это в совокупности	1	1
45	но даже и	2	1
46	точном смысле этого	1	1
47	то что было	1	1
48	таком понимании форма	1	1
49	все это в	1	1
50	органического единства и	1	1
51	может пройти мимо	1	1
52	формального метода не	1	1
53	произведения искусства как	1	1
54	самое ее существование	1	1
55	в данном случае	1	1
56	этом смысле можно	1	1
57	с другой стороны	3	1
