N	3gram	Potebnia_M_4	Narrotol
1	в том что	7	8
2	в данном случае	2	6
3	по отношению к	8	5
4	с одной стороны	1	5
5	о том что	5	4
6	тем не менее	4	4
7	в этом отношении	1	3
8	но при этом	1	3
9	то же время	3	3
10	можно сказать что	4	3
11	в то же	3	3
12	к тому что	1	3
13	хотя и не	1	2
14	с точки зрения	3	2
15	мы имеем дело	2	2
16	на самом деле	3	2
17	подобно тому как	2	2
18	но и в	1	2
19	и т п	4	2
20	и не может	1	2
21	точно так же	1	2
22	имеем дело с	1	2
23	на второй план	1	2
24	при всей своей	1	2
25	а в том	2	2
26	не только не	3	2
27	не может быть	5	2
28	тогда как в	1	2
29	все то что	1	2
30	таким образом что	2	1
31	и того же	1	1
32	в том виде	1	1
33	а между тем	4	1
34	что иное как	2	1
35	то что я	7	1
36	в живой речи	1	1
37	иметь в виду	1	1
38	да и не	1	1
39	одним и тем	1	1
40	относится и к	1	1
41	в слове и	1	1
42	то же самое	4	1
43	а тем более	1	1
44	в таком случае	2	1
45	что только в	1	1
46	и быть может	1	1
47	что все эти	1	1
48	и все что	1	1
49	того и другого	1	1
50	следует иметь в	1	1
51	виде в каком	1	1
52	на этот вопрос	2	1
53	и здесь мы	1	1
54	а все остальное	1	1
55	а не другое	1	1
56	может быть только	1	1
57	до сих пор	4	1
58	так или иначе	2	1
59	не глядя на	2	1
60	здесь мы имеем	1	1
61	мы его не	1	1
62	мы и сами	1	1
63	и тем же	1	1
64	стало быть и	1	1
65	на первый взгляд	1	1
66	природе как и	1	1
67	в нашем внутреннем	1	1
68	и потому не	1	1
69	действие может быть	1	1
70	не в том	2	1
71	в связи с	1	1
72	то есть все	1	1
73	не только к	1	1
74	во всяком случае	3	1
75	в мире а	1	1
76	том виде в	1	1
77	и стало быть	1	1
78	есть не что	1	1
79	в то время	1	1
80	слова но в	1	1
81	то есть в	2	1
82	не в его	1	1
83	имеет в своем	1	1
84	но и не	1	1
85	одного и того	1	1
86	с одним и	1	1
87	в большинстве случаев	2	1
88	в том смысле	2	1
89	не что иное	2	1
90	оно и не	1	1
91	для того чтобы	4	1
92	в столь же	1	1
93	но и к	1	1
94	то что человек	1	1
