N	3gram	Bakhtin_Pr_3	Sotsiolo
1	в том что	1	2
2	в конце концов	3	2
3	по отношению к	5	2
4	но только в	1	1
5	в каждом своем	1	1
6	в том и	1	1
7	а между тем	3	1
8	и в этом	2	1
9	по крайней мере	3	1
10	то что в	1	1
11	сама по себе	2	1
12	благодаря тому что	1	1
13	в то же	12	1
14	это вовсе не	1	1
15	что все это	2	1
16	выходит за пределы	2	1
17	то же время	12	1
18	главным образом в	1	1
19	прежде всего не	1	1
20	бы они ни	1	1
21	они ни были	1	1
22	и наконец в	2	1
23	и в то	5	1
24	бы он ни	3	1
25	во всяком случае	5	1
