N	3gram	Losev_Dial_2	VrazhdaK
1	то же время	4	4
2	в то же	3	4
3	в связи с	4	3
4	с точки зрения	8	2
5	как раз в	1	2
6	не может быть	3	2
7	в том что	6	2
8	то же только	1	1
9	это то что	1	1
10	равно как и	1	1
11	в этом смысле	1	1
12	что это за	2	1
13	это дает нам	1	1
14	до сих пор	2	1
15	и не может	1	1
16	в этом отношении	1	1
17	независимо от того	1	1
18	всего то что	1	1
19	что в нем	2	1
20	но это не	2	1
21	точно так же	1	1
22	с тех пор	2	1
23	по крайней мере	9	1
24	и то что	1	1
25	может быть и	3	1
26	и в то	1	1
27	одно и то	4	1
28	в это время	1	1
29	но и это	1	1
30	о том как	1	1
31	так же как	1	1
32	на первый взгляд	1	1
33	в конце концов	1	1
34	и то же	4	1
35	но при этом	1	1
36	и в этом	1	1
37	или по крайней	2	1
38	все же не	1	1
39	– одна из	1	1
40	во всяком случае	2	1
41	с другой стороны	4	1
42	связи с этим	1	1
43	тем не менее	2	1
44	– это не	1	1
45	и с тех	2	1
46	о котором уже	1	1
47	заключается в том	1	1
48	в то время	3	1
49	это и есть	1	1
50	о том что	4	1
51	не забудем что	1	1
52	это конечно гораздо	1	1
53	мне и я	1	1
54	это не просто	1	1
55	имеется в виду	2	1
56	то что они	1	1
57	мы приближаемся к	1	1
58	речь идет о	1	1
