N	3gram	Trubetskoy_1	Komedia
1	до сих пор	5	9
2	в том что	7	9
3	в самом деле	1	6
4	для того чтобы	6	6
5	в свою очередь	1	6
6	в то же	10	4
7	о том что	2	4
8	то же время	10	4
9	с самого начала	1	4
10	к тому же	1	4
11	по отношению к	1	3
12	с точки зрения	9	3
13	вместе с тем	3	3
14	в связи с	1	3
15	во всяком случае	6	3
16	речь идет о	1	3
17	тем не менее	1	3
18	то же самое	1	3
19	само собой разумеется	1	2
20	состоит в том	1	2
21	в этом случае	3	2
22	что он не	2	2
23	бы то ни	4	2
24	в этом отношении	1	2
25	только для того	1	2
26	то ни было	1	2
27	в конце концов	3	2
28	по отношению ко	1	2
29	собой разумеется что	1	2
30	речь шла о	1	2
31	но все же	1	2
32	в силу этого	1	1
33	более или менее	4	1
34	в том числе	1	1
35	приходится признать что	1	1
36	они принадлежат к	2	1
37	нет ибо ни	1	1
38	обезопасить себя от	1	1
39	отнюдь не является	1	1
40	за то что	1	1
41	и не может	3	1
42	на то что	4	1
43	несмотря на то	1	1
44	по крайней мере	1	1
45	и в частности	1	1
46	к себе и	1	1
47	таким же образом	2	1
48	как бы то	1	1
49	в настоящее время	2	1
50	в том чтобы	1	1
51	только один из	1	1
52	друг друга в	1	1
53	но при этом	1	1
54	мы подходим к	1	1
55	к мысли что	1	1
56	об этом и	1	1
57	вопрос о том	1	1
58	принадлежат к одному	1	1
59	если этот человек	1	1
60	к тому что	2	1
61	друг от друга	2	1
62	друг с другом	14	1
63	и в этом	1	1
64	в том же	1	1
65	для нас важно	1	1
66	том числе и	1	1
