N	2gram	Losev_Vlad_2	Sotsiolo
1	все это	5	7
2	в том	18	5
3	в этом	20	5
4	более чем	1	3
5	для нас	7	3
6	не только	12	3
7	и в	30	3
8	не в	9	3
9	в его	11	3
10	но и	8	2
11	конце концов	3	2
12	и мы	4	2
13	было бы	9	2
14	исторической жизни	1	2
15	в смысле	1	2
16	только в	6	2
17	дело не	1	2
18	далеко не	1	2
19	нужно было	1	2
20	в результате	5	2
21	тем более	3	2
22	том что	12	2
23	в частности	2	2
24	как будто	2	2
25	то что	20	2
26	главным образом	1	2
27	или даже	1	2
28	и что	5	2
29	литературы и	1	2
30	еще не	1	2
31	только как	1	2
32	таким образом	3	2
33	в конце	13	2
34	что в	12	2
35	может быть	7	2
36	как бы	5	2
37	по существу	3	2
38	то же	4	2
39	крайней мере	4	1
40	тотчас же	1	1
41	что все	1	1
42	я и	2	1
43	право на	1	1
44	наконец в	3	1
45	по себе	5	1
46	даже в	2	1
47	а вот	2	1
48	и цельного	1	1
49	в этой	4	1
50	пишет следующее	1	1
51	будто в	1	1
52	даже не	1	1
53	на все	2	1
54	и самые	1	1
55	его в	4	1
56	ровно ничего	2	1
57	с ним	5	1
58	это не	2	1
59	на этот	4	1
60	именно в	4	1
61	в чем	2	1
62	все же	9	1
63	и есть	2	1
64	перед нами	1	1
65	в то	9	1
66	и наконец	4	1
67	даже больше	2	1
68	еще и	6	1
69	только то	1	1
70	том как	1	1
71	тем что	1	1
72	вопросом о	1	1
73	и как	3	1
74	что эти	2	1
75	что он	13	1
76	тогда и	2	1
77	прежде всего	6	1
78	русская идея	1	1
79	в них	3	1
80	так и	5	1
81	не было	10	1
82	те же	3	1
83	но только	1	1
84	и не	18	1
85	из себя	1	1
86	не желая	2	1
87	никогда не	7	1
88	на основании	1	1
89	к вопросам	1	1
90	мы не	2	1
91	со своими	1	1
92	же время	3	1
93	ничего не	2	1
94	между собою	1	1
95	развития и	1	1
96	не мешает	1	1
97	и о	4	1
98	все эти	5	1
99	чуть ли	1	1
100	как и	5	1
101	для этого	1	1
102	этом не	1	1
103	в настоящее	2	1
104	мы должны	4	1
105	первый план	2	1
106	в сущности	2	1
107	в серьезных	1	1
108	пришлось бы	1	1
109	но она	1	1
110	вот в	1	1
111	против этого	1	1
112	конечно не	4	1
113	в связи	8	1
114	в те	4	1
115	на первый	2	1
116	и его	6	1
117	в этих	4	1
118	место в	1	1
119	связи с	8	1
120	которые базируются	1	1
121	хотя бы	3	1
122	в целом	4	1
123	не может	9	1
124	в своей	5	1
125	только тогда	2	1
126	и должно	1	1
127	а в	11	1
128	тех кто	1	1
129	него и	2	1
130	что она	1	1
131	о том	4	1
132	и русская	1	1
133	в области	3	1
134	и потому	2	1
135	же это	2	1
136	настоящее время	2	1
137	больше того	2	1
138	он ни	1	1
139	в него	1	1
140	в котором	5	1
141	никак не	3	1
142	между ними	1	1
143	всему этому	2	1
144	существу своему	1	1
145	протестовал против	1	1
146	по необходимости	1	1
147	все то	1	1
148	может не	1	1
149	время в	4	1
150	всяком случае	6	1
151	когда мы	3	1
152	слишком много	1	1
153	он говорит	1	1
154	ни на	1	1
155	не без	1	1
156	что это	4	1
157	вовсе не	4	1
158	ли не	1	1
159	жизни он	1	1
160	но сам	1	1
161	но не	3	1
162	у него	19	1
163	наше дело	1	1
164	в виде	3	1
165	в данном	3	1
166	существу это	1	1
167	но как	1	1
168	базируются на	1	1
169	и по	2	1
170	по крайней	4	1
171	не вызвать	1	1
172	и никак	1	1
173	во всяком	6	1
174	они не	1	1
175	это значит	2	1
