N	2gram	Medvedev_S_1	StatiiOP
1	и в	3	29
2	том что	2	27
3	в том	5	27
4	в этом	5	21
5	не только	3	19
6	но и	2	19
7	что в	2	19
8	о том	1	17
9	в его	3	13
10	что он	1	13
11	то что	2	11
12	все это	7	11
13	таким образом	2	10
14	так и	1	9
15	и не	1	9
16	в своей	1	7
17	в котором	1	7
18	тому что	1	7
19	все же	1	6
20	вовсе не	1	6
21	и его	1	6
22	и что	2	6
23	было бы	2	5
24	между тем	1	5
25	прежде всего	1	5
26	как бы	2	5
27	не в	3	4
28	ничего не	1	4
29	и о	1	4
30	связи с	1	4
31	с другой	1	4
32	именно в	1	4
33	в частности	2	4
34	вряд ли	1	3
35	хотя бы	1	3
36	но не	1	3
37	не было	1	3
38	что это	1	3
39	в этих	1	3
40	по себе	1	3
41	никогда не	1	3
42	и по	1	3
43	тем что	1	3
44	должно было	1	3
45	наконец в	1	3
46	всяком случае	1	3
47	что на	1	3
48	еще и	1	3
49	а с	1	3
50	во всяком	1	3
51	тем же	1	2
52	не пошел	1	2
53	то же	2	2
54	он по	1	2
55	и как	1	2
56	все эти	1	2
57	в этой	1	2
58	и более	1	2
59	не дает	1	2
60	его в	1	2
61	как и	1	2
62	даже в	1	2
63	в то	1	2
64	дело не	2	2
65	в процессе	1	2
66	не может	1	2
67	в области	1	2
68	никак не	1	2
69	только в	2	2
70	пишет он	1	2
71	очевидно что	2	2
72	в конце	2	2
73	может быть	2	2
74	в них	1	2
75	на этот	1	2
76	и потому	1	2
77	в данном	1	2
78	по существу	2	2
79	в результате	2	2
80	они не	1	2
81	а между	1	1
82	это и	2	1
83	этому соответствует	1	1
84	на тех	1	1
85	мы не	1	1
86	в сущности	1	1
87	литературы и	2	1
88	еще не	2	1
89	в чем	1	1
90	а тем	1	1
91	одно дело	2	1
92	но как	1	1
93	по отношению	2	1
94	более чем	3	1
95	иначе и	1	1
96	что она	1	1
97	идей и	2	1
98	но именно	1	1
99	новое и	1	1
100	так называемым	1	1
101	те же	1	1
102	на основании	1	1
103	место в	1	1
104	в таких	1	1
105	хотелось бы	1	1
106	мысли в	1	1
107	но только	1	1
108	же время	1	1
109	как будто	2	1
110	на все	1	1
111	и стиля	1	1
112	что все	1	1
113	не место	1	1
114	к вопросам	1	1
115	образом в	1	1
116	столь же	1	1
117	настоящее время	1	1
118	связь между	1	1
119	эти два	1	1
120	и русская	1	1
121	которая должна	1	1
122	конце концов	2	1
123	один из	1	1
124	это же	1	1
125	конечно не	1	1
126	ведь это	2	1
127	а в	1	1
128	неудачей но	1	1
129	может служить	1	1
130	у него	1	1
131	в каждом	1	1
132	быть для	1	1
133	пишет следующее	1	1
134	даже не	1	1
135	но одно	1	1
136	за пределы	2	1
137	к которому	2	1
138	в связи	1	1
139	ни на	1	1
140	тех методов	1	1
141	быть не	1	1
142	в настоящее	1	1
143	для нас	3	1
144	бы он	1	1
145	бы в	1	1
146	между ними	1	1
147	понимать что	1	1
148	отношению к	2	1
