N	2gram	Vygotskiy__2	Otkroven
1	и в	32	19
2	но и	10	13
3	и не	10	13
4	в этом	13	12
5	не в	8	11
6	не только	12	11
7	может быть	18	11
8	а не	7	11
9	человека и	1	10
10	в нем	4	10
11	и все	4	10
12	в самой	2	9
13	прежде всего	1	9
14	не было	2	9
15	никогда не	9	9
16	потому что	21	9
17	и он	3	8
18	в его	2	7
19	он не	6	7
20	до конца	3	7
21	нет ничего	1	7
22	но он	3	7
23	от него	1	7
24	человеческой души	1	6
25	как и	10	6
26	все это	5	6
27	до самого	1	5
28	отношение к	2	5
29	в том	37	5
30	в самом	12	5
31	в этой	6	5
32	человеке и	1	5
33	для него	1	5
34	в россии	1	5
35	в творчестве	4	5
36	о его	1	5
37	а в	4	5
38	то что	21	5
39	он сам	1	4
40	с его	2	4
41	все в	1	4
42	все эти	7	4
43	что не	3	4
44	не может	17	4
45	того чтобы	14	4
46	есть лишь	1	4
47	и его	7	4
48	что в	20	4
49	различие между	1	3
50	быть может	1	3
51	о том	6	3
52	еще не	2	3
53	к нему	2	3
54	было бы	11	3
55	того что	8	3
56	когда он	10	3
57	что он	13	3
58	и ее	3	3
59	в себе	2	3
60	и вот	3	3
61	не могут	3	3
62	для того	13	3
63	это было	3	3
64	это не	2	3
65	только одно	1	3
66	чем на	1	3
67	могут быть	4	3
68	как бы	6	3
69	в русской	1	3
70	и от	2	3
71	до самой	2	3
72	в этих	2	3
73	хотя бы	3	3
74	в своих	9	3
75	все что	2	3
76	и с	4	2
77	из всего	1	2
78	все противоречия	1	2
79	и то	3	2
80	в ее	2	2
81	что у	5	2
82	так и	3	2
83	его не	1	2
84	ни у	2	2
85	и о	1	2
86	по себе	12	2
87	вместо того	1	2
88	и на	5	2
89	и много	1	2
90	что и	17	2
91	самого конца	1	2
92	что они	7	2
93	в истории	1	2
94	же можно	1	2
95	как к	3	2
96	и нет	1	2
97	все же	4	2
98	и к	3	2
99	не очень	1	2
100	при чтении	1	2
101	должен был	2	2
102	в которой	2	2
103	в уста	1	2
104	он в	3	2
105	творчество достоевского	1	2
106	так что	3	2
107	что для	7	2
108	ведь это	1	2
109	которую он	1	2
110	так как	12	2
111	и никогда	2	2
112	тем что	9	2
113	в других	2	2
114	этом он	1	2
115	в другом	1	2
116	и из	6	2
117	его в	1	2
118	человека а	1	2
119	сказать что	7	2
120	с тем	11	2
121	и очень	1	2
122	искать не	2	2
123	чем в	1	2
124	для человека	1	2
125	должно быть	1	2
126	достоевского но	1	2
127	том что	21	2
128	что есть	1	2
129	ко всем	1	2
130	к этому	1	2
131	что же	3	2
132	и там	1	2
133	не могли	3	2
134	ничего кроме	2	2
135	не имеет	4	2
136	любовь к	1	2
137	и для	4	2
138	ничего не	4	2
139	о достоевском	1	2
140	к ней	1	2
141	ничто не	1	2
142	не есть	1	2
143	в своей	3	2
144	что все	9	2
145	но в	3	2
146	кажется и	1	2
147	о судьбе	1	1
148	боль и	1	1
149	смысле слова	1	1
150	и это	4	1
151	если вы	1	1
152	и самое	1	1
153	отношения к	1	1
154	также и	2	1
155	например в	3	1
156	чтобы не	1	1
157	в виду	3	1
158	сам по	4	1
159	на нем	1	1
160	людей в	1	1
161	совершенно новый	1	1
162	на самом	5	1
163	характер и	1	1
164	тем же	1	1
165	из самых	2	1
166	к другому	1	1
167	и до	4	1
168	уже указывали	1	1
169	не имеют	2	1
170	и больше	1	1
171	и когда	4	1
172	природе своей	1	1
173	она стоит	2	1
174	можно было	7	1
175	из всех	2	1
176	не с	1	1
177	жизнь а	1	1
178	есть не	4	1
179	в борьбе	1	1
180	из которой	1	1
181	и каждый	1	1
182	характер его	1	1
183	мы не	3	1
184	преступления и	1	1
185	том как	2	1
186	ту же	4	1
187	по сравнению	2	1
188	в первый	2	1
189	если бы	6	1
190	которой может	1	1
191	один человек	1	1
192	в сущности	7	1
193	не вполне	2	1
194	о нем	1	1
195	в ней	5	1
196	не иметь	1	1
197	на примере	2	1
198	и что	22	1
199	в глаза	2	1
200	его жизни	2	1
201	после того	2	1
202	с того	2	1
203	все его	1	1
204	и мыслей	1	1
205	своих героев	1	1
206	одним словом	1	1
207	самом деле	16	1
208	что люди	1	1
209	свой метод	1	1
210	но не	2	1
211	сравнению с	2	1
212	иногда и	1	1
213	себе и	2	1
214	говорит он	4	1
215	и достоевский	1	1
216	вообще и	1	1
217	не самое	1	1
218	все время	6	1
219	он попал	1	1
220	толстого и	1	1
221	как в	9	1
222	что как	1	1
223	бросается в	1	1
224	в частности	3	1
225	он что	1	1
226	один из	3	1
227	что только	1	1
228	сознания в	1	1
229	и как	7	1
230	с ними	1	1
231	природой и	1	1
232	ли он	2	1
233	он делается	1	1
234	и судьбу	1	1
235	трагедии и	1	1
236	психологии и	2	1
237	то в	1	1
238	этот случай	1	1
239	не хочет	1	1
240	бы и	3	1
241	что это	8	1
242	самой природе	1	1
243	критики этого	1	1
244	со всеми	1	1
245	к которой	2	1
246	нет художественного	1	1
247	бы самый	1	1
248	с одного	1	1
249	думать что	3	1
250	же и	1	1
251	только один	1	1
252	чувств и	1	1
253	уже не	1	1
254	говорят о	1	1
255	системы и	1	1
256	на то	11	1
257	что она	16	1
258	и скорее	1	1
259	и других	3	1
260	речи и	1	1
261	из них	4	1
262	его и	1	1
263	видел в	1	1
264	ключ к	1	1
265	они в	2	1
266	был бы	1	1
267	он должен	1	1
268	к одному	4	1
269	что нужно	1	1
270	в силу	1	1
271	есть один	1	1
272	в одном	2	1
273	свои собственные	1	1
274	двух противоположных	1	1
275	вовсе не	2	1
276	и сам	4	1
277	у нее	1	1
278	само по	3	1
279	стоит именно	1	1
280	показал что	2	1
281	людей и	1	1
282	почему не	1	1
283	этом отношении	5	1
284	вещей и	2	1
285	художник не	1	1
286	от того	4	1
287	всеми и	1	1
288	в каждом	2	1
289	же не	1	1
290	указывали на	1	1
291	и характер	1	1
292	в совершенно	1	1
293	том случае	4	1
294	и даже	5	1
295	со стороны	1	1
296	для художника	1	1
297	интерес к	2	1
298	как у	1	1
299	заключается в	12	1
300	а кончает	1	1
301	подходит к	1	1
302	в глазах	1	1
303	лица в	1	1
304	с той	4	1
305	и прежде	1	1
306	действующих лиц	3	1
307	и кто	1	1
308	в жизни	4	1
309	говорит о	2	1
310	жизни человека	1	1
311	в них	2	1
312	этого слова	1	1
313	ли может	1	1
314	а с	2	1
315	на этот	2	1
316	души он	1	1
317	всю жизнь	2	1
318	романы достоевского	1	1
319	всегда и	1	1
320	только несколько	1	1
321	и тогда	1	1
322	под влиянием	1	1
323	его характер	1	1
324	он и	1	1
325	и ему	1	1
326	я хочу	1	1
