N	3gram	Tiupa_Lite_1	Istorich
1	с другой стороны	1	8
2	с одной стороны	2	7
3	в том что	11	5
4	до сих пор	1	4
5	не только в	4	4
6	о том что	2	4
7	в данном случае	4	3
8	не может быть	1	3
9	другой стороны он	1	2
10	только то что	1	2
11	не могло быть	2	2
12	во всяком случае	2	2
13	по отношению к	2	2
14	к себе в	1	2
15	но все же	1	2
16	это еще не	1	2
17	можно было бы	1	2
18	в другом месте	1	1
19	на том что	1	1
20	в чистом виде	1	1
21	только потому что	1	1
22	в том числе	1	1
23	том что он	1	1
24	как бы два	1	1
25	знает что он	1	1
26	в одной из	1	1
27	тем что в	1	1
28	одну из его	1	1
29	в зависимости от	1	1
30	для этой цели	1	1
31	не так просто	1	1
32	по аналогии с	3	1
33	к тому чтобы	1	1
34	на первый взгляд	1	1
35	с этой точки	3	1
36	и то что	2	1
37	и мн др	1	1
38	на задний план	1	1
39	но при этом	2	1
40	а также и	1	1
41	как один из	1	1
42	а с другой	1	1
43	так или иначе	8	1
44	показывает нам в	1	1
45	всяком случае в	1	1
46	этой точки зрения	3	1
47	по ту сторону	1	1
48	не в стиле	1	1
49	есть своего рода	1	1
50	и тем самым	2	1
51	и тем более	1	1
52	подобно тому как	2	1
53	на то что	1	1
54	тем не менее	2	1
55	в обратном порядке	1	1
56	здесь как и	1	1
