N	3gram	Medvedev_U_1	FransuaR
1	в то же	3	6
2	то же время	3	6
3	не только в	1	5
4	до сих пор	2	4
5	не может быть	4	4
6	но прежде всего	1	3
7	в этом отношении	2	3
8	но в то	1	3
9	с одной стороны	1	3
10	в большей или	1	3
11	или меньшей степени	1	3
12	большей или меньшей	1	3
13	с другой стороны	3	3
14	можно сказать что	1	2
15	имеем в виду	1	2
16	но даже и	2	2
17	и в то	1	2
18	в художественном творчестве	2	1
19	что для него	1	1
20	не входит в	1	1
21	в первую очередь	1	1
22	в значительной мере	1	1
23	все это в	1	1
24	таков прежде всего	1	1
25	в художественном произведении	2	1
26	в конце концов	2	1
27	друг с другом	1	1
28	не могут быть	2	1
29	в этом случае	1	1
30	и прежде всего	1	1
31	мы имеем в	1	1
32	на то что	1	1
33	в том что	2	1
