N	3gram	Vinokur_St_3	Otkroven
1	для того чтобы	1	3
2	и в этом	2	2
3	а не в	1	2
4	что у него	1	2
5	не может быть	5	2
6	но и в	2	2
7	с тем что	3	2
8	сказать что они	1	2
9	как например в	4	1
10	может быть он	1	1
11	всех действующих лиц	1	1
12	не в том	3	1
13	потому что в	1	1
14	прежде всего в	3	1
15	я имею в	1	1
16	в самом деле	1	1
17	все это было	1	1
18	не было и	1	1
19	может быть назван	2	1
20	имею в виду	1	1
21	во всяком случае	4	1
22	сам по себе	1	1
23	он должен был	1	1
24	о том что	4	1
25	в этом отношении	4	1
26	ко всему этому	1	1
27	то что в	1	1
28	и в самом	1	1
29	в том что	11	1
30	а иногда и	1	1
31	на то что	3	1
32	и не в	2	1
33	что это за	2	1
34	в самом начале	1	1
35	вот что нужно	2	1
36	что он был	2	1
37	от того что	1	1
38	нужно видеть в	1	1
