N	3gram	Potebnia_M_4	Vladivir
1	там же с	2	10
2	о том что	5	7
3	в том что	7	7
4	в свое время	1	5
5	дело в том	1	4
6	что же касается	1	4
7	то же время	3	4
8	и то что	4	4
9	на то что	4	4
10	в то же	3	4
11	с другой стороны	1	3
12	не может быть	5	3
13	один и тот	2	2
14	главным образом в	1	2
15	в том чтобы	1	2
16	в то время	1	2
17	и тот же	2	2
18	и не без	1	2
19	во всяком случае	3	2
20	можно сказать что	4	2
21	как было сказано	1	2
22	так что в	1	2
23	тем не менее	4	2
24	для того чтобы	4	2
25	что и в	2	2
26	и т д	3	2
27	потому что как	2	1
28	всем известно что	1	1
29	в том виде	1	1
30	что иное как	2	1
31	а следовательно и	1	1
32	нет и не	1	1
33	мысли и слова	1	1
34	тех пор пока	2	1
35	мы имеем дело	2	1
36	потому что в	3	1
37	природы и человека	1	1
38	и той же	1	1
39	в настоящее время	1	1
40	не выходя за	1	1
41	в том же	2	1
42	было сказано выше	1	1
43	в этом слове	4	1
44	во время своего	1	1
45	и не может	1	1
46	я в этом	1	1
47	ответить на вопрос	1	1
48	виде в каком	1	1
49	для меня все	1	1
50	в которой все	1	1
51	большую роль в	1	1
52	но и мир	1	1
53	вместе с тем	3	1
54	дело не в	1	1
55	в это время	1	1
56	вопрос об отношении	1	1
57	здесь мы имеем	1	1
58	в первый же	1	1
59	если бы мы	1	1
60	с одной стороны	1	1
61	смысле этого слова	1	1
62	в связи с	1	1
63	можно утверждать только	1	1
64	и в этом	4	1
65	имеем дело с	1	1
66	так или иначе	2	1
67	кроме того в	1	1
68	выходя за пределы	1	1
69	до настоящего времени	1	1
70	и в том	2	1
71	при этом в	2	1
72	философии но философия	1	1
73	том виде в	1	1
74	а в том	2	1
75	одной и той	1	1
76	есть не что	1	1
77	до тех пор	6	1
78	заключается в том	1	1
79	и вместе с	1	1
80	даже и в	1	1
81	а можно ограничиться	1	1
82	в свою очередь	1	1
83	и все это	1	1
84	с тем что	4	1
85	не только не	3	1
86	же время и	1	1
87	только в более	1	1
88	на всю жизнь	1	1
89	во второй половине	1	1
90	можно ограничиться только	1	1
91	к тому что	1	1
92	что он говорит	1	1
93	не что иное	2	1
94	в сравнении с	1	1
95	не без влияния	1	1
96	лицом к лицу	1	1
97	в этом отношении	1	1
