N	2gram	Bakhtin_fo_1	Mirosoze
1	может быть	11	30
2	не только	9	29
3	и в	50	28
4	не может	6	28
5	но и	8	25
6	а не	3	25
7	он не	5	24
8	в этом	25	20
9	не было	7	18
10	у него	6	17
11	не в	5	16
12	потому что	4	16
13	в ней	4	15
14	в своей	2	15
15	переходит в	1	15
16	человека и	11	14
17	и есть	1	14
18	он был	1	14
19	никогда не	2	14
20	до конца	4	14
21	человека в	17	13
22	в нем	24	13
23	и он	1	12
24	и это	4	12
25	в самом	8	11
26	для него	2	11
27	и не	14	11
28	в своем	4	10
29	человек не	1	10
30	было бы	2	10
31	что в	5	10
32	в мире	1	10
33	прежде всего	15	10
34	что он	1	10
35	был бы	3	10
36	и потому	3	10
37	и все	6	10
38	с тем	3	9
39	но он	2	9
40	и его	16	9
41	в его	13	9
42	к человеку	1	9
43	человек в	3	9
44	из самых	1	8
45	человеке и	1	8
46	в котором	4	8
47	но не	5	8
48	не был	1	7
49	менее всего	1	7
50	но в	10	7
51	в себе	3	7
52	в конце	9	7
53	в самой	2	7
54	того что	2	7
55	он весь	2	7
56	нет ничего	4	7
57	образ человека	6	7
58	и на	8	6
59	он сам	1	6
60	в которой	2	6
61	лишь в	6	6
62	в этой	1	6
63	все в	1	6
64	только в	4	6
65	вместе с	3	6
66	все это	4	6
67	человек и	2	6
68	в том	9	6
69	нет и	2	5
70	это не	6	5
71	в самую	1	5
72	как и	8	5
73	у нас	1	5
74	не могут	3	5
75	человека на	1	5
76	его судьбе	1	5
77	то что	6	5
78	и я	1	5
79	смысле слова	2	4
80	отношения к	3	4
81	в христианском	1	4
82	есть не	3	4
83	отношение к	2	4
84	увидим что	1	4
85	человеческой судьбы	1	4
86	не к	2	4
87	не как	2	4
88	в человеческой	1	4
89	и по	2	4
90	в них	4	4
91	в этих	3	4
92	точки зрения	5	4
93	в их	6	4
94	в которых	2	4
95	человека но	1	4
96	до самой	1	4
97	к концу	3	4
98	к ней	2	4
99	она не	1	4
100	свободу и	1	4
101	человека он	1	4
102	судьбы человека	1	4
103	что и	3	4
104	один из	3	4
105	в человека	2	4
106	уже не	2	4
107	уже в	2	4
108	ни с	2	4
109	а в	3	4
110	тем что	2	4
111	нет в	2	4
112	не знал	1	4
113	от него	1	4
114	человека не	1	4
115	не знает	3	4
116	не знают	1	3
117	с его	9	3
118	с этим	6	3
119	этого мира	4	3
120	бы и	1	3
121	вера в	2	3
122	и еще	2	3
123	на том	1	3
124	этот процесс	5	3
125	и вот	1	3
126	человеческую природу	1	3
127	и с	4	3
128	то есть	33	3
129	его в	3	3
130	в жизни	6	3
131	для них	3	3
132	мир в	2	3
133	том что	4	3
134	человеческого образа	1	3
135	человека есть	1	3
136	не имеет	4	3
137	ничего не	9	3
138	в момент	1	3
139	к тому	3	3
140	в ее	6	3
141	особенно в	1	3
142	с собой	1	3
143	только и	5	3
144	все его	3	3
145	в него	1	3
146	это очень	1	3
147	себя в	1	3
148	конечно не	4	3
149	одно из	3	3
150	и их	8	3
151	так как	6	3
152	что человек	1	3
153	себя и	3	3
154	в иных	1	3
155	должно быть	1	3
156	он должен	2	3
157	для нас	2	3
158	самого человека	3	3
159	хотя бы	2	3
160	мы увидим	1	3
161	от природы	2	3
162	одним из	1	2
163	также и	2	2
164	в этот	2	2
165	связана с	1	2
166	высшей степени	1	2
167	а как	3	2
168	вопрос о	2	2
169	который был	1	2
170	время как	5	2
171	в виду	3	2
172	нем все	2	2
173	и много	1	2
174	по отношению	3	2
175	себе и	3	2
176	человек может	1	2
177	в истории	2	2
178	в центре	2	2
179	как в	6	2
180	все же	6	2
181	и как	10	2
182	и к	2	2
183	от этого	2	2
184	и у	5	2
185	все эти	9	2
186	бы не	1	2
187	приводит к	1	2
188	самого себя	1	2
189	с их	2	2
190	вообще не	3	2
191	как он	2	2
192	если бы	5	2
193	он ни	1	2
194	с ней	1	2
195	них нет	1	2
196	проблемы и	1	2
197	то мир	1	2
198	входит в	3	2
199	на протяжении	1	2
200	с самим	5	2
201	в ином	1	2
202	романы достоевского	1	2
203	чем в	2	2
204	черту и	1	2
205	место в	2	2
206	оказывается что	2	2
207	сих пор	3	2
208	природу и	1	2
209	возвращается к	1	2
210	с которой	1	2
211	в то	9	2
212	в основе	5	2
213	того чтобы	5	2
214	по своей	1	2
215	на природу	1	2
216	и сама	1	2
