N	2gram	Nazirov_Tv_2	Formalny
1	и в	20	24
2	художественного произведения	1	23
3	в его	10	23
4	прежде всего	8	22
5	и не	9	20
6	так и	6	18
7	не может	7	16
8	в этом	8	15
9	в нем	3	14
10	может быть	8	14
11	таким образом	10	13
12	и т	13	12
13	как и	6	11
14	в своей	6	11
15	в их	3	11
16	не менее	2	11
17	должно быть	1	11
18	то же	7	10
19	вовсе не	2	10
20	и ее	2	10
21	и его	9	10
22	и их	1	10
23	а не	6	10
24	в то	10	9
25	в процессе	2	9
26	и потому	4	9
27	все это	6	9
28	и на	5	8
29	как в	4	8
30	т д	11	8
31	и с	8	8
32	лишь в	1	8
33	не в	4	8
34	произведения в	1	8
35	литературы в	1	8
36	же время	7	8
37	в ее	2	8
38	именно в	6	8
39	то что	3	8
40	в свою	1	8
41	не только	13	7
42	место в	3	7
43	и от	4	7
44	но и	8	7
45	еще не	5	6
46	самом деле	2	6
47	отнюдь не	4	6
48	в целом	6	6
49	все эти	4	6
50	в этой	5	6
51	как бы	11	6
52	входит в	1	6
53	в идеологическом	1	6
54	она не	1	6
55	свою очередь	1	6
56	на основе	1	6
57	в пределах	1	6
58	и здесь	1	6
59	до сих	3	6
60	в том	8	6
61	было бы	1	6
62	как это	1	6
63	сих пор	3	6
64	среды в	1	6
65	метода в	1	6
66	а в	4	6
67	во всех	1	5
68	но в	4	5
69	и свою	1	5
70	в самом	3	5
71	при этом	8	5
72	по себе	1	5
73	и до	1	5
74	у нас	2	5
75	должен быть	1	5
76	как мы	1	5
77	непосредственно в	1	5
78	в литературе	2	5
79	со стороны	1	5
80	с другой	2	5
81	и др	3	5
82	в искусстве	2	5
83	на западе	3	4
84	с его	1	4
85	по отношению	3	4
86	в истории	2	4
87	и к	1	4
88	в которой	2	4
89	главным образом	1	4
90	не из	1	4
91	в мире	5	4
92	с другими	2	4
93	как о	2	4
94	друг друга	2	4
95	как на	1	4
96	целом и	2	4
97	никогда не	11	4
98	если бы	4	4
99	познания и	2	4
100	в формах	1	4
101	всяком случае	2	4
102	с одной	1	4
103	т п	2	4
104	в связи	1	4
105	в частности	2	4
106	отношению к	3	4
107	стороны и	1	4
108	с этой	3	4
109	что в	7	4
110	так же	5	4
111	во всяком	2	4
112	культуры и	1	3
113	это и	1	3
114	изображения и	1	3
115	действительности и	1	3
116	мы не	4	3
117	но не	5	3
118	отношение к	1	3
119	все же	5	3
120	когда он	4	3
121	и как	1	3
122	и наконец	2	3
123	и отчасти	3	3
124	в идеологической	1	3
125	в себе	3	3
126	если он	5	3
127	так сказать	2	3
128	он не	3	3
129	так например	3	3
130	в каждом	1	3
131	значение в	1	3
132	его в	3	3
133	подходит к	1	3
134	в жизни	1	3
135	в них	1	3
136	в трудах	1	3
137	тем самым	4	3
138	не о	1	3
139	в основе	2	3
140	связи с	1	3
141	сводится к	2	3
142	в роде	1	3
143	отличается от	1	3
144	к тому	1	3
145	ясно что	1	3
146	особенно в	2	3
147	жизнь и	1	3
148	влияние на	1	3
149	как она	1	3
150	один из	3	3
151	или же	1	3
152	в большинстве	1	3
153	и других	2	3
154	для него	3	3
155	и даже	5	3
156	в области	1	3
157	не было	2	3
158	в россии	2	3
159	на фоне	1	3
160	или иного	1	3
161	этого слова	1	3
162	в основном	6	3
163	но это	5	3
164	она должна	1	3
165	более того	2	3
166	поэтических форм	1	3
167	а н	2	3
168	между ними	1	3
169	от всех	1	3
170	что он	6	3
171	думать что	1	3
172	в применении	1	2
173	же как	3	2
174	применении к	1	2
175	и это	3	2
176	в году	16	2
177	эстетики и	1	2
178	литературы и	1	2
179	в создании	1	2
180	а только	1	2
181	и всякий	1	2
182	менее всего	1	2
183	нет и	2	2
184	во что	2	2
185	чем же	1	2
186	с этим	1	2
187	однако не	1	2
188	в литературном	2	2
189	герой романа	2	2
190	этот образ	1	2
191	какую бы	1	2
192	и если	2	2
193	на его	4	2
194	к миру	2	2
195	и вот	1	2
196	том чтобы	1	2
197	и более	1	2
198	но ведь	2	2
199	эта же	1	2
200	быть поняты	2	2
201	того или	1	2
202	в работе	1	2
203	это не	7	2
204	в художественную	1	2
205	ни в	1	2
206	в самую	1	2
207	мы видели	1	2
208	жизни но	1	2
209	их на	1	2
210	в эту	1	2
211	не так	2	2
212	таким же	1	2
213	роман и	2	2
214	у тургенева	2	2
215	виду что	1	2
216	на него	2	2
217	к другим	1	2
218	ничего не	4	2
219	жизни не	1	2
220	одна из	3	2
221	в противовес	1	2
222	к ней	1	2
223	и является	1	2
224	а лишь	1	2
225	может и	1	2
226	от их	1	2
227	его с	1	2
228	не есть	1	2
229	если же	1	2
230	на наших	1	2
231	приводит к	2	2
232	не с	1	2
233	каждого из	1	2
234	еще в	1	2
235	она была	1	2
236	с ним	3	2
237	его место	1	2
238	художник в	1	2
239	произведения как	1	2
240	и должно	1	2
241	и что	2	2
242	в различных	1	2
243	и лишь	2	2
244	между тем	3	2
245	и всякая	1	2
246	что и	1	2
247	не сводится	1	2
248	нем и	1	2
249	определение романа	1	2
250	в лице	4	2
251	только в	2	2
252	уже не	3	2
253	не можем	1	2
254	за свой	1	2
255	не дает	1	2
256	в душе	4	2
257	его и	2	2
258	точка зрения	2	2
259	в одном	2	2
260	сами по	1	2
261	и со	1	2
262	в современном	3	2
263	как раз	1	2
264	не прав	1	2
265	все время	2	2
266	была бы	1	2
267	от сюжета	1	2
268	под влиянием	1	2
269	художественного целого	1	2
270	через нее	1	2
271	вместе с	3	2
272	и особенно	1	2
273	почти совершенно	1	2
274	литературы но	1	2
275	целом ряде	1	2
276	из этой	2	2
277	к которому	2	2
278	в результате	1	2
279	дана в	1	2
280	в своих	3	2
281	отношении к	1	2
282	жизни в	3	2
283	одной из	3	2
284	но эта	2	2
285	только как	1	2
286	нас не	1	2
287	а между	1	1
288	ту же	1	1
289	можно говорить	1	1
290	б м	2	1
291	например в	5	1
292	начинается с	2	1
293	и через	3	1
294	связи между	1	1
295	и есть	2	1
296	в первом	1	1
297	по преимуществу	2	1
298	из его	1	1
299	высшей степени	1	1
300	едва ли	2	1
301	мы уже	1	1
302	той же	1	1
303	со всех	1	1
304	и значение	1	1
305	бы уже	1	1
306	самое же	1	1
307	это казалось	1	1
308	это отношение	1	1
309	х годов	3	1
310	в самих	1	1
311	для литературы	1	1
312	всех сторон	1	1
313	xix века	7	1
314	не был	1	1
315	в чем	4	1
316	глубокой и	1	1
317	в сюжете	1	1
318	лишь условно	1	1
319	предисловии к	1	1
320	это историческое	1	1
321	к которой	1	1
322	тогда как	3	1
323	или иное	1	1
324	о необходимости	1	1
325	общего с	1	1
326	за этим	1	1
327	не хватает	1	1
328	ней в	1	1
329	этой стороны	1	1
330	перед нами	1	1
331	хотя и	4	1
332	нет почти	1	1
333	не творит	1	1
334	для исследователя	1	1
335	в этот	2	1
336	психологии и	1	1
337	то в	1	1
338	мы получаем	1	1
339	позиции автора	1	1
340	из этих	1	1
341	так в	2	1
