N	3gram	Nazirov_Vr_1	Narrotol
1	в том что	2	8
2	о том что	1	6
3	не может быть	2	5
4	все же не	1	4
5	с другой стороны	1	4
6	в то же	4	3
7	то же время	4	3
8	в свою очередь	1	3
9	в этом отношении	1	3
10	тем не менее	1	3
11	так же как	1	2
12	на первый взгляд	1	2
13	речь идет о	1	2
14	в связи с	3	2
15	в известном смысле	1	2
16	точно так же	1	2
17	с точки зрения	2	2
18	уже говорилось выше	1	1
19	в том же	1	1
20	в этом смысле	1	1
21	и то что	1	1
22	и в то	1	1
23	да и в	1	1
24	лет тому назад	1	1
25	что это за	1	1
26	может быть и	1	1
27	до сих пор	1	1
28	не с точки	1	1
29	а с другой	1	1
30	тем более что	1	1
31	в году в	2	1
32	это то что	1	1
33	в это же	1	1
34	в русской литературе	3	1
35	во второй раз	1	1
36	независимо от того	1	1
37	тем что как	1	1
38	это дает нам	1	1
39	это же время	1	1
40	далеко не все	1	1
41	но это не	1	1
42	в соответствии с	1	1
43	это за человек	1	1
44	он отличается от	1	1
45	речь идет не	1	1
46	то что они	1	1
47	по крайней мере	1	1
