N	3gram	Losev_Prob_3	Tvorches
1	в то же	4	13
2	в том что	9	6
3	о том что	3	5
4	дело в том	3	3
5	и все же	1	3
6	по сути дела	1	3
7	это уже не	2	2
8	это не означает	1	2
9	на самом деле	2	2
10	точно так же	3	2
11	по крайней мере	5	2
12	в данном случае	7	2
13	не только в	2	2
14	можно сказать что	2	2
15	тоже своего рода	1	2
16	тем не менее	10	2
17	что иное как	4	1
18	с большим трудом	1	1
19	хотя и не	2	1
20	образом и в	1	1
21	в прямом смысле	1	1
22	в медном всаднике	1	1
23	в глаза и	1	1
24	и того же	1	1
25	не сами по	1	1
26	равно как и	1	1
27	в настоящее время	2	1
28	то же самое	7	1
29	что же касается	4	1
30	в отрыве от	1	1
31	о котором говорилось	1	1
32	до сих пор	2	1
33	говорить о том	1	1
34	сами по себе	6	1
35	что он не	1	1
36	в отличие от	2	1
37	в первой главе	1	1
38	отличается и от	1	1
39	в первую очередь	3	1
40	а может быть	1	1
41	на самом же	4	1
42	только то что	2	1
43	же самое время	4	1
44	бы то ни	4	1
45	это вовсе не	4	1
46	то и другое	1	1
47	и тем не	3	1
48	не обладает никакой	1	1
49	ту или иную	1	1
50	войне и мире	1	1
51	особенно в медном	1	1
52	он вовсе не	1	1
53	то все это	1	1
54	пушкина и гоголя	1	1
55	том или другом	1	1
56	то ни было	3	1
57	с одной стороны	1	1
58	себе а как	1	1
59	в конце концов	3	1
60	но при этом	1	1
61	каких бы то	1	1
62	котором говорилось выше	1	1
63	и как бы	2	1
64	своих героев и	1	1
65	в связи с	7	1
66	это не значит	1	1
67	самом же деле	4	1
68	отвлеченной мысли и	1	1
69	бросается в глаза	1	1
70	не был бы	1	1
71	по себе а	3	1
72	в войне и	1	1
73	мы находим у	1	1
74	имел в виду	1	1
75	заключается в том	3	1
76	но на этот	1	1
77	это значит что	2	1
78	ни в какую	1	1
79	с другой стороны	5	1
80	одного и того	1	1
81	то есть о	1	1
82	таким образом и	1	1
83	но это не	1	1
84	в поисках новых	1	1
85	не значит что	2	1
86	не что иное	4	1
87	к тому что	1	1
88	к вопросу о	1	1
89	как и в	1	1
90	на первый взгляд	2	1
91	дело не в	2	1
92	к тому же	1	1
93	не так как	1	1
94	и т д	13	1
