N	2gram	Trubetskoy_1	Komedia
1	и в	26	22
2	и не	8	21
3	том что	7	13
4	таким образом	22	12
5	в том	11	12
6	так как	9	11
7	ни в	1	10
8	потому что	7	10
9	в самом	4	9
10	до сих	5	9
11	вместе с	15	9
12	сих пор	5	9
13	в этом	15	8
14	его в	1	8
15	в глазах	2	8
16	в своем	3	8
17	о том	6	8
18	если бы	3	8
19	в его	5	8
20	что и	6	8
21	что он	4	8
22	то же	4	7
23	при этом	3	7
24	не по	1	7
25	в конце	6	7
26	о чем	1	7
27	только что	2	7
28	а в	4	7
29	в свою	2	7
30	того же	6	6
31	самом деле	1	6
32	еще не	2	6
33	так что	3	6
34	тому же	5	6
35	в то	4	6
36	и его	1	6
37	к тому	6	6
38	того чтобы	5	6
39	свою очередь	1	6
40	ясно что	3	6
41	и что	4	6
42	для того	5	6
43	может быть	10	6
44	как раз	1	6
45	во время	4	6
46	к этому	3	6
47	речь идет	1	5
48	что его	1	5
49	отношение к	5	5
50	но в	7	5
51	не только	10	5
52	а по	1	5
53	он не	4	5
54	в своей	1	5
55	в которых	4	5
56	не менее	3	5
57	же время	2	5
58	связи с	9	5
59	с ним	1	5
60	любви к	1	5
61	к нему	7	5
62	что в	9	5
63	по отношению	1	5
64	из них	7	5
65	тем что	1	5
66	прежде всего	2	5
67	все это	6	5
68	он знает	1	4
69	в ней	1	4
70	с другой	8	4
71	все же	6	4
72	когда он	3	4
73	то что	7	4
74	что к	1	4
75	в себе	6	4
76	что она	1	4
77	но все	7	4
78	и с	10	4
79	должен был	4	4
80	с тем	18	4
81	несмотря на	6	4
82	точки зрения	13	4
83	не в	2	4
84	однако в	1	4
85	в отношении	6	4
86	самого начала	2	4
87	у него	1	4
88	и здесь	2	4
89	с самого	3	4
90	друг друга	1	4
91	так и	6	4
92	между собой	1	4
93	с помощью	1	4
94	до нас	1	4
95	но и	9	4
96	ничем не	4	4
97	а не	5	4
98	в связи	3	4
99	не является	1	4
100	и для	5	4
101	бы в	1	4
102	тем более	1	4
103	хотя бы	3	4
104	либо в	2	4
105	так же	5	4
106	идет о	1	3
107	к началу	1	3
108	на них	1	3
109	с его	2	3
110	в ее	1	3
111	с этим	1	3
112	и к	5	3
113	тем же	1	3
114	в которой	3	3
115	представляет собой	3	3
116	в этой	4	3
117	и тот	1	3
118	на то	2	3
