N	2gram	Berdyaev_N_1	Hudozhes
1	том что	2	16
2	и в	16	14
3	так и	2	13
4	не только	5	12
5	о том	4	12
6	в том	8	12
7	а не	17	12
8	в себе	2	11
9	в этом	7	11
10	прежде всего	4	11
11	в своей	3	10
12	как и	7	9
13	что он	1	9
14	у него	2	9
15	в этой	1	8
16	как в	3	8
17	то что	4	8
18	в его	1	8
19	в то	2	8
20	еще не	3	7
21	это не	4	7
22	своего рода	1	7
23	не в	6	7
24	к тому	3	7
25	быть может	4	7
26	уже не	2	7
27	не случайно	1	7
28	не может	16	7
29	а в	2	7
30	человека в	1	6
31	было бы	1	6
32	никогда не	6	6
33	жизни в	3	6
34	что в	9	6
35	с его	6	5
36	но в	2	5
37	ни в	6	5
38	не менее	4	5
39	и его	1	5
40	потому что	4	5
41	к себе	1	5
42	можно было	2	5
43	только в	1	5
44	друг друга	1	5
45	может быть	7	5
46	но и	3	5
47	и а	1	5
48	к жизни	3	5
49	в этих	1	5
50	жизни и	8	5
51	мы уже	1	4
52	в ней	5	4
53	в центре	2	4
54	в своем	1	4
55	и к	5	4
56	в самом	1	4
57	что она	2	4
58	он не	8	4
59	и с	2	4
60	с ним	1	4
61	она не	3	4
62	по своей	1	4
63	как будто	2	4
64	в духе	3	4
65	и это	2	4
66	можно сказать	1	4
67	и быть	1	4
68	себя в	2	4
69	из них	1	4
70	в конце	1	4
71	не было	4	4
72	и все	4	4
73	человеческой жизни	1	4
74	бытия и	1	4
75	и от	2	4
76	по преимуществу	1	3
77	не имеют	2	3
78	говорить о	1	3
79	в мире	3	3
80	и на	2	3
81	в ее	3	3
82	но он	1	3
83	в нем	5	3
84	лишь в	6	3
85	с этим	2	3
86	ничем не	1	3
87	такой же	2	3
88	возвращается к	2	3
89	все эти	2	3
90	та или	1	3
91	о природе	1	3
92	или иная	1	3
93	тем что	1	3
94	для себя	1	3
95	того чтобы	2	3
96	приводит к	1	3
97	и когда	1	3
98	еще в	1	3
99	а также	1	3
100	но не	2	3
101	будто бы	1	3
102	и даже	2	3
103	превращается в	1	3
104	по своему	4	3
105	такого рода	2	3
106	и для	4	3
107	или не	1	3
108	к этой	1	3
109	же как	2	2
110	только потому	1	2
111	мы не	2	2
112	вопрос о	3	2
113	жизни как	2	2
114	же мере	1	2
115	себе и	1	2
116	хотя и	2	2
117	жизнью и	1	2
118	заключает в	1	2
119	значительной степени	1	2
120	по себе	1	2
121	должно быть	4	2
122	в такой	1	2
123	не столько	1	2
124	сих пор	1	2
125	все это	5	2
126	они не	1	2
127	не имеет	4	2
128	одна из	2	2
129	своей природе	1	2
130	про себя	1	2
131	все еще	1	2
132	с ее	5	2
133	характер и	1	2
134	и что	2	2
135	до сих	1	2
136	в значительной	1	2
137	каждого человека	2	2
138	и потому	4	2
139	слова в	1	2
140	нашей жизни	1	2
141	ему не	1	2
142	себя и	1	2
143	что не	1	2
144	не означает	3	2
145	ближе к	1	2
146	и ему	1	2
147	вся жизнь	1	2
148	эти слова	1	2
149	о человеке	1	2
150	в это	1	2
151	и не	11	2
152	только для	1	2
153	нет ничего	1	2
154	перед собой	1	2
155	ни к	2	2
156	человека не	1	2
157	всего мира	1	2
158	не знает	6	2
159	и повести	1	2
160	смысле слова	3	1
161	в чуждом	1	1
162	человека и	3	1
163	связана с	2	1
164	это и	2	1
165	выходит к	1	1
166	и до	1	1
167	ведь и	2	1
168	высшей степени	6	1
169	долгое время	1	1
170	общества и	2	1
171	не во	4	1
172	героя но	1	1
173	в сущности	1	1
174	но она	2	1
175	исторической эпохи	3	1
176	я не	2	1
177	хотя бы	2	1
178	это время	1	1
179	на них	1	1
180	что его	1	1
181	в чем	1	1
182	совсем не	12	1
183	есть по	1	1
184	нет и	2	1
185	в свои	2	1
186	средних веков	1	1
187	и целостности	1	1
188	на человека	1	1
189	от этого	1	1
190	в этот	1	1
191	о самом	1	1
192	к чему	1	1
193	в которой	1	1
194	он в	1	1
195	из этих	1	1
196	ни одна	2	1
197	эпохи и	4	1
198	но ведь	1	1
199	вопросов бытия	1	1
200	в средневековой	1	1
201	вообще не	1	1
202	в мир	1	1
203	не могла	2	1
204	одному из	1	1
205	к одному	1	1
206	в силу	1	1
207	том чтобы	2	1
208	мысли как	1	1
209	смысле как	1	1
210	и этот	1	1
211	в нее	1	1
212	истину и	1	1
213	жить в	1	1
214	от нее	1	1
215	что все	2	1
216	этом он	1	1
217	том случае	1	1
218	этом смысле	2	1
219	роль в	2	1
220	истории и	9	1
221	весь мир	1	1
222	личность в	2	1
223	для них	1	1
224	к своим	1	1
225	в высшей	6	1
226	его было	1	1
227	этого не	1	1
228	с тем	3	1
229	он и	1	1
230	духовной жизни	2	1
231	и того	1	1
232	она сама	1	1
233	во времена	1	1
234	место в	2	1
235	в отличие	1	1
236	мысли и	2	1
237	и более	1	1
238	в прошлом	3	1
239	их в	1	1
240	том и	2	1
241	не должно	1	1
242	что этот	1	1
243	во времени	1	1
244	нас к	1	1
245	так как	1	1
246	мира не	1	1
247	человечества и	1	1
248	мысли в	2	1
249	в основе	3	1
250	и имеет	1	1
251	из их	1	1
252	так много	1	1
253	жизни не	3	1
254	и весь	2	1
255	может уже	2	1
256	моря и	1	1
257	был и	1	1
258	к той	1	1
259	бытия как	1	1
260	о берег	1	1
261	не могут	1	1
262	в речах	1	1
263	когда мы	2	1
264	могут быть	2	1
265	и вполне	1	1
266	всегда есть	1	1
267	но также	1	1
268	обращение к	2	1
269	отдельных людей	3	1
270	на это	1	1
271	вкус к	2	1
272	жизни перед	1	1
273	в виду	1	1
274	того времени	1	1
275	в xix	1	1
276	в образе	1	1
277	на нее	1	1
278	того и	1	1
279	во многом	1	1
280	вопрос этот	1	1
281	было и	1	1
282	легче чем	1	1
283	нас и	1	1
284	и т.п	2	1
285	много ли	2	1
286	с другой	3	1
287	он стремился	1	1
288	а во	1	1
289	все в	1	1
290	в которую	1	1
291	во всех	3	1
292	нем не	1	1
293	переходит в	1	1
294	и только	1	1
295	и она	1	1
296	но тут	1	1
297	как например	1	1
298	жизни его	1	1
299	единству к	1	1
300	личности с	1	1
301	не останется	1	1
302	времени и	2	1
303	всяком случае	1	1
304	он действует	1	1
305	их не	1	1
306	с одной	2	1
307	есть своя	1	1
308	же и	1	1
309	есть в	2	1
310	и у	1	1
311	уже в	1	1
312	в жизни	5	1
313	существования и	1	1
314	него и	1	1
315	но для	2	1
316	человека на	1	1
317	к содержанию	2	1
318	не будут	2	1
319	и жизненной	1	1
320	сами по	1	1
321	они сами	1	1
322	и рождается	1	1
323	отличие от	1	1
324	ее на	1	1
325	и из	1	1
326	во внешней	1	1
327	обратиться к	1	1
328	можно назвать	2	1
329	связано с	1	1
