N	2gram	Medvedev_U_1	ViktorSh
1	в шкловского	2	5
2	конце концов	2	2
3	и в	14	2
4	том что	2	2
5	в том	2	2
6	в конце	2	2
7	в шкловский	2	2
8	а.н веселовского	1	2
9	ничуть не	1	1
10	и только	5	1
11	крайней мере	2	1
12	тем более	1	1
13	образов чем	1	1
14	частности гораздо	1	1
15	формализма в	1	1
16	хотя бы	5	1
17	и не	8	1
18	поэтических школ	1	1
19	связаны и	1	1
20	новых приемов	1	1
21	расположению образов	1	1
22	даже не	1	1
23	и обработки	1	1
24	более чем	2	1
25	сводится к	2	1
26	шкловского в	1	1
27	один пример	1	1
28	и то	3	1
29	впрочем не	1	1
30	расположения и	1	1
31	приемов расположения	1	1
32	самом деле	2	1
33	и т.д	3	1
34	к расположению	1	1
35	к созданию	1	1
36	все это	5	1
37	выявлению новых	1	1
38	к накоплению	1	1
39	в их	4	1
40	говоря иначе	2	1
41	в частности	3	1
42	в которых	1	1
43	в значительной	1	1
44	материалов и	1	1
45	в самом	2	1
46	работа поэтических	1	1
47	словесных материалов	1	1
48	только в	2	1
49	то же	5	1
50	далеко не	1	1
51	вся работа	2	1
52	и выявлению	1	1
53	павел медведев	1	1
54	чем к	1	1
55	созданию их	1	1
56	но это	2	1
57	в этом	7	1
58	по крайней	2	1
59	по существу	2	1
60	к этому	1	1
61	накоплению и	1	1
62	обработки словесных	1	1
