N	2gram	Tiupa_Anal_2	Sovremen
1	не может	4	17
2	может быть	6	12
3	точки зрения	4	12
4	таким образом	2	11
5	в каждом	1	8
6	в этом	18	7
7	и в	16	7
8	ничего не	9	6
9	как и	14	6
10	и не	12	6
11	в результате	3	6
12	отдельном случае	1	5
13	и наконец	1	5
14	все эти	1	5
15	что же	1	5
16	каждом отдельном	1	5
17	прежде всего	3	5
18	с точки	2	5
19	мы должны	1	4
20	в том	12	4
21	в целом	8	4
22	из них	3	4
23	так как	1	4
24	не только	16	4
25	как бы	10	4
26	вместе с	2	4
27	это не	1	4
28	а в	3	4
29	в первом	1	3
30	на две	3	3
31	то же	4	3
32	и т.д	3	3
33	но мы	1	3
34	может не	1	3
35	в два	2	3
36	отнюдь не	8	3
37	еще не	2	3
38	но в	6	3
39	он в	4	3
40	в этой	9	3
41	в себе	7	3
42	уже в	1	3
43	как он	1	3
44	в наших	1	3
45	что она	2	3
46	ведь это	2	3
47	в одном	2	3
48	в конце	4	3
49	в нем	1	3
50	при этом	10	3
51	на этой	2	3
52	было бы	3	3
53	а не	10	3
54	и потому	1	3
55	не в	4	3
56	все это	4	3
57	при таком	2	3
58	а все	1	3
59	одна из	1	3
60	для нас	1	3
61	и все	3	3
62	в системе	1	3
63	у нас	1	3
64	состоит из	1	3
65	и к	5	3
66	отличается от	1	3
67	следующим образом	1	3
68	как известно	1	2
69	как мы	3	2
70	свою очередь	1	2
71	между всеми	1	2
72	тем же	1	2
73	приводит к	3	2
74	роль в	2	2
75	той же	2	2
76	времени и	1	2
77	каждого из	1	2
78	на этом	4	2
79	из одного	1	2
80	и даже	9	2
81	говорить о	6	2
82	и что	1	2
83	и во	2	2
84	самом деле	1	2
85	в которую	1	2
86	в его	2	2
87	и будет	1	2
88	в самом	6	2
89	в которой	1	2
90	в нашем	3	2
91	из этих	1	2
92	с одной	5	2
93	ни одна	1	2
94	уже не	4	2
95	то и	1	2
96	так сказать	1	2
97	с другом	1	2
98	на его	3	2
99	тем не	3	2
100	который как	1	2
101	у него	4	2
102	и по	1	2
103	отличие от	2	2
104	что все	2	2
105	значение в	1	2
106	или иной	3	2
107	на этот	2	2
108	которой он	1	2
109	такой же	1	2
110	в один	4	2
111	свою собственную	1	2
112	в отличие	2	2
113	такого рода	2	2
114	друг с	1	2
115	о жизни	2	2
116	не менее	4	2
117	скажем в	1	2
118	на котором	2	2
119	этих двух	1	2
120	еще более	2	2
121	мы видим	1	2
122	тот же	1	2
123	в свою	1	2
124	совершенно не	1	2
125	могут быть	10	2
126	что при	1	2
127	же самое	1	2
128	что в	2	2
129	если же	1	2
130	в таком	2	2
131	и наиболее	1	1
132	времени не	1	1
133	с жизнью	1	1
134	то она	1	1
135	с ее	2	1
136	реагирует на	1	1
137	между двумя	4	1
138	здесь и	1	1
139	отношению к	4	1
140	по преимуществу	4	1
141	и до	2	1
142	что такой	1	1
143	в мире	6	1
144	можно было	3	1
145	мы уже	1	1
146	те же	2	1
147	их и	1	1
148	есть не	1	1
149	в споре	2	1
150	принадлежит только	1	1
151	мы имеем	3	1
152	еще в	2	1
153	это только	2	1
154	поэтому в	1	1
155	если бы	3	1
156	что иное	1	1
157	нечего делать	1	1
158	и соответственно	1	1
159	имеют место	2	1
160	а далее	2	1
161	того же	4	1
162	о том	7	1
163	определенным образом	1	1
164	одного из	3	1
165	все его	1	1
166	иное как	1	1
167	быть в	1	1
168	же время	2	1
169	что его	1	1
170	его в	2	1
171	с его	1	1
172	во всех	4	1
173	раз и	1	1
174	более в	1	1
175	мы надеемся	1	1
176	данном случае	5	1
177	совсем не	1	1
178	но не	4	1
179	к этому	2	1
180	где у	1	1
181	в конечном	3	1
182	конечном счете	2	1
183	по отношению	4	1
184	и действительное	1	1
185	крайней мере	3	1
186	вообще и	2	1
187	один и	1	1
188	идет о	1	1
189	другого для	1	1
190	независимо от	1	1
191	стороны и	1	1
