N	2gram	Bakhtin_fo_1	Marksizm
1	может быть	11	28
2	и в	50	19
3	как бы	2	19
4	и не	14	19
5	в процессе	4	18
6	не может	6	18
7	точки зрения	5	17
8	то же	11	16
9	и его	16	16
10	как мы	14	15
11	в этом	25	15
12	в сущности	3	14
13	так сказать	7	14
14	таким образом	11	14
15	лишь в	6	14
16	не только	9	13
17	с точки	2	13
18	связи с	6	13
19	в нем	24	11
20	если бы	5	11
21	вовсе не	13	11
22	не в	5	10
23	речи в	2	10
24	так и	12	10
25	и т.п	4	10
26	но и	8	10
27	в пределах	5	10
28	том что	4	10
29	самом деле	1	9
30	при этом	3	9
31	как и	8	9
32	для него	2	9
33	в основе	5	9
34	и чужой	1	9
35	а не	3	9
36	на почве	2	9
37	с его	9	8
38	по отношению	3	8
39	в то	9	8
40	же время	9	8
41	только в	4	8
42	отнюдь не	5	8
43	не является	2	8
44	отношению к	5	8
45	его в	3	7
46	и более	1	7
47	одна из	2	7
48	никогда не	2	7
49	в том	9	7
50	прежде всего	15	7
51	в связи	5	7
52	и для	4	7
53	но в	10	7
54	в таком	3	7
55	мы уже	11	6
56	во всех	6	6
57	и как	10	6
58	в самом	8	6
59	если мы	2	6
60	слова и	2	6
61	ни в	8	6
62	того чтобы	5	6
63	к тому	3	6
64	для того	5	6
65	и следовательно	4	6
66	быть и	2	6
67	мы можем	1	6
68	более того	3	6
69	с помощью	2	6
70	и все	6	6
71	хотя бы	2	6
72	в свою	2	6
73	смысле слова	2	5
74	того же	8	5
75	к другому	2	5
76	и на	8	5
77	все же	6	5
78	выражение в	2	5
79	является не	1	5
80	на этой	4	5
81	лишь на	1	5
82	в данном	2	5
83	в их	6	5
84	самого начала	2	5
85	свою очередь	1	5
86	с самого	2	5
87	и здесь	1	5
88	в его	13	5
89	в форме	3	5
90	этой почве	1	5
91	в большинстве	1	5
92	или иной	2	5
93	в той	4	5
94	этого слова	1	5
95	и того	6	5
96	тем более	1	5
97	совершенно не	2	5
98	к этому	3	5
99	так же	6	5
100	тем же	1	4
101	а как	3	4
102	и ее	3	4
103	как если	2	4
104	переживания и	1	4
105	вполне понятно	4	4
106	конечно не	4	4
107	только на	3	4
108	в себе	3	4
109	на то	1	4
110	значение в	5	4
111	в данной	2	4
112	это не	6	4
113	было бы	2	4
114	одного и	5	4
115	в отношении	3	4
116	ничего не	9	4
117	точном смысле	2	4
118	и т.д	1	4
119	той или	2	4
120	для себя	7	4
121	в точном	2	4
122	в русском	1	4
123	того что	2	4
124	с ними	1	4
125	что он	1	4
126	и их	8	4
127	как раз	13	4
128	влияние на	4	4
129	смысле этого	1	4
130	в основном	5	4
131	бы в	1	4
132	то что	6	4
133	сказать что	3	4
134	и то	4	3
135	в котором	4	3
136	и до	5	3
137	не имеют	3	3
138	высшей степени	1	3
139	на материале	2	3
140	в ней	4	3
141	еще не	5	3
142	в ее	6	3
143	для других	4	3
144	менее всего	1	3
145	отличие от	2	3
146	в истории	2	3
147	с этим	6	3
148	перед нами	1	3
149	все эти	9	3
150	в этой	1	3
151	нами в	1	3
152	слово в	1	3
153	он не	5	3
154	не к	2	3
155	не как	2	3
156	в корне	1	3
157	одно и	3	3
158	здесь мы	1	3
159	в другом	1	3
160	конечно в	1	3
161	той же	2	3
162	с другими	3	3
163	по себе	2	3
164	в этих	3	3
165	в своей	2	3
166	в отличие	2	3
167	формы как	1	3
168	не имеет	4	3
169	резко и	2	3
170	в каком	2	3
171	у нас	1	3
172	могут быть	5	3
173	бы он	1	3
174	для его	1	3
175	и это	4	3
176	на основе	2	3
177	громадное значение	1	3
178	о том	1	3
179	что и	3	3
180	одной из	3	3
181	с одной	3	3
182	в качестве	3	3
183	его и	2	3
184	характерно что	4	3
185	так как	6	3
186	в высшей	1	3
187	до сих	3	3
188	с другой	2	3
189	ориентируется на	1	3
190	не было	7	3
191	одной стороны	2	3
192	хоть сколько-нибудь	1	3
193	подхода к	3	3
194	да и	3	3
195	должно быть	1	3
196	мы сказали	1	3
197	и формы	1	3
198	и от	1	3
199	сих пор	3	3
200	не существует	1	3
201	что оно	1	3
202	в различных	2	3
203	а в	3	3
204	всецело определяется	1	3
205	во всяком	3	3
206	нем нет	2	2
207	отношения к	3	2
208	одним из	1	2
209	связана с	1	2
210	лишь там	1	2
211	и реального	1	2
212	в зависимости	1	2
213	из всего	1	2
214	вопрос о	2	2
215	конститутивным моментом	1	2
216	и чужого	1	2
217	конечно и	4	2
218	зависимости от	1	2
219	и он	1	2
220	он был	1	2
221	оно уже	2	2
222	но как	1	2
223	значение и	3	2
224	определяется не	2	2
225	независимо от	1	2
226	стороны и	2	2
227	мы отвлекаемся	1	2
228	в своем	4	2
229	более и	1	2
230	вступает в	2	2
231	его к	1	2
232	от этого	2	2
233	что это	1	2
234	в нашем	2	2
235	бы не	1	2
236	в тех	1	2
237	тому же	2	2
238	не следует	1	2
239	лишь с	1	2
240	без исключения	1	2
241	значительной степени	1	2
242	и с	4	2
243	то есть	33	2
244	это было	1	2
245	на протяжении	1	2
246	уже знаем	1	2
247	в жизни	6	2
248	всем этим	3	2
249	рядом с	2	2
250	далеко не	2	2
251	и потому	3	2
252	мы не	3	2
253	и тогда	1	2
254	нас не	1	2
255	теперь мы	1	2
256	место в	2	2
257	они уже	1	2
258	является только	1	2
259	точку зрения	2	2
260	но они	3	2
261	как о	1	2
262	которых и	1	2
263	этот тип	2	2
264	находятся в	1	2
265	или как	4	2
266	те моменты	2	2
267	и является	2	2
268	нам важно	1	2
269	должны быть	1	2
270	должен быть	1	2
271	но по	2	2
272	формы и	3	2
273	приводит к	1	2
274	здесь как	2	2
275	все то	2	2
276	ориентировано на	1	2
277	и даже	2	2
278	но к	1	2
279	и являются	1	2
280	в определенном	3	2
281	все его	3	2
282	в значительной	2	2
283	лишь как	2	2
284	с нашей	3	2
285	глубоко различны	1	2
286	речи о	1	2
287	всяком случае	1	2
288	эти последние	1	2
289	но не	5	2
290	мы увидим	1	2
291	которой мы	1	2
292	иной степени	1	2
293	эти моменты	3	2
294	себя в	1	2
295	и у	5	2
296	уже в	2	2
297	другой тип	1	2
298	но для	2	2
299	ведь это	1	2
300	привела к	1	2
301	друг друга	3	2
302	у него	6	2
303	тем что	2	2
304	это будет	1	2
305	в особенности	9	2
306	именно как	4	2
307	имеются существенные	1	2
308	и речи	5	2
309	мы это	1	2
310	отвлекаемся здесь	1	2
311	именно в	3	2
312	здесь в	2	2
313	и прежде	2	2
314	что не	3	2
315	лишь моментом	1	2
316	они не	3	2
317	стремится к	1	2
318	до конца	4	2
319	не на	1	2
320	о чем	1	2
321	нашей точки	3	2
322	мы встречаем	2	2
323	все более	1	2
324	вместе с	3	2
325	прямо сказать	2	2
326	из форм	1	2
327	вне этой	1	2
328	там где	2	2
329	распадается на	1	2
330	в начале	3	2
331	различные степени	1	2
332	в более	2	2
333	или в	3	2
334	узком смысле	1	2
335	себя самого	1	2
336	от него	1	2
337	следовательно и	1	2
338	еще более	3	2
339	во французском	1	2
340	между ними	3	2
341	не знает	3	2
342	слагается из	2	2
