1	в том что	6	11
2	не может быть	10	5
3	с точки зрения	13	4
4	по крайней мере	2	4
5	во всяком случае	2	4
6	в этом отношении	1	4
7	с другой стороны	1	4
8	о том что	3	4
9	не только в	1	3
10	в связи с	7	3
11	в то же	8	3
12	то же время	8	3
13	на то что	2	3
14	с тем что	1	3
15	но и в	2	2
16	до сих пор	3	2
17	к тому что	3	2
18	все более и	2	2
19	с самого начала	5	2
20	во всех этих	1	2
21	с одной стороны	3	2
22	а с другой	1	2
23	и пр в	1	2
24	тем не менее	1	2
25	в этих формах	1	2
26	независимо от того	1	2
27	и не в	3	2
28	но все же	1	2
29	более и более	2	2
30	тесно связана с	1	2
31	тем что он	1	2
32	в данном отношении	1	1
33	новые социальные силы	1	1
34	тот или иной	1	1
35	если бы в	1	1
36	не менее в	1	1
37	в той или	3	1
38	говоря уже о	1	1
39	между тем для	1	1
40	у нас не	2	1
41	должен быть таков	1	1
42	этого слова в	1	1
43	это вполне понятно	3	1
44	а иногда и	2	1
45	для себя и	1	1
46	в статье о	1	1
47	том что не	1	1
48	том что он	2	1
49	на самом деле	4	1
50	более или менее	2	1
51	приводит к тому	1	1
52	такова точка зрения	1	1
53	в собственном смысле	2	1
54	и так сказать	1	1
55	сам по себе	1	1
56	и в других	1	1
57	для того чтобы	6	1
58	в этом и	1	1
59	связанные с этим	1	1
60	не говоря уже	1	1
61	то же самое	5	1
62	а как бы	1	1
63	выражении таким образом	1	1
64	на этой почве	5	1
65	так или иначе	1	1
66	той или иной	4	1
67	вовсе не является	3	1
68	и пр но	2	1
69	в самом деле	5	1
70	в свою очередь	5	1
71	ни в какой	2	1
72	можно сказать что	1	1
73	к вопросу о	1	1
74	слова в системе	1	1
75	важным этапом в	1	1
76	как бы из	1	1
77	таким образом в	1	1
78	он не может	1	1
79	в этом направлении	1	1
80	и не является	1	1
81	форме они не	1	1
82	нас не было	1	1
83	в русской литературе	1	1
84	на судьбу на	1	1
85	является не только	2	1
86	русского литературного языка	1	1
87	тем или иным	1	1
88	а не в	2	1
89	вполне понятно если	1	1
90	как мы видели	3	1
