N	2gram	Medvedev_V_1	NovoeSre
1	и в	2	16
2	и не	1	11
3	в том	2	8
4	в этом	1	7
5	но это	1	6
6	все это	1	5
7	потому что	1	4
8	к созданию	1	2
9	я не	1	2
10	все время	1	2
11	ни к	1	2
12	и заключается	1	2
13	том что	2	2
14	по существу	1	2
15	хотя бы	1	2
16	заключается что	1	2
17	не хочу	1	1
18	не хотел	1	1
19	и только	1	1
20	которые они	1	1
21	в значительной	1	1
22	только в	1	1
23	в самом	1	1
24	к чему	1	1
25	от других	1	1
26	в конце	2	1
27	значительной степени	1	1
28	на заре	1	1
29	для них	1	1
30	так как	1	1
31	что сами	1	1
32	и его	1	1
