N	2gram	Medvedev_S_1	Myshleni
1	то что	2	26
2	в этом	5	25
3	что он	1	25
4	таким образом	2	19
5	в том	5	18
6	не может	1	18
7	не только	3	16
8	и в	3	16
9	что в	2	16
10	том что	2	15
11	в сущности	1	13
12	между собой	1	13
13	в процессе	1	13
14	по отношению	2	12
15	в области	1	12
16	и что	2	12
17	и не	1	12
18	отношению к	2	12
19	в его	3	11
20	развития и	1	11
21	но не	1	10
22	в силу	1	10
23	было бы	2	10
24	только в	2	10
25	с помощью	1	10
26	может быть	2	9
27	то же	2	8
28	как и	1	8
29	о том	1	8
30	мы должны	1	8
31	и есть	1	7
32	по себе	1	7
33	так и	1	7
34	в этой	1	6
35	не в	3	6
36	что все	1	6
37	у него	1	6
38	но и	2	6
39	должна быть	2	5
40	на все	1	5
41	тому что	1	5
42	с ним	1	5
43	в то	1	5
44	никогда не	1	5
45	ничего не	1	5
46	хотя бы	1	5
47	тем что	1	5
48	как бы	2	5
49	это значит	1	5
50	влияет на	1	5
51	друг от	1	4
52	за пределы	2	4
53	сама по	1	4
54	все эти	1	4
55	и по	1	4
56	это не	1	4
57	лучшем случае	1	4
58	мысли в	1	4
59	же самое	1	4
60	от друга	1	4
61	еще не	2	4
62	с другой	1	4
63	именно в	1	4
64	к которому	2	4
65	на этот	1	4
66	зависит от	1	4
67	в целом	1	4
68	в результате	2	4
69	бы в	1	4
70	тем более	2	4
71	это и	2	3
72	мы не	1	3
73	но как	1	3
74	все же	1	3
75	и как	1	3
76	в этих	1	3
77	и более	1	3
78	в смысле	2	3
79	и его	1	3
80	связи с	1	3
81	никак не	1	3
82	в чем	1	3
83	в лучшем	1	3
84	между тем	1	3
85	с одной	1	3
86	а в	1	3
87	перейти к	1	3
88	еще и	1	3
89	прежде всего	1	3
90	в частности	2	3
91	по существу	2	3
92	одной стороны	1	3
93	они не	1	3
94	же по	1	2
95	что эти	1	2
96	столь же	1	2
97	а тем	1	2
98	очевидно что	2	2
99	что она	1	2
100	те же	1	2
101	в них	1	2
102	на основании	1	2
103	развития развитие	1	2
104	в своей	1	2
105	в котором	1	2
106	как совокупность	1	2
107	все это	7	2
108	стоит только	1	2
109	но только	1	2
110	больше того	1	2
111	факта что	1	2
112	не способен	1	2
113	том как	1	2
114	это происходит	1	2
115	образом в	1	2
116	его в	1	2
117	на отдельные	1	2
118	есть процесс	1	2
119	не дает	1	2
120	вовсе не	1	2
121	как будто	2	2
122	а с	1	2
123	ни на	1	2
124	и потому	1	2
125	в область	1	2
126	научной мысли	1	2
127	благодаря этому	1	2
128	только для	1	2
129	или не	1	2
130	по необходимости	1	2
131	во всяком	1	2
132	а между	1	1
133	может означать	1	1
134	нашей науки	2	1
135	полагает что	1	1
136	и о	1	1
137	свойств и	1	1
138	но она	1	1
139	невозможно никакое	1	1
140	подняться на	1	1
141	первый план	1	1
142	и связь	1	1
143	чтобы сделаться	1	1
144	система не	1	1
145	и будет	1	1
146	и должны	1	1
147	более чем	3	1
148	перед нами	1	1
149	кто не	1	1
150	и наконец	1	1
151	и естествознания	1	1
152	что это	1	1
153	развиваться в	1	1
154	по самому	1	1
155	собой не	1	1
156	ни были	1	1
157	что без	1	1
158	и заключается	2	1
159	в каждом	1	1
160	и понятие	1	1
161	тем же	1	1
162	главным образом	2	1
163	развития по	1	1
164	образования понятий	1	1
165	их на	1	1
166	на первый	1	1
167	из понимания	1	1
168	же это	1	1
169	и благодаря	1	1
170	место в	1	1
171	для изучения	1	1
172	на определенных	1	1
173	этой области	1	1
174	дело не	2	1
175	благодаря тому	1	1
176	только когда	1	1
177	что на	1	1
178	вот в	1	1
179	которые предлагает	1	1
180	представляется нам	1	1
181	как только	2	1
182	более не	1	1
183	в заключение	1	1
184	мы думаем	1	1
185	они ни	1	1
186	только то	1	1
187	для этого	1	1
188	происходит не	1	1
189	на что	1	1
190	может не	1	1
191	и только	3	1
192	один из	1	1
193	всяком случае	1	1
194	это же	1	1
195	без этого	1	1
196	в виде	1	1
197	или даже	2	1
198	представить себе	1	1
199	в конце	2	1
200	в систему	1	1
201	потому его	1	1
202	даже не	1	1
203	и русская	1	1
204	это обусловливается	1	1
205	как же	3	1
206	не было	1	1
207	основной вопрос	1	1
208	их друг	1	1
209	в связи	1	1
210	он говорит	1	1
211	в данном	1	1
212	иначе говоря	1	1
213	эти вопросы	1	1
214	не меняет	1	1
215	новые и	1	1
216	это как	1	1
217	для нас	3	1
218	из себя	1	1
219	или нет	1	1
220	теоретической мысли	1	1
221	между ними	1	1
