N	3gram	Propp_Russ_1	VeschiIm
1	и т д	9	20
2	что иное как	2	8
3	не что иное	2	8
4	т д и	1	7
5	т е в	1	7
6	в том что	15	6
7	на то что	1	6
8	в свою очередь	2	5
9	тем не менее	3	5
10	с точки зрения	3	4
11	не только в	1	4
12	подобно тому как	1	3
13	и не только	1	3
14	в собственном смысле	1	3
15	можно было бы	1	3
16	вместе с тем	6	3
17	все же не	2	3
18	можно сказать что	1	2
19	в данном случае	1	2
20	же т е	1	2
21	можно говорить о	1	2
22	и в и	1	2
23	к тому что	4	2
24	и того же	1	1
25	и один из	1	1
26	только потому что	1	1
27	в этом случае	5	1
28	том что это	1	1
29	тот же корень	1	1
30	в себе и	1	1
31	что не только	1	1
32	в свете того	1	1
33	не может считаться	1	1
34	может быть и	2	1
35	потому что он	1	1
36	основных направлений в	1	1
37	так же как	1	1
38	не потому что	1	1
39	что мы имеем	1	1
40	еще и в	1	1
41	и этого мало	1	1
42	на том основании	1	1
43	и потому что	2	1
44	и в этом	1	1
45	же корень что	1	1
46	и как бы	1	1
47	т е на	1	1
48	потому что она	1	1
49	это не значит	2	1
50	только о том	1	1
51	потому что они	1	1
52	и пр и	1	1
53	в одном и	1	1
54	во всяком случае	1	1
55	мы не можем	3	1
56	только одна из	1	1
57	в то время	1	1
58	не только потому	1	1
59	о том что	4	1
60	вопрос о том	1	1
61	от жизни и	1	1
62	брать на себя	1	1
63	но все же	2	1
64	одного и того	1	1
65	мы видим что	1	1
66	же а не	1	1
67	не значит что	2	1
68	так как по	1	1
69	друг с другом	1	1
70	что было в	1	1
71	что и в	1	1
72	только тогда когда	1	1
73	слово для обозначения	1	1
74	несмотря на все	1	1
75	перед нами как	1	1
