N	3gram	Nazirov_Tr_1	Vladivir
1	в том что	2	9
2	в связи с	1	8
3	тем не менее	1	6
4	во всяком случае	1	6
5	и то что	1	5
6	о том что	2	3
7	в то же	5	3
8	точно так же	2	3
9	то же время	5	3
10	в конце концов	1	3
11	в отличие от	2	3
12	то что он	1	3
13	сам по себе	1	2
14	с начала и	1	2
15	начала и до	1	2
16	он и в	1	2
17	несмотря на все	1	2
18	никогда не был	1	2
19	и до конца	1	2
20	после того как	1	2
21	к м м	1	2
22	и все же	1	2
23	том что он	1	2
24	в данном случае	2	2
25	о чем он	2	1
26	может быть в	1	1
27	в той же	1	1
28	что я не	1	1
29	но в то	2	1
30	и если б	1	1
31	что все это	1	1
32	с самого начала	1	1
33	он сам говорит	1	1
34	за что не	1	1
35	хотя наряду с	1	1
36	ни за что	1	1
37	и в частности	2	1
38	в году в	2	1
39	в этом случае	1	1
40	и как бы	2	1
41	по вопросу об	1	1
42	за то что	1	1
43	не выдержал своего	1	1
44	но все же	2	1
45	в блеске и	1	1
46	чем он сам	1	1
47	еще в году	1	1
48	в самом деле	1	1
49	а это было	1	1
50	в высшей степени	1	1
51	или как говорит	1	1
52	с тем и	1	1
53	не может быть	1	1
