N	3gram	Tiupa_Anal_2	VrazhdaK
1	то же время	2	4
2	в то же	2	4
3	в связи с	1	3
4	он не только	1	2
5	с точки зрения	2	2
6	не может быть	1	2
7	в том что	6	2
8	на это в	1	1
9	себя в качестве	1	1
10	и стал смотреть	2	1
11	а между тем	1	1
12	от которого у	1	1
13	между прочим и	1	1
14	в этом смысле	2	1
15	в ответ на	2	1
16	в соответствии с	2	1
17	уже говорилось выше	1	1
18	а тем более	1	1
19	в третий раз	1	1
20	в этом отношении	3	1
21	точно так же	1	1
22	героя нашего времени	3	1
23	по крайней мере	3	1
24	и то что	2	1
25	одно и то	1	1
26	не имеет никаких	1	1
27	они выступают как	1	1
28	едва ли не	2	1
29	не имело бы	1	1
30	о том же	1	1
31	и то же	1	1
32	в известном смысле	1	1
33	и в этом	4	1
34	все что ни	1	1
35	с другой стороны	2	1
36	тем не менее	3	1
37	заключается в том	1	1
38	в свою очередь	1	1
39	о том что	6	1
40	и в самом	2	1
41	не только не	2	1
42	на этот раз	1	1
43	на то что	2	1
44	во второй раз	1	1
45	имеется в виду	1	1
46	и всего романа	1	1
47	речь идет о	1	1
