N	3gram	Tiupa_Teor_1	VeschiIm
1	не может быть	4	18
2	бы то ни	1	9
3	то ни было	1	9
4	что иное как	1	8
5	не что иное	1	8
6	по крайней мере	1	6
7	в том что	8	6
8	одно и то	1	5
9	содержит в себе	1	5
10	и то же	1	5
11	есть не что	1	5
12	в свою очередь	2	5
13	тем не менее	3	5
14	с точки зрения	3	4
15	то же время	5	4
16	в то же	5	4
17	есть как бы	1	3
18	более или менее	2	3
19	подобно тому как	1	3
20	и в то	1	3
21	из того что	1	3
22	только то что	1	3
23	сама по себе	1	3
24	вбирает в себя	1	3
25	можно сказать что	2	2
26	дело в том	1	2
27	с самим собою	1	2
28	в основе своей	1	2
29	в данном случае	5	2
30	в первом случае	1	2
31	можно говорить о	1	2
32	не только к	1	2
33	в себя смысл	1	2
34	заключается в том	1	2
35	к тому что	2	2
36	она могла бы	1	2
37	вещи но и	1	2
38	так или иначе	4	2
39	таким образом что	1	1
40	и того же	3	1
41	это уже не	1	1
42	того же типа	1	1
43	себя и что	1	1
44	это было бы	1	1
45	в этом смысле	2	1
46	тот или иной	2	1
47	– независимо от	1	1
48	я в свою	1	1
49	строго говоря и	1	1
50	в себе никаких	1	1
51	может быть и	2	1
52	как раз в	1	1
53	в самом начале	2	1
54	так же как	1	1
55	но в то	1	1
56	таким образом и	1	1
57	с одной стороны	2	1
58	к другому человеку	1	1
59	бы вбирает в	1	1
60	и потому что	1	1
61	с тем же	1	1
62	личности а не	1	1
63	а не сама	1	1
64	внутренней и внешней	2	1
65	вслед за кантом	1	1
66	еще и потому	1	1
67	с другой стороны	5	1
68	на вопрос о	1	1
69	в частности –	1	1
70	относится не только	1	1
71	а в том	1	1
72	в одном и	1	1
73	в то время	1	1
74	о том что	1	1
75	ту же самую	1	1
76	имя как раз	1	1
77	не только не	2	1
78	именно потому что	1	1
79	человек имеет дело	1	1
80	самим собою в	1	1
81	одного и того	3	1
82	для того чтобы	1	1
83	чего бы то	1	1
84	как бы вбирает	1	1
85	вещей но в	1	1
86	тех или иных	3	1
87	в отношении к	1	1
88	один из видов	1	1
89	превращая его в	1	1
90	и а и	1	1
