N	2gram	Bakhtin_Fr_2	Morfolog
1	может быть	5	52
2	таким образом	7	20
3	не может	7	17
4	в этих	4	16
5	могут быть	2	15
6	и в	49	13
7	в этом	15	13
8	и др	9	12
9	так как	6	12
10	связи с	2	11
11	мы видим	1	11
12	перед нами	1	11
13	прежде всего	19	9
14	так и	6	9
15	в связи	2	9
16	то же	7	9
17	этом случае	1	9
18	и не	15	9
19	мы имеем	1	9
20	не всегда	1	9
21	а не	1	9
22	а затем	3	8
23	что и	1	8
24	с другой	4	8
25	по существу	2	8
26	все же	7	7
27	в тех	2	7
28	но если	1	7
29	в качестве	2	7
30	имеем в	2	7
31	и здесь	1	6
32	в форме	4	6
33	а в	4	6
34	но не	5	6
35	это не	1	6
36	не могут	1	6
37	в том	3	6
38	во время	12	6
39	подобно тому	2	6
40	не менее	1	5
41	во всех	6	5
42	в образе	1	5
43	потому что	1	5
44	и другие	2	5
45	один из	7	5
46	этот момент	4	5
47	тому как	2	5
48	этот элемент	1	5
49	то что	6	5
50	далеко не	3	5
51	как бы	11	5
52	как мы	7	4
53	на его	2	4
54	как и	11	4
55	видно что	1	4
56	могла бы	1	4
57	так же	2	4
58	отношению к	1	4
59	вовсе не	10	4
60	точки зрения	6	4
61	раньше чем	1	4
62	там где	4	4
63	на этом	1	4
64	об этом	1	4
65	тем что	4	4
66	его в	1	4
67	что в	2	4
68	хотя и	2	4
69	тех же	2	4
70	с точки	5	4
71	по отношению	1	4
72	как в	1	4
73	ничего не	2	4
74	другой стороны	3	4
75	также и	3	4
76	несмотря на	3	4
77	было бы	3	4
78	не только	17	4
79	и как	1	4
80	вступают в	1	3
81	из приведенных	1	3
82	входит в	1	3
83	в целом	1	3
84	что они	2	3
85	в один	1	3
86	к нему	3	3
87	в какой	1	3
88	быть названо	1	3
89	независимо от	1	3
90	того чтобы	2	3
91	целый ряд	2	3
92	в то	6	3
93	в нашем	2	3
94	же в	3	3
95	но все	4	3
96	и для	1	3
97	ни в	3	3
98	не является	1	3
99	в начале	5	3
100	к чему	1	3
101	на самом	2	3
102	но и	13	3
103	из которых	1	3
104	связана с	3	3
105	мы можем	2	3
106	мы должны	2	3
107	в сущности	8	3
108	этого момента	2	3
109	если бы	1	3
110	и другим	1	3
111	а по	1	3
112	он не	1	3
113	здесь же	2	3
114	и ее	1	3
115	но в	4	3
116	самом деле	1	3
117	и по	1	3
118	это уже	1	3
119	из них	3	3
120	в пределах	2	3
121	но это	2	3
122	том что	4	3
123	все эти	7	2
124	а во	1	2
125	в свое	4	2
126	в другом	2	2
127	в собственном	3	2
128	о том	3	2
129	можно сказать	2	2
130	что эти	1	2
131	как например	1	2
132	никто не	2	2
133	большинстве случаев	1	2
134	случаях когда	1	2
135	в виде	1	2
136	настоящее время	1	2
137	в большинстве	1	2
138	хотя бы	1	2
139	что эта	1	2
140	но здесь	3	2
141	носит характер	1	2
142	та же	2	2
143	относятся к	1	2
144	не существует	1	2
145	если она	1	2
146	превращаться в	1	2
147	для него	9	2
148	с тем	1	2
149	чтобы его	1	2
150	со смертью	2	2
151	оно не	1	2
152	одной из	2	2
153	того что	1	2
154	но вот	1	2
155	живой и	1	2
156	в нее	1	2
157	собственном смысле	2	2
158	с теми	1	2
159	или на	1	2
160	и к	4	2
161	они и	1	2
162	и его	17	2
163	для того	1	2
164	но эти	3	2
165	сказать что	6	2
166	их на	1	2
167	ясно что	1	2
168	и за	2	2
169	например на	1	2
170	мы уже	6	2
171	в настоящее	1	2
172	животных и	1	2
173	по этим	1	2
174	с одной	3	2
175	себя и	1	2
176	только в	13	2
177	нельзя было	3	2
178	одной стороны	3	2
179	в различных	1	2
180	с этого	1	2
181	здесь не	2	2
182	в частности	1	2
183	есть и	1	2
184	эти формы	2	2
185	подобные же	1	2
186	иначе чем	1	2
187	к этому	1	2
188	что он	3	2
189	тем же	1	2
190	к себе	1	2
191	и более	4	2
192	благодаря этому	4	2
193	так например	2	2
194	считаться с	1	2
195	означает что	1	2
196	можно было	3	2
197	тех случаях	1	2
198	одна из	4	2
199	и тот	1	1
200	такие же	1	1
201	есть на	1	1
202	одним из	2	1
203	в которой	1	1
204	о которых	1	1
205	и там	1	1
206	и этот	1	1
207	главным образом	1	1
208	в итоге	1	1
209	время уже	1	1
210	и все	3	1
211	но она	1	1
212	и с	6	1
213	всего о	1	1
214	бы в	1	1
215	для нас	1	1
216	и вот	3	1
217	еще тем	1	1
218	же время	6	1
219	в него	2	1
220	становится на	2	1
221	но он	6	1
222	в предисловии	2	1
223	и питьем	1	1
224	может дать	1	1
225	и ни	1	1
226	остается на	1	1
227	все остальные	1	1
228	все как	1	1
229	значение и	1	1
230	больше чем	1	1
231	лишь к	1	1
232	о его	1	1
233	как на	4	1
234	после смерти	1	1
235	действительно не	1	1
236	еще и	1	1
237	на своем	1	1
238	за этим	1	1
