N	3gram	Tiupa_Lite_1	KFilosof
1	по отношению к	2	21
2	не может быть	1	11
3	с точки зрения	2	10
4	единого и единственного	1	8
5	по отношению ко	1	4
6	на самом деле	1	3
7	между тем как	1	3
8	отношению ко всему	1	3
9	и в этом	1	3
10	то что я	1	2
11	в соответствии с	1	2
12	бы то ни	1	2
13	мира в его	1	2
14	то ни было	1	2
15	то же время	5	2
16	в то же	5	2
17	тем не менее	2	2
18	в том что	11	2
19	а не в	1	2
20	это уже не	1	1
21	на то что	1	1
22	и того же	1	1
23	мы никогда не	1	1
24	между прочим и	1	1
25	в том же	3	1
26	только в том	2	1
27	не подлежит сомнению	1	1
28	в лучшем случае	1	1
29	в зависимости от	1	1
30	такова же и	1	1
31	быть в жизни	1	1
32	и то что	2	1
33	ту или иную	2	1
34	за собой и	1	1
35	лишь в момент	1	1
36	но в то	1	1
37	на задний план	1	1
38	в себя и	1	1
39	как бы два	1	1
40	а не как	1	1
41	но может быть	1	1
42	дело в том	2	1
43	что в конечном	1	1
44	во всяком случае	2	1
45	быть не может	1	1
46	из их смыслового	1	1
47	участия в бытии	1	1
48	бы не было	1	1
49	не в одном	1	1
50	или иной культурной	1	1
51	я в мире	2	1
52	как и всякое	1	1
53	в значительной степени	1	1
54	уже тем что	1	1
55	в свою очередь	1	1
56	и тем самым	2	1
57	и не должно	1	1
58	в конечном счете	4	1
59	не может стать	1	1
60	но и от	1	1
61	одного и того	1	1
62	во второй половине	1	1
63	для эстетического субъекта	1	1
64	в большинстве случаев	1	1
65	в этом последнем	1	1
66	не только от	1	1
67	если бы я	1	1
68	на том что	1	1
