N	3gram	Losev_Prob_1	PoTuStor
1	с точки зрения	3	6
2	на самом деле	4	4
3	в этом смысле	6	3
4	до сих пор	3	3
5	по крайней мере	2	3
6	во всяком случае	3	3
7	не может быть	2	3
8	может быть это	1	3
9	можно сказать что	3	3
10	и может быть	1	2
11	на этой ступени	1	2
12	друг на друга	1	2
13	так же как	2	2
14	в самом деле	2	2
15	не могут быть	1	2
16	в его целом	1	2
17	о том что	5	2
18	мы можем сказать	1	2
19	но отнюдь не	3	2
20	и в этом	2	2
21	если бы он	1	1
22	со всем его	1	1
23	и того же	2	1
24	бы он был	1	1
25	ничего не говорит	1	1
26	дело в том	3	1
27	знаем что такое	1	1
28	да притом еще	1	1
29	подобно тому как	2	1
30	он может быть	1	1
31	но даже и	1	1
32	одного и того	2	1
33	то же самое	9	1
34	а потом и	1	1
35	же как и	1	1
36	этим и объясняется	1	1
37	на первый план	1	1
38	как мы сказали	1	1
39	пр можно сказать	1	1
40	бы то ни	1	1
41	а может быть	2	1
42	в этом отношении	1	1
43	можно было бы	2	1
44	свой смысл и	1	1
45	именно то что	3	1
46	и пр можно	1	1
47	вместе с тем	1	1
48	так как он	2	1
49	не чем иным	1	1
50	в данном случае	8	1
51	что может быть	2	1
52	в связи с	4	1
53	бы оно ни	1	1
54	поры до времени	1	1
55	же самое и	1	1
56	в том что	5	1
57	оно ни было	1	1
58	только на путях	1	1
59	чем иным как	1	1
60	что в этой	1	1
61	перевести на язык	1	1
62	так и в	1	1
63	связи с этим	1	1
64	мы на самом	1	1
65	что иное как	2	1
66	и как мы	1	1
67	есть прежде всего	1	1
68	а часто и	2	1
69	не что иное	2	1
70	и что он	1	1
71	что в них	1	1
72	для того чтобы	8	1
73	случае не может	2	1
74	на первый взгляд	1	1
75	входить в эту	1	1
76	по которой можно	1	1
77	может быть даже	2	1
78	до поры до	1	1
79	той или иной	4	1
80	мы еще не	1	1
