N	2gram	Bakhtin_Fr_4	Marksizm
1	точки зрения	4	34
2	может быть	2	26
3	и не	16	26
4	не может	2	24
5	с точки	2	20
6	и в	29	19
7	и его	8	19
8	таким образом	20	17
9	в этом	11	16
10	как бы	8	15
11	как мы	10	13
12	прежде всего	8	13
13	как и	12	12
14	так и	11	11
15	связи с	2	11
16	и для	2	11
17	самом деле	1	10
18	в нем	5	10
19	в слове	2	10
20	и т.п	12	10
21	в самом	1	10
22	только в	2	9
23	для него	1	9
24	в результате	4	9
25	все же	3	8
26	не только	10	8
27	при этом	3	8
28	друг друга	2	8
29	до сих	1	8
30	но и	9	8
31	сих пор	1	8
32	то что	4	8
33	в ее	3	7
34	но в	12	7
35	все эти	9	7
36	то же	10	7
37	в связи	1	7
38	так же	7	7
39	кроме того	2	6
40	так сказать	2	6
41	мы не	1	6
42	и того	1	6
43	ничего не	1	6
44	и здесь	3	6
45	в его	8	6
46	в том	7	6
47	с помощью	4	6
48	другой стороны	3	6
49	того же	5	6
50	отличие от	1	5
51	конечно не	4	5
52	по преимуществу	3	5
53	входит в	1	5
54	рядом с	5	5
55	одного и	1	5
56	в отличие	1	5
57	того чтобы	3	5
58	те же	1	5
59	и все	13	5
60	в конце	9	5
61	вовсе не	9	5
62	с другой	4	5
63	за пределы	1	5
64	именно в	2	5
65	до конца	5	5
66	мы знаем	1	5
67	и потому	1	5
68	к этому	2	5
69	что слово	1	4
70	и на	11	4
71	нет и	1	4
72	как в	2	4
73	и тот	2	4
74	к одному	1	4
75	здесь мы	1	4
76	не будет	1	4
77	не столько	2	4
78	мысли и	1	4
79	в отношении	1	4
80	самого начала	3	4
81	в ней	3	4
82	с самого	3	4
83	для второго	1	4
84	еще не	4	4
85	только на	1	4
86	от того	1	4
87	для того	3	4
88	далеко не	5	4
89	с этим	1	4
90	в данном	1	4
91	в условиях	1	4
92	форм и	2	4
93	тот же	3	4
94	жизни в	2	4
95	между ними	2	4
96	и эта	2	4
97	сказать что	5	4
98	что в	1	4
99	формы и	2	3
100	на самом	4	3
101	и есть	4	3
102	а как	2	3
103	теперь мы	1	3
104	в сущности	6	3
105	в большинстве	6	3
106	один и	2	3
107	целый ряд	1	3
108	и как	3	3
109	и к	2	3
110	ее целом	1	3
111	в которой	4	3
112	этот процесс	6	3
113	но все	1	3
114	этих форм	2	3
115	его в	9	3
116	он не	3	3
117	том что	3	3
118	эта последняя	1	3
119	в своей	5	3
120	и ее	1	3
121	в котором	2	3
122	место в	2	3
123	в то	10	3
124	на язык	1	3
125	действительности но	1	3
126	же время	8	3
127	этом отношении	1	3
128	же самое	1	3
129	и это	2	3
130	в дальнейшем	3	3
131	из основных	1	3
132	т.п в	2	3
133	первое направление	1	3
134	можно сказать	1	3
135	здесь в	6	3
136	конце концов	4	3
137	того что	3	3
138	быть и	1	3
139	одной из	2	3
140	не дает	1	3
141	большинстве случаев	5	3
142	из них	6	3
143	момент в	1	3
144	на этот	1	3
145	все это	4	3
146	смысле этого	1	3
147	слова и	1	3
148	и от	1	3
149	нет ничего	2	3
150	и при	2	3
151	речи и	1	3
152	всех других	1	3
