N	2gram	Trubetskoy_1	RusskieA
1	и в	26	36
2	не только	10	22
3	том что	7	19
4	что в	9	19
5	в том	11	17
6	но и	9	16
7	так как	9	15
8	во время	4	14
9	и другие	3	13
10	в этом	15	12
11	в других	3	11
12	и на	2	10
13	в этот	1	10
14	это не	1	10
15	как и	1	10
16	вместе с	15	10
17	потому что	7	10
18	а в	4	9
19	состоит в	2	8
20	и по	4	8
21	с тем	18	8
22	у нас	1	8
23	о том	6	8
24	один из	2	8
25	из них	7	8
26	может быть	10	8
27	что они	1	7
28	так и	6	7
29	между тем	2	7
30	что и	6	7
31	и других	1	7
32	представляют собой	1	7
33	мы не	1	6
34	в виде	4	6
35	так например	2	6
36	таким образом	22	6
37	при этом	3	6
38	не имеет	5	6
39	с этого	1	6
40	уже не	3	6
41	в них	2	6
42	и не	8	6
43	все это	6	6
44	то что	7	6
45	а и	1	5
46	как в	1	5
47	все же	6	5
48	в которых	4	5
49	того как	1	5
50	некоторые другие	1	5
51	с ними	1	5
52	и у	8	5
53	одно из	2	5
54	в течение	4	5
55	как бы	12	5
56	на севере	1	5
57	мы имеем	2	4
58	не совсем	1	4
59	еще не	2	4
60	во всех	2	4
61	представляет собой	3	4
62	в россии	2	4
63	с собой	1	4
64	входит в	1	4
65	из этих	10	4
66	в их	1	4
67	вплоть до	2	4
68	эти дни	1	4
69	а иногда	1	4
70	в русском	2	4
71	связи с	9	4
72	изображается как	1	4
73	к тому	6	4
74	его с	1	4
75	и что	4	4
76	и их	1	4
77	тем что	1	4
78	а с	7	4
79	того что	3	4
80	по существу	2	4
81	но это	1	4
82	в связи	3	4
83	не может	4	4
84	только в	4	4
85	к этому	3	4
86	их и	1	3
87	на каждом	1	3
88	представление о	6	3
89	как бог	1	3
90	если в	3	3
91	в своем	3	3
92	не можем	1	3
93	что это	3	3
94	думать что	1	3
95	и те	3	3
96	связанные с	7	3
97	на этом	1	3
98	то же	4	3
99	но все	7	3
100	чаще всего	1	3
101	далеко не	4	3
102	несмотря на	6	3
103	русского народа	3	3
104	в этих	4	3
105	точки зрения	13	3
106	к тем	1	3
107	таким же	1	3
108	с точки	6	3
109	тем не	3	3
110	но они	1	3
111	их в	1	3
112	не менее	3	3
113	этого момента	1	3
114	в разных	2	3
115	ничего не	1	3
116	и другой	2	3
117	приводит к	2	3
118	к жизни	5	3
119	не с	2	3
120	начиная с	2	3
121	то есть	4	3
122	настоящее время	1	3
123	а также	2	3
124	от них	2	3
125	в качестве	3	3
126	только на	1	3
127	в одном	3	3
128	к ним	3	3
129	в области	9	3
130	и из	2	3
131	на этот	4	3
132	о чем	1	3
133	так называемой	2	3
134	в честь	1	3
135	так же	5	3
136	этого слова	1	3
137	и некоторые	1	3
138	в настоящее	1	3
139	и к	5	3
140	в свою	2	3
141	как известно	1	2
142	можно говорить	1	2
143	которого в	1	2
144	но тем	1	2
145	на западе	3	2
146	к нам	1	2
147	как не	1	2
148	в ней	1	2
149	природы и	1	2
150	друг к	1	2
151	но не	8	2
152	тогда как	1	2
153	как по	1	2
154	работа в	1	2
155	что именно	2	2
156	с этим	1	2
157	мы можем	2	2
158	и как	3	2
159	его к	1	2
160	но в	7	2
161	та же	1	2
162	все эти	6	2
163	в нашем	1	2
164	и до	1	2
165	что она	1	2
166	в нем	4	2
167	всех этих	1	2
168	чем у	1	2
