N	3gram	Losev_Vlad_2	KFilosof
1	не может быть	1	11
2	с точки зрения	3	10
3	в этом смысле	1	3
4	не было бы	1	3
5	может быть в	1	3
6	для нас важно	1	2
7	то что я	1	2
8	ни к чему	1	2
9	и для него	1	2
10	на первом плане	1	2
11	бы то ни	1	2
12	тот же с	1	2
13	во всех своих	1	2
14	и ни в	1	2
15	то же время	3	2
16	раз и навсегда	1	2
17	к чему не	1	2
18	в то же	3	2
19	тем не менее	6	2
20	в том что	9	2
21	на то что	2	1
22	не может не	1	1
23	но во всяком	1	1
24	его жизни в	1	1
25	потому что в	1	1
26	между прочим и	2	1
27	равно как и	1	1
28	в настоящее время	2	1
29	это нисколько не	2	1
30	в том же	2	1
31	он не может	1	1
32	не было и	1	1
33	есть для меня	1	1
34	с ним в	1	1
35	что в бытии	1	1
36	но это не	1	1
37	себя я не	1	1
38	и не в	1	1
39	вместе с тем	1	1
40	и тем не	1	1
41	и то что	5	1
42	и как бы	1	1
43	может быть и	1	1
44	и в то	1	1
45	для него самого	1	1
46	за собой и	1	1
47	но в то	1	1
48	мы имеем не	1	1
49	не содержит в	1	1
50	него и в	2	1
51	мы будем говорить	2	1
52	с ним и	1	1
53	не в том	3	1
54	к той же	1	1
55	дело в том	3	1
56	во всяком случае	6	1
57	к которой мы	1	1
58	и в котором	1	1
59	для того чтобы	1	1
60	и все же	2	1
61	ввиду того что	2	1
62	в свою очередь	2	1
63	само по себе	2	1
64	до конца и	1	1
65	со всеми своими	1	1
66	прочим и в	1	1
67	не было ни	1	1
68	во второй половине	2	1
69	конечно не в	1	1
70	и в нем	1	1
71	и в его	2	1
72	в себе в	1	1
73	а именно в	1	1
74	только тогда когда	1	1
75	все во всех	1	1
76	уже не только	1	1
