N	2gram	Berdyaev_N_1	OGranits
1	и в	16	13
2	и его	1	12
3	прежде всего	4	9
4	может быть	7	8
5	не может	16	8
6	и не	11	8
7	и т.п	2	7
8	в его	1	7
9	и их	1	7
10	и пр	3	7
11	только в	1	6
12	не только	5	6
13	то что	4	6
14	мы должны	1	6
15	но ведь	1	5
16	хотя бы	2	5
17	мы не	2	4
18	но в	2	4
19	вопроса о	1	4
20	лишь в	6	4
21	в своей	3	4
22	было бы	1	4
23	все это	5	4
24	связана с	2	3
25	в ее	3	3
26	так и	2	3
27	говорить о	1	3
28	за пределы	3	3
29	с этим	2	3
30	в которой	1	3
31	в себе	2	3
32	к единству	1	3
33	к одному	1	3
34	так как	1	3
35	но и	3	3
36	как и	7	3
37	я хочу	1	3
38	не в	6	3
39	есть прежде	1	3
40	но для	2	3
41	и для	4	3
42	никогда не	6	3
43	и все	4	3
44	превращается в	1	3
45	не столько	1	3
46	что в	9	3
47	смысле слова	3	2
48	для себя	1	2
49	ни одно	1	2
50	зависимости от	1	2
51	роль в	2	2
52	и этот	1	2
53	мы уже	1	2
54	и должно	2	2
55	в ней	5	2
56	а также	1	2
57	в чем	1	2
58	нуждается в	1	2
59	может иметь	1	2
60	как в	3	2
61	в которую	1	2
62	в этом	7	2
63	в том	8	2
64	от этого	1	2
65	в этот	1	2
66	во времени	1	2
67	все эти	2	2
68	с одной	2	2
69	думать что	2	2
70	уже в	1	2
71	в нем	5	2
72	в зависимости	1	2
73	тем что	1	2
74	в них	4	2
75	в области	1	2
76	с другой	3	2
77	в самом	1	2
78	одной стороны	2	2
79	не на	1	2
80	а не	17	2
81	другой стороны	2	2
82	том что	2	2
83	и истории	1	2
84	так же	2	2
85	своего рода	1	2
86	не менее	4	2
87	не имеет	4	2
88	от всех	1	2
89	во всем	1	2
90	а в	2	2
91	еще в	1	2
92	нет ничего	1	2
93	и к	5	2
94	могут быть	2	2
95	к тому	3	2
96	и это	2	1
97	оно может	1	1
98	же как	2	1
99	зависимость от	1	1
100	человека и	3	1
101	и через	1	1
102	в виду	1	1
103	того же	1	1
104	на нем	1	1
105	только потому	1	1
106	это и	2	1
107	и есть	10	1
108	и до	1	1
109	или иная	1	1
110	в нашу	2	1
111	можно лишь	1	1
112	не имеют	2	1
113	ведь и	2	1
114	в образе	1	1
115	можно было	2	1
116	к тем	1	1
117	мы в	1	1
118	вопрос о	3	1
119	на место	1	1
120	быть может	4	1
121	для этого	2	1
122	по себе	1	1
123	выходит за	1	1
124	приходится выбирать	1	1
125	на себя	1	1
126	с ее	5	1
127	то это	1	1
128	в мире	3	1
129	с большим	1	1
130	и что	2	1
131	еще не	3	1
132	они считают	2	1
133	традиционные формы	1	1
134	времени в	2	1
135	не могу	1	1
136	к нему	1	1
137	совсем не	12	1
138	но не	2	1
139	то он	1	1
140	переходит в	1	1
141	нет и	2	1
142	в свои	2	1
143	в истории	3	1
144	новой социальной	1	1
145	в своем	1	1
146	по своей	1	1
147	у в	1	1
148	не хотят	2	1
149	что он	1	1
150	не должна	1	1
151	который в	2	1
152	в значительной	1	1
153	сам собой	1	1
154	противостоит не	1	1
155	ни одна	2	1
156	в этой	1	1
157	для всех	1	1
158	с их	2	1
159	конечно не	3	1
160	и у	1	1
161	себя и	1	1
162	что она	2	1
163	в статье	1	1
164	не будут	2	1
165	считают себя	1	1
166	переходит от	1	1
167	в конце	1	1
168	привела к	1	1
169	сильнее и	2	1
170	подобно тому	3	1
171	отличие от	1	1
172	людей и	1	1
173	ее жизни	1	1
174	и вместе	1	1
175	ее на	1	1
176	не должно	1	1
177	это конечно	1	1
178	творчества ни	1	1
179	для того	1	1
180	эпохи не	1	1
181	она создает	1	1
182	должны перейти	1	1
183	к которому	1	1
184	в природе	2	1
185	что мы	1	1
186	обратиться к	1	1
187	к более	2	1
188	для них	1	1
189	не было	4	1
190	а на	1	1
191	не всегда	1	1
192	он и	1	1
193	как ни	1	1
194	все время	2	1
195	долгое время	1	1
196	с миром	1	1
197	должно быть	4	1
198	менее всего	1	1
199	такой же	2	1
200	и вполне	1	1
201	о переходе	1	1
202	вступает в	1	1
203	но если	1	1
204	эти слова	1	1
205	и особенно	1	1
206	в такой	1	1
207	как это	2	1
208	возможности в	1	1
209	свои права	2	1
210	в замкнутые	1	1
211	в отличие	1	1
212	мысли и	2	1
213	такого рода	2	1
214	должно было	2	1
215	тому как	3	1
216	времени не	1	1
217	переходе от	2	1
218	в эпоху	9	1
219	и более	1	1
220	их в	1	1
221	человеческом обществе	1	1
222	в человеческом	1	1
223	может идти	1	1
224	быть не	1	1
225	что такое	3	1
226	нет никакого	1	1
227	призыв к	2	1
228	и развивается	1	1
229	но это	6	1
230	и оно	1	1
231	истории и	9	1
232	в то	2	1
233	мысли в	2	1
234	одна из	2	1
235	того чтобы	2	1
236	не существует	3	1
237	формы и	2	1
238	связанный с	1	1
239	этой системы	1	1
240	в основе	3	1
241	мыслей и	1	1
242	потому что	4	1
243	что вообще	1	1
244	быть понята	1	1
245	та или	1	1
246	не знает	6	1
247	сказать что	3	1
248	равно как	2	1
249	когда мы	2	1
250	во все	1	1
251	про себя	1	1
252	с его	6	1
253	должны быть	1	1
254	вместе с	2	1
255	они не	1	1
