N	2gram	Losev_Prob_4	ViktorSh
1	конце концов	1	2
2	и в	20	2
3	том что	12	2
4	в том	20	2
5	в конце	2	2
6	и только	4	1
7	крайней мере	6	1
8	тем более	4	1
9	и почти	1	1
10	под влиянием	1	1
11	ни к	2	1
12	и том	1	1
13	в другом	3	1
14	хотя бы	7	1
15	и не	28	1
16	все время	2	1
17	и его	10	1
18	потому что	15	1
19	отношений но	1	1
20	и то	2	1
21	самом деле	3	1
22	все это	9	1
23	совершенно ясно	2	1
24	по поводу	1	1
25	именно в	7	1
26	по своим	1	1
27	в их	1	1
28	как же	2	1
29	теории литературы	1	1
30	дело в	2	1
31	в частности	2	1
32	одно и	1	1
33	столь же	2	1
34	время в	1	1
35	же все	1	1
36	ведь это	1	1
37	говоря о	1	1
38	в значительной	2	1
39	разве это	1	1
40	в самом	2	1
41	для них	2	1
42	только в	23	1
43	то же	7	1
44	ясно что	7	1
45	так как	5	1
46	далеко не	2	1
47	не будем	2	1
48	другое дело	2	1
49	но это	6	1
50	в этом	9	1
51	одном и	1	1
52	их тем	1	1
53	да и	5	1
54	чем больше	1	1
55	по крайней	6	1
56	а только	6	1
57	на одном	1	1
58	не хотел	2	1
59	гораздо более	1	1
60	том же	1	1
