N	3gram	Medvedev_F_2	FransuaR
1	то же время	5	9
2	в то же	5	9
3	для того чтобы	3	6
4	в том что	2	6
5	в этом отношении	7	5
6	но в то	1	5
7	в связи с	10	5
8	до известной степени	3	4
9	на самом деле	3	4
10	как мы видели	4	4
11	до сих пор	1	3
12	связи с этим	3	3
13	и прежде всего	2	3
14	и связанные с	1	2
15	не могло не	1	2
16	в одной из	1	2
17	с точки зрения	7	2
18	в отличие от	2	2
19	и не в	2	2
20	в данном случае	1	2
21	можно говорить о	1	2
22	так как они	2	2
23	не может быть	10	2
24	в большинстве случаев	3	2
25	хотя бы в	3	2
26	в сущности не	1	2
27	в отрыве от	1	2
28	жизни и прежде	1	2
29	что иное как	1	1
30	этом отношении очень	2	1
31	теми или иными	1	1
32	чем же объясняется	1	1
33	ровно ничего не	1	1
34	в ней и	1	1
35	в самом деле	5	1
36	же время и	1	1
37	не только освобождение	1	1
38	мы обратимся к	1	1
39	на своем пути	1	1
40	как раз и	3	1
41	и в то	3	1
42	что он не	1	1
43	особенно важное значение	1	1
44	очень характерно для	1	1
45	оставаясь в пределах	1	1
46	его представителями и	1	1
47	он не может	1	1
48	этом отношении он	1	1
49	одной из своих	1	1
50	вместе с тем	4	1
51	может быть и	3	1
52	в значительной степени	3	1
53	от всех форм	1	1
54	быть самим собой	1	1
55	одним из первых	1	1
56	быть и речи	3	1
57	во всех этих	1	1
58	и в этой	2	1
59	является одним из	1	1
60	но и с	1	1
61	в этом явлении	1	1
62	в его целом	1	1
63	не могли не	1	1
64	если мы обратимся	1	1
65	есть не что	1	1
66	в особенности в	1	1
67	как таковой он	1	1
68	и некоторые другие	1	1
69	мы не можем	1	1
70	не что иное	1	1
71	а в связи	2	1
72	идет в ущерб	1	1
73	так и в	3	1
74	как и в	1	1
75	в свою очередь	1	1
76	но он не	1	1
77	в истории литературы	2	1
78	ничего общего с	1	1
79	он полагает что	1	1
80	не по существу	1	1
81	же время в	1	1
82	по этому поводу	1	1
83	как они его	1	1
84	тем не менее	1	1
85	что в основе	1	1
86	что и в	1	1
87	является не только	1	1
