N	3gram	Potebnia_M_1	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	3	6
3	во всяком случае	1	6
4	более или менее	1	5
5	до сих пор	1	5
6	по крайней мере	2	5
7	для того чтобы	2	5
8	о том что	1	4
9	но все же	1	4
10	а так как	3	3
11	точно так же	1	3
12	так же как	1	3
13	всяком случае не	1	3
14	в связи с	1	3
15	и таким образом	1	3
16	тем не менее	6	3
17	в том что	13	3
18	в том виде	1	2
19	с тем и	1	2
20	и потому что	2	2
21	друг на друга	1	2
22	в этом отношении	1	2
23	заключает в себе	2	2
24	с тех пор	1	2
25	с этой точки	1	2
26	не только для	2	2
27	то ни было	1	2
28	бы то ни	2	2
29	между этими двумя	1	2
30	том виде в	1	2
31	таким образом в	1	2
32	то же время	3	2
33	этой точки зрения	1	2
34	но и для	2	2
35	с самого начала	3	2
36	на то что	1	2
37	в то же	3	2
38	и в этом	6	2
39	не должны быть	1	1
40	каждая из этих	1	1
41	и того же	2	1
42	и все же	1	1
43	а между тем	3	1
44	таком случае эта	1	1
45	на все усилия	1	1
46	одном и том	2	1
47	психологической точки зрения	1	1
48	притом не только	2	1
49	между нами и	1	1
50	по отношению к	13	1
51	одного и того	2	1
52	а потому что	2	1
53	для этого в	1	1
54	вместе с другими	1	1
55	а следовательно и	1	1
56	в таком случае	2	1
57	но и потому	1	1
58	и выйти из	1	1
59	духовную жизнь народа	1	1
60	сами по себе	1	1
61	в одном и	2	1
62	в отвлеченные понятия	1	1
63	в каком он	1	1
64	с тем что	3	1
65	при этом не	1	1
66	виде в каком	1	1
67	не воплощается в	1	1
68	не менее продолжает	1	1
69	в славянских и	1	1
70	между человеком и	2	1
71	но все они	1	1
72	таким образом уже	1	1
73	не потому что	1	1
74	в первом случае	1	1
75	выйти из этого	1	1
76	нельзя сказать чтобы	1	1
77	на задний план	1	1
78	смысле этого слова	1	1
79	и том же	2	1
80	с психологической точки	1	1
81	и не могут	1	1
82	но при этом	1	1
83	мы видели выше	1	1
84	или по крайней	1	1
85	и в этой	1	1
86	потому что в	4	1
87	указывает на то	1	1
88	что в таком	2	1
89	не в том	4	1
90	все более и	2	1
91	к лицу с	1	1
92	еще и потому	1	1
93	что касается до	1	1
94	с другой стороны	5	1
95	потому только что	1	1
96	мы видели что	1	1
97	лицом к лицу	1	1
98	не совпадает с	1	1
99	а в том	3	1
100	только то что	1	1
101	не может быть	9	1
102	в общих чертах	1	1
103	то не только	1	1
104	но с другой	2	1
105	но тем не	3	1
106	по всей вероятности	1	1
107	в то время	1	1
108	так и в	3	1
109	в свою очередь	4	1
110	тем и другим	1	1
111	в одном из	1	1
112	но совершенно ясно	1	1
113	отвлеченные понятия и	1	1
114	не только не	2	1
115	более и более	2	1
116	несмотря на все	1	1
117	видели выше что	1	1
118	не более как	3	1
119	не потому только	1	1
120	том что все	1	1
121	после того как	1	1
122	тем что в	1	1
123	что и в	3	1
124	могло бы быть	1	1
125	только тогда когда	4	1
