N	2gram	Tiupa_Anal_1	Problemy
1	и в	18	46
2	то есть	11	40
3	и не	21	27
4	может быть	29	23
5	не может	22	19
6	как бы	5	19
7	в нем	3	17
8	в этом	13	16
9	не только	15	14
10	и т.п	5	14
11	слова в	1	13
12	перед нами	1	12
13	как мы	2	12
14	но и	17	12
15	как и	13	12
16	и на	5	11
17	точки зрения	6	11
18	в одном	1	11
19	а не	17	11
20	в пределах	2	10
21	не в	14	10
22	между ними	1	10
23	и к	3	9
24	в самом	6	9
25	с точки	4	9
26	и все	3	9
27	в его	13	9
28	в том	27	9
29	вовсе не	2	9
30	прежде всего	6	9
31	до сих	1	8
32	сих пор	1	8
33	или в	1	8
34	в сущности	6	7
35	еще не	3	7
36	в себе	11	7
37	и с	2	7
38	по себе	4	7
39	что ж	1	7
40	как раз	1	7
41	то же	9	6
42	никогда не	2	6
43	хотя и	1	6
44	но в	8	6
45	ни в	4	6
46	на фоне	2	6
47	но это	1	6
48	на свой	1	6
49	и его	5	6
50	о нем	3	6
51	в него	1	6
52	что он	3	6
53	только в	6	6
54	есть в	1	6
55	друг друга	1	6
56	к себе	1	6
57	в романе	1	6
58	мы увидим	1	6
59	в котором	3	5
60	с его	3	5
61	во всех	1	5
62	по отношению	6	5
63	за пределы	2	5
64	при этом	12	5
65	особенно в	2	5
66	это не	6	5
67	в то	9	5
68	в самой	1	5
69	и сам	2	5
70	с самим	1	5
71	о том	5	5
72	же время	6	5
73	к нему	3	5
74	мы находим	1	5
75	так как	2	5
76	у него	1	5
77	с другом	1	5
78	о себе	1	5
79	друг с	1	5
80	речи и	1	5
81	отношению к	5	5
82	жизни и	1	5
83	например в	1	4
84	самом деле	2	4
85	в их	5	4
86	мы не	1	4
87	слово о	1	4
88	на себя	2	4
89	чужих слов	1	4
90	но не	10	4
91	как в	1	4
92	все же	4	4
93	все эти	2	4
94	он не	3	4
95	таким образом	3	4
96	и наконец	1	4
97	он и	1	4
98	том что	12	4
99	в этих	1	4
100	своего рода	3	4
101	том же	1	4
102	раз и	1	4
103	в процессе	2	4
104	этих двух	1	4
105	во всем	1	4
106	потому что	2	4
107	здесь не	2	4
108	в себя	6	4
109	так и	4	4
110	по мере	1	4
111	в виду	1	4
112	можно сказать	2	4
113	уже не	4	4
114	внутреннее пространство	2	4
115	превращается в	1	4
116	да и	1	4
117	должно быть	2	4
118	то что	6	4
119	не знает	1	4
120	совершенно не	1	4
121	что в	5	4
122	том числе	3	4
123	себя как	1	3
124	одним из	3	3
125	также и	2	3
126	человека и	1	3
127	сам по	1	3
128	между двумя	3	3
129	и до	2	3
130	мы уже	1	3
131	той же	2	3
132	мы имеем	6	3
133	и о	2	3
134	мы и	1	3
135	самим собою	1	3
136	отношение к	2	3
137	отличие от	6	3
138	в той	8	3
139	более или	1	3
140	из этих	2	3
141	в этой	5	3
142	имеем в	1	3
143	как он	3	3
144	не к	2	3
145	их в	1	3
146	на этом	2	3
147	в мире	8	3
148	рассказ в	1	3
149	было бы	2	3
150	далеко не	6	3
151	такой же	2	3
152	или менее	1	3
153	и при	1	3
154	в своей	6	3
155	в отличие	6	3
156	не как	1	3
157	но он	1	3
158	войти в	1	3
159	в отношении	1	3
160	слова как	1	3
161	по своей	6	3
162	на него	1	3
163	не могут	3	3
164	числе и	1	3
165	но при	1	3
166	в последующих	1	3
167	если бы	3	3
168	и т.д	1	3
169	и что	1	3
170	в различных	1	3
171	и во	1	3
172	и только	1	3
173	слов и	1	3
174	в формах	1	3
175	отличается от	2	3
176	себя в	6	3
177	только на	1	3
178	а то	1	3
179	в диалоге	1	3
